Date/Time,Electricity:Facility [J](Hourly),Gas:HVAC [J](Hourly) 
 01/01  01:00:00,123819318.02103363,0.0 
 01/01  02:00:00,123819318.02103363,0.0 
 01/01  03:00:00,123819318.02103363,0.0 
 01/01  04:00:00,123819318.02103363,0.0 
 01/01  05:00:00,123819318.02103363,0.0 
 01/01  06:00:00,228671622.5477832,1262116455.8930948 
 01/01  07:00:00,228671622.5477832,949767141.1284914 
 01/01  08:00:00,195666822.5477832,865334115.3947449 
 01/01  09:00:00,129657222.54778317,794108601.856594 
 01/01  10:00:00,129657222.54778317,697902521.230879 
 01/01  11:00:00,129657222.54778317,570032227.296636 
 01/01  12:00:00,129657222.54778317,427511233.11139199 
 01/01  13:00:00,129657222.54778317,324625364.15937069 
 01/01  14:00:00,129657222.54778317,272450670.2543799 
 01/01  15:00:00,129657222.54778317,249555697.72871999 
 01/01  16:00:00,129657222.54778317,273742178.2338035 
 01/01  17:00:00,146159622.54778318,355130418.39717116 
 01/01  18:00:00,228671622.5477832,462220739.1232241 
 01/01  19:00:00,123819318.02103363,0.0 
 01/01  20:00:00,123819318.02103363,0.0 
 01/01  21:00:00,123819318.02103363,0.0 
 01/01  22:00:00,123819318.02103363,0.0 
 01/01  23:00:00,123819318.02103363,0.0 
 01/01  24:00:00,123819318.02103363,0.0 
 01/02  01:00:00,123819318.02103363,0.0 
 01/02  02:00:00,123819318.02103363,0.0 
 01/02  03:00:00,123819318.02103363,0.0 
 01/02  04:00:00,123819318.02103363,0.0 
 01/02  05:00:00,123819318.02103363,0.0 
 01/02  06:00:00,253476540.56867395,2334206827.5112745 
 01/02  07:00:00,253476540.56867395,1963560662.0153416 
 01/02  08:00:00,319691412.6522372,1662940745.6756635 
 01/02  09:00:00,475562970.1623167,1163965690.3747309 
 01/02  10:00:00,475562970.1623167,981040771.4410508 
 01/02  11:00:00,475562970.1623167,809307023.9224213 
 01/02  12:00:00,475562970.1623167,687864696.8421072 
 01/02  13:00:00,475562970.1623167,650408137.7931509 
 01/02  14:00:00,475562970.1623167,544799444.6724608 
 01/02  15:00:00,475562970.1623167,532783841.66408088 
 01/02  16:00:00,475562970.1623167,560683606.3723551 
 01/02  17:00:00,492065370.1623167,614294764.8856644 
 01/02  18:00:00,406449169.4914342,945752988.6702404 
 01/02  19:00:00,352696212.6522372,1067143390.0072706 
 01/02  20:00:00,352696212.6522372,1072605000.9770978 
 01/02  21:00:00,303086376.6104556,1139179014.802756 
 01/02  22:00:00,303086376.6104556,1156284986.564106 
 01/02  23:00:00,253476540.56867395,1235293361.2893875 
 01/02  24:00:00,228671622.5477832,1262706137.2157229 
 01/03  01:00:00,123819318.02103363,0.0 
 01/03  02:00:00,123819318.02103363,0.0 
 01/03  03:00:00,123819318.02103363,0.0 
 01/03  04:00:00,123819318.02103363,0.0 
 01/03  05:00:00,123819318.02103363,0.0 
 01/03  06:00:00,228671622.5477832,1949737976.5779989 
 01/03  07:00:00,253476540.56867395,1550690912.2143927 
 01/03  08:00:00,220471740.56867395,1451532840.965469 
 01/03  09:00:00,253681812.65223713,1223576211.6686159 
 01/03  10:00:00,253681812.65223713,1112376781.7118326 
 01/03  11:00:00,253681812.65223713,997573915.7651267 
 01/03  12:00:00,253681812.65223713,894859808.8002572 
 01/03  13:00:00,179267058.58956478,885318273.487782 
 01/03  14:00:00,179267058.58956478,832956243.5245659 
 01/03  15:00:00,179267058.58956478,825659603.2967113 
 01/03  16:00:00,179267058.58956478,864680216.6098663 
 01/03  17:00:00,179267058.58956478,970866113.5820863 
 01/03  18:00:00,228671622.5477832,1153135136.8167663 
 01/03  19:00:00,228671622.5477832,1240564791.7339235 
 01/03  20:00:00,123819318.02103363,0.0 
 01/03  21:00:00,123819318.02103363,0.0 
 01/03  22:00:00,123819318.02103363,0.0 
 01/03  23:00:00,123819318.02103363,0.0 
 01/03  24:00:00,123819318.02103363,0.0 
 01/04  01:00:00,123819318.02103363,0.0 
 01/04  02:00:00,123819318.02103363,0.0 
 01/04  03:00:00,123819318.02103363,0.0 
 01/04  04:00:00,123819318.02103363,0.0 
 01/04  05:00:00,123819318.02103363,0.0 
 01/04  06:00:00,228671622.5477832,1684246753.625432 
 01/04  07:00:00,228671622.5477832,1372879677.9057277 
 01/04  08:00:00,195666822.5477832,1322518669.9171973 
 01/04  09:00:00,129657222.54778317,1250106205.4050279 
 01/04  10:00:00,129657222.54778317,1032040367.7370963 
 01/04  11:00:00,129657222.54778317,719568190.4757418 
 01/04  12:00:00,129657222.54778317,476816738.95263776 
 01/04  13:00:00,129657222.54778317,291341245.47850069 
 01/04  14:00:00,129694858.04369588,180414895.34392027 
 01/04  15:00:00,129697952.21895305,129419609.20445067 
 01/04  16:00:00,129657222.54778317,146614449.62239639 
 01/04  17:00:00,129657222.54778317,277089742.3661591 
 01/04  18:00:00,228671622.5477832,485843685.5242496 
 01/04  19:00:00,123819318.02103363,0.0 
 01/04  20:00:00,123819318.02103363,0.0 
 01/04  21:00:00,123819318.02103363,0.0 
 01/04  22:00:00,123819318.02103363,0.0 
 01/04  23:00:00,123819318.02103363,0.0 
 01/04  24:00:00,123819318.02103363,0.0 
 01/05  01:00:00,123819318.02103363,0.0 
 01/05  02:00:00,123819318.02103363,0.0 
 01/05  03:00:00,123819318.02103363,0.0 
 01/05  04:00:00,123819318.02103363,0.0 
 01/05  05:00:00,123819318.02103363,0.0 
 01/05  06:00:00,253476540.56867395,2484702892.359182 
 01/05  07:00:00,253476540.56867395,2436318696.6880466 
 01/05  08:00:00,319691412.6522372,2404637678.3597037 
 01/05  09:00:00,475562970.1623167,1952375699.8908714 
 01/05  10:00:00,475562970.1623167,1596897165.9564396 
 01/05  11:00:00,475562970.1623167,1211293616.6425243 
 01/05  12:00:00,475562970.1623167,840922320.0824843 
 01/05  13:00:00,475562970.1623167,612646818.5500717 
 01/05  14:00:00,475562970.1623167,447382900.28143599 
 01/05  15:00:00,475562970.1623167,383976523.44832906 
 01/05  16:00:00,475562970.1623167,378154668.8485354 
 01/05  17:00:00,475562970.1623167,504308586.52945068 
 01/05  18:00:00,406449169.4914342,955627180.5288011 
 01/05  19:00:00,352696212.6522372,1199345028.7980743 
 01/05  20:00:00,352696212.6522372,1297105325.1696225 
 01/05  21:00:00,303086376.6104556,1404519246.7169605 
 01/05  22:00:00,303086376.6104556,1457444196.8778568 
 01/05  23:00:00,253476540.56867395,1587532419.1760007 
 01/05  24:00:00,228671622.5477832,1658857680.034496 
 01/06  01:00:00,123819318.02103363,0.0 
 01/06  02:00:00,123819318.02103363,0.0 
 01/06  03:00:00,123819318.02103363,0.0 
 01/06  04:00:00,123819318.02103363,0.0 
 01/06  05:00:00,123819318.02103363,0.0 
 01/06  06:00:00,253476540.56867395,2439345565.294881 
 01/06  07:00:00,253476540.56867395,2311106608.1361367 
 01/06  08:00:00,319691412.6522372,2062339207.2134603 
 01/06  09:00:00,475562970.1623167,1517085433.9758588 
 01/06  10:00:00,475562970.1623167,1177597813.1073943 
 01/06  11:00:00,475562970.1623167,816594767.3235568 
 01/06  12:00:00,475562970.1623167,455904606.41727688 
 01/06  13:00:00,475562970.1623167,214843701.55659337 
 01/06  14:00:00,475723341.2897696,30776285.125869276 
 01/06  15:00:00,475562970.1623167,6102126.254239278 
 01/06  16:00:00,475562970.1623167,18149223.827850745 
 01/06  17:00:00,475562970.1623167,134904638.97946436 
 01/06  18:00:00,406449169.4914342,529921826.0945355 
 01/06  19:00:00,352696212.6522372,681979699.5595512 
 01/06  20:00:00,352696212.6522372,692553205.0042317 
 01/06  21:00:00,303086376.6104556,785802232.657744 
 01/06  22:00:00,303086376.6104556,851597488.1556703 
 01/06  23:00:00,253476540.56867395,934122367.8908999 
 01/06  24:00:00,228671622.5477832,906439181.4799068 
 01/07  01:00:00,123819318.02103363,0.0 
 01/07  02:00:00,123819318.02103363,0.0 
 01/07  03:00:00,123819318.02103363,0.0 
 01/07  04:00:00,123819318.02103363,0.0 
 01/07  05:00:00,123819318.02103363,0.0 
 01/07  06:00:00,253476540.56867395,1356206877.2302626 
 01/07  07:00:00,253476540.56867395,1062298424.6635194 
 01/07  08:00:00,319691412.6522372,908573426.4433692 
 01/07  09:00:00,475562970.1623167,542178177.2237699 
 01/07  10:00:00,475562970.1623167,482789543.49589028 
 01/07  11:00:00,475562970.1623167,421023718.70143046 
 01/07  12:00:00,475562970.1623167,367668381.54659196 
 01/07  13:00:00,475562970.1623167,378796975.69001117 
 01/07  14:00:00,475562970.1623167,325677427.99760946 
 01/07  15:00:00,475562970.1623167,330265969.711182 
