Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.282952E+04,7.539382E+03,1.611950E+00,6.650966E-01,1.567894E+05,6.045356E+04,1.107061E+01,5.333118E+00,2.336262E+04,7.907915E+03,1.649591E+00,6.976062E-01,1.483319E+04,5.638926E+03,1.047344E+00,4.974423E-01,1.485114E+04,5.349034E+03,1.048611E+00,4.718700E-01
00:20:00,1.903685E+04,5.996854E+03,1.328843E+00,5.290207E-01,1.290511E+05,4.808709E+04,9.039087E+00,4.242170E+00,1.957018E+04,6.289414E+03,1.364591E+00,5.548283E-01,1.235634E+04,4.486477E+03,8.627406E-01,3.957783E-01,1.237462E+04,4.254539E+03,8.639614E-01,3.753183E-01
00:30:00,1.582333E+04,4.472019E+03,1.074639E+00,3.945054E-01,1.067479E+05,3.586219E+04,7.281469E+00,3.163710E+00,1.629798E+04,4.689654E+03,1.105276E+00,4.137037E-01,1.025323E+04,3.346583E+03,6.968095E-01,2.952216E-01,1.027078E+04,3.172604E+03,6.979213E-01,2.798744E-01
00:40:00,1.281336E+04,2.964499E+03,8.307226E-01,2.615175E-01,8.575509E+04,2.377504E+04,5.590109E+00,2.097400E+00,1.326106E+04,3.108382E+03,8.578496E-01,2.742098E-01,8.285771E+03,2.218958E+03,5.377343E-01,1.957473E-01,8.302704E+03,2.103018E+03,5.387426E-01,1.855199E-01
00:50:00,9.946333E+03,1.473933E+03,5.940360E-01,1.300251E-01,6.561323E+04,1.182205E+04,3.941833E+00,1.042924E+00,1.036776E+04,1.545266E+03,6.176871E-01,1.363177E-01,6.412998E+03,1.103479E+03,3.834482E-01,9.734439E-02,6.429120E+03,1.045554E+03,3.843431E-01,9.223463E-02
01:00:00,7.204434E+03,0.000000E+00,3.636807E-01,0.000000E+00,4.610522E+04,0.000000E+00,2.325688E+00,0.000000E+00,7.603656E+03,0.000000E+00,3.840614E-01,0.000000E+00,4.620661E+03,0.000000E+00,2.332322E-01,0.000000E+00,4.636201E+03,0.000000E+00,2.340254E-01,0.000000E+00
01:10:00,9.129768E+03,0.000000E+00,4.607841E-01,0.000000E+00,5.848038E+04,0.000000E+00,2.949823E+00,0.000000E+00,9.614961E+03,0.000000E+00,4.855007E-01,0.000000E+00,5.861585E+03,0.000000E+00,2.958176E-01,0.000000E+00,5.880136E+03,0.000000E+00,2.967626E-01,0.000000E+00
01:20:00,1.036594E+04,0.000000E+00,5.228016E-01,0.000000E+00,6.767599E+04,0.000000E+00,3.413208E+00,0.000000E+00,1.083133E+04,0.000000E+00,5.462730E-01,0.000000E+00,6.668017E+03,0.000000E+00,3.362984E-01,0.000000E+00,6.685664E+03,0.000000E+00,3.371884E-01,0.000000E+00
01:30:00,1.109674E+04,0.000000E+00,5.596589E-01,0.000000E+00,7.184048E+04,0.000000E+00,3.623242E+00,0.000000E+00,1.160202E+04,0.000000E+00,5.851427E-01,0.000000E+00,7.149187E+03,0.000000E+00,3.605660E-01,0.000000E+00,7.166959E+03,0.000000E+00,3.614623E-01,0.000000E+00
01:40:00,1.168668E+04,0.000000E+00,5.894124E-01,0.000000E+00,7.504886E+04,0.000000E+00,3.785055E+00,0.000000E+00,1.220075E+04,0.000000E+00,6.153393E-01,0.000000E+00,7.535558E+03,0.000000E+00,3.800524E-01,0.000000E+00,7.553290E+03,0.000000E+00,3.809467E-01,0.000000E+00
01:50:00,1.218745E+04,0.000000E+00,6.146682E-01,0.000000E+00,7.772139E+04,0.000000E+00,3.919843E+00,0.000000E+00,1.271027E+04,0.000000E+00,6.410367E-01,0.000000E+00,7.862204E+03,0.000000E+00,3.965267E-01,0.000000E+00,7.880143E+03,0.000000E+00,3.974314E-01,0.000000E+00
02:00:00,1.260895E+04,0.000000E+00,6.359267E-01,0.000000E+00,8.004439E+04,2.426971E+02,4.037002E+00,1.427318E-02,1.313681E+04,0.000000E+00,6.625490E-01,0.000000E+00,8.139664E+03,3.727300E+00,4.105203E-01,2.198418E-04,8.157586E+03,0.000000E+00,4.114241E-01,0.000000E+00
02:10:00,1.296796E+04,0.000000E+00,6.540334E-01,0.000000E+00,8.207666E+04,2.426971E+02,4.139499E+00,1.427318E-02,1.349933E+04,0.000000E+00,6.808327E-01,0.000000E+00,8.376435E+03,3.727300E+00,4.224617E-01,2.198418E-04,8.394345E+03,0.000000E+00,4.233650E-01,0.000000E+00
02:20:00,1.327746E+04,0.000000E+00,6.696424E-01,0.000000E+00,8.388105E+04,2.426971E+02,4.230503E+00,1.427318E-02,1.381139E+04,0.000000E+00,6.965713E-01,0.000000E+00,8.580982E+03,6.297301E+00,4.327779E-01,3.726927E-04,8.598891E+03,0.000000E+00,4.336812E-01,0.000000E+00
02:30:00,1.354747E+04,0.000000E+00,6.832605E-01,0.000000E+00,8.550140E+04,4.067548E+02,4.312224E+00,2.392470E-02,1.408336E+04,0.000000E+00,7.102877E-01,0.000000E+00,8.759923E+03,6.297301E+00,4.418027E-01,3.726927E-04,8.777851E+03,0.000000E+00,4.427069E-01,0.000000E+00
02:40:00,1.378624E+04,0.000000E+00,6.953026E-01,0.000000E+00,8.697296E+04,4.067548E+02,4.386442E+00,2.392470E-02,1.432362E+04,0.000000E+00,7.224051E-01,0.000000E+00,8.918953E+03,1.822577E+01,4.498233E-01,1.081221E-03,8.936964E+03,0.000000E+00,4.507317E-01,0.000000E+00
