,WA1,WA2,WA3,WC3,WC2,WC1,WLP,WT,wa1_kw,wa2_kw,wa3_kw,wc1_kw,wc2_kw,wc3_kw,wlp_kw,wt_kw,power
Comments from Zhe,,,,,,,,,AC,AC,AC,AC,AC,AC,Lighting,Total,MELs
1/1/2014 0:00,0.03,0.02,0.01,0.33,0.37,0,12.76,47,,,,,,,,,0
1/1/2014 0:15,0.03,0.02,0.02,0.3,0.37,0,10.2,43,0.048,0,0,0,0.376,0.376,10.752,48,36.448
1/1/2014 0:30,0.03,0.02,0.02,0.31,0.38,0,10.2,41,0.032,0.064,0.064,0,0.376,0.312,10.252,40,28.9
1/1/2014 0:45,0.03,0.02,0.02,0.31,0.37,0,10.2,44,0,0,0,0,0.376,0.312,10.252,44,33.06
1/1/2014 1:00,0.03,0.02,0.02,0.31,0.38,0,10.2,44,0.048,0,0,0,0.376,0.312,10.252,44,33.012
1/1/2014 1:15,0.03,0.02,0.02,0.31,0.38,0,10.21,44,0.032,0.064,0.032,0,0.376,0.312,10,44,33.184
1/1/2014 1:30,0.03,0.02,0.02,0.31,0.38,0,10.21,42,0,0,0.032,0,0.376,0.312,10.252,44,33.028
1/1/2014 1:45,0.03,0.02,0.02,0.32,0.38,0,10.22,42,0.048,0.064,0,0,0.376,0.312,10.252,40,28.948
1/1/2014 2:00,2.48,0.03,0.02,0.31,0.38,0,10.21,46,1.64,0,0.064,0,0.376,0.312,10.252,48,35.356
1/1/2014 2:15,4.08,6,2.9,0.31,0.37,0,10.22,57,3.236,3.876,1.376,0,0.376,0.312,10.252,52,32.572
1/1/2014 2:30,4.07,5.87,2.92,0.31,0.36,0,10.21,58,4.08,5.752,2.936,0,0.376,0.312,10,56,32.544
1/1/2014 2:45,4.04,5.79,3.92,0.32,0.36,0,10.22,57,4.048,5.688,3.252,0,0.376,0.312,10.252,56,32.072
1/1/2014 3:00,4.02,5.76,4.57,0.31,0.35,0,10.21,59,4,5.688,3.936,0,0.312,0.312,10.252,60,35.5
1/1/2014 3:15,3.98,5.61,5.18,0.32,0.35,0,10.21,59,4,5.688,4.532,0,0.376,0.312,10.252,60,34.84
1/1/2014 3:30,3.97,5.4,6.38,0.32,0.35,0,10.22,60,3.952,5.624,6.252,0,0.312,0.312,10.252,60,33.296
1/1/2014 3:45,3.97,5.72,5.63,0.31,0.35,0,10.23,61,4,5.688,6.032,0,0.376,0.312,10,60,33.592
1/1/2014 4:00,3.97,5.76,2.31,0.31,0.33,0,10.22,78,3.968,5.624,4.156,0,0.376,0.312,10.5,60,35.064
1/1/2014 4:15,4.02,4.59,3.03,0.31,0.36,0,10.22,57,3.952,5.436,3.124,0,0.312,0.312,10.252,60,36.612
1/1/2014 4:30,4.01,5.73,5.02,0.32,0.35,0,10.22,59,4.048,5.376,4.22,0,0.436,0.376,10.252,60,35.292
1/1/2014 4:45,4,5.87,5.02,0.32,0.35,0,10.21,59,4,5.688,4.908,0,0.312,0.252,10,60,34.84
1/1/2014 5:00,4.02,5.52,4.86,0.31,0.35,0,10.21,62,4,5.752,4.376,0,0.376,0.312,10.252,60,34.932
1/1/2014 5:15,4,5.09,5.46,0.35,0.35,0,13.88,64,4,5.688,5.468,0,0.312,0.376,13,64,35.156
1/1/2014 5:30,4.02,5.78,5.51,0.35,0.35,0,13.98,65,3.952,5,4.188,0,0.376,0.312,14,60,32.172
1/1/2014 5:45,3.95,5.79,5.37,0.34,0.35,0,13.98,63,4.048,5.752,5.468,0,0.376,0.376,14,64,33.98
1/1/2014 6:00,4.1,5.82,4.91,0.35,0.35,0,15.04,65,4.08,5.752,4.408,0,0.312,0.376,14.752,64,34.32
1/1/2014 6:15,4.15,6.49,4.56,0.4,0.33,0,40.81,94,4.124,5.876,4.936,0,0.376,0.376,35,88,37.312
1/1/2014 6:30,4.15,6.71,6.37,0.39,0.32,0,40.68,97,4.156,7,6.092,0,0.312,0.376,40.752,100,41.312
1/1/2014 6:45,4.05,6.67,6.29,0.41,0.33,0,40.66,97,4.108,7.124,6.344,0,0.312,0.376,40.752,96,36.984
1/1/2014 7:00,4.15,7.17,6.31,0.37,0.33,0,35.38,92,4.124,7,6.28,0,0.312,0.376,37,92,36.908
1/1/2014 7:15,4.17,7.08,6.28,0.36,0.32,0,35.39,87,4.156,7.064,6.312,0,0.376,0.376,35.5,88,34.216
1/1/2014 7:30,4.17,7.38,6.28,0.37,0.32,0,35.57,88,4.172,6.564,6.28,0,0.252,0.376,35.252,88,35.104
1/1/2014 7:45,4.15,7.15,6.09,0.36,0.34,0,33.47,83,4.156,7.064,5.876,0,0.376,0.376,34.752,88,35.4
1/1/2014 8:00,4.12,6.36,5.57,0.36,0.33,0,33.56,86,4.156,6.564,5.844,0,0.312,0.376,33.252,84,33.496
1/1/2014 8:15,4.14,6.68,5.79,0.37,0.33,0,35.66,86,4.124,6.688,5.78,0,0.312,0.312,35.752,88,35.032
1/1/2014 8:30,4.17,7.05,5.8,0.37,0.33,0,35.63,87,4.108,7,5.844,0,0.376,0.436,35.5,92,38.736
1/1/2014 8:45,4.17,7.23,5.17,0.36,0.33,0,35.64,87,4.124,6.936,5.812,0,0.312,0.312,35.5,88,35.004
1/1/2014 9:00,4.15,7.07,5.59,0.37,0.33,0,33.53,86,4.124,7,5.752,0,0.312,0.376,34,84,32.436
1/1/2014 9:15,4.21,6.83,5.42,0.36,0.34,0,33.52,83,4.156,7,5.592,0,0.376,0.376,33.752,84,32.748
1/1/2014 9:30,4.01,7.15,5.05,0.36,0.33,0,33.54,83,4.124,7,5.252,0,0.312,0.376,33.5,88,37.436
1/1/2014 9:45,3.96,7.1,5.12,0.36,0.34,0,33.54,85,4.08,7.064,5.252,0,0.312,0.312,33.5,84,33.48
1/1/2014 10:00,4.2,6.66,5.28,0.36,0.33,0,33.55,85,4.156,7,5.22,0,0.312,0.376,33.5,84,33.436
1/1/2014 10:15,4.19,6.35,5.06,0.37,0.33,0,33.53,84,4.156,6.812,5.22,0.08,0.376,0.376,33.752,84,33.228
1/1/2014 10:30,4.15,7.3,4.95,0.37,0.32,0,33.54,85,4.172,7,5.188,0.08,0.312,0.376,33.252,84,33.62
1/1/2014 10:45,4.14,7.61,5.32,0.36,0.33,0,33.55,84,4.156,7.376,5.22,0.08,0.312,0.376,33.752,88,36.728
1/1/2014 11:00,4.16,8.12,4.93,0.35,0.32,0,33.55,86,4.156,7.812,5.188,0,0.312,0.564,33.5,84,32.468
1/1/2014 11:15,4.06,8.36,5.59,0.37,0.33,0,33.55,84,4.124,8.188,5.252,0.08,0.376,0.376,33.5,88,36.104
1/1/2014 11:30,4.1,8.37,5.17,0.36,0.33,0,33.55,85,4.08,8.312,5.22,0.048,0.312,0.312,33.752,84,31.964
