native_name_id,native_name,expecting_data,origin,trend_type,trend_period,last_updated
241679,1ST-FL HOT WATER RETURN TEMPERATURE,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241680,1ST-FL HOT WATER SUPP LOCAL SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241681,1ST-FL HOT WATER SUPPLY TEMPERATURE,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241682,1ST-FL HWS CONTROL OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241683,1ST-FL HX VALVE,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241684,1ST-FL HX VALVE POSITION,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241685,1ST-FL LAG PUMP START-STOP,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241686,1ST-FL LAG PUMP START-STOP DIFFERENT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241687,1ST-FL LAG PUMP START-STOP WSP,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241688,1ST-FL P-1/P-2 START-STOP,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241689,1ST-FL P-1/P-2 START-STOP DIFF,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241690,AC-10 CHILLED WATER VALVE POSITION,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241691,AC-10 CHW VALVE MODULE OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241692,AC-10 CHW VALVE SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241693,AC-10 COMPRESSOR NO 1 LOW PRESSURE,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241694,AC-10 CONTROL DAMPER POSITION,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241695,AC-10 COOLING ACTUAL SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241696,AC-10 COOLING CONTROL OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241697,AC-10 COOLING OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241698,AC-10 COOLING VALVE SIGNAL,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241699,AC-10 DAMPER CONTROL OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241700,AC-10 DAMPER CONTROL STDBY SP,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241701,AC-10 DAMPER WORKING SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241702,AC-10 EXHAUST DAMPER SIGNAL,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241703,AC-10 EXH MINIMUM DAMPER STATUS,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241704,AC-10 HEATING ACTUAL SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241705,AC-10 HEATING CONTROL OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241706,AC-10 HEATING OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241707,AC-10 HEATING VALVE POSITION,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241708,AC-10 HEATING VALVE SIGNAL,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241709,AC-10 HEAT WORKING SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241710,AC-10 NORTH CELLAR RETURN,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241711,AC-10 NORTH CELLAR SUPPLY,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241712,AC-10 NORTH COIL RET SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241713,AC-10 NORTH COIL SUPP SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241714,AC-10 NORTH RHC SUPPLY OUTPUT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241715,AC-10 NORTH RHC VALVE POSITION,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241716,AC-10 NORTH RHC WORKING SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241717,AC-10 OA MINIMUM DAMPER STATUS,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241718,AC-10 OUTSIDE AIR DAMPER SIGNAL,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241719,AC-10 PHC SUPPLY AIR SETPOINT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241720,AC-10 PHC SUPPLY TEMPERATURE,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
241721,AC-10 PHC SUPPLY WORKING SETPT,True,CLIENT,INTERVAL,300 seconds,2018-09-07T13:57:30Z
