equipment_name,eco_point_id,equipment_type,point_class,display_name,native_name,last_updated,is_active
1st_Floor,237618,HW,BoilerInletWaterTemperature,HotWaterReturnTemp,1ST-FL HOT WATER RETURN TEMPERATURE,2018-09-07T15:14:58Z,True
1st_Floor,237619,HW,BoilerOutletWaterTemperatureSetPoint,HotWaterSupplyTempSetPoint,1ST-FL HOT WATER SUPP LOCAL SETPOINT,2018-09-07T15:14:58Z,True
1st_Floor,237620,HW,BoilerOutletWaterTemperature,HotWaterSupplyTemp,1ST-FL HOT WATER SUPPLY TEMPERATURE,2018-09-07T15:14:58Z,True
1st_Floor,237621,HW,,HeatExchangerValveCommand,1ST-FL HWS CONTROL OUTPUT,2018-09-07T15:14:58Z,True
1st_Floor,237622,HW,,HeatExchangerValveFeedback,1ST-FL HX VALVE,2018-09-07T15:14:58Z,True
1st_Floor,237623,HW,,HeatExchangerValvePosition,1ST-FL HX VALVE POSITION,2018-09-07T15:14:58Z,True
1st_Floor,237624,HW,,LagPumpStartStop,1ST-FL LAG PUMP START-STOP,2018-09-07T15:14:58Z,True
1st_Floor,237625,HW,,LagPumpStartStopDifferential,1ST-FL LAG PUMP START-STOP DIFFERENT,2018-09-07T15:14:58Z,True
1st_Floor,237626,HW,,LagPumpStartStop_WorkingSetPoint,1ST-FL LAG PUMP START-STOP WSP,2018-09-07T15:14:58Z,True
1st_Floor,237627,HW,,PumpStartStop_01_02,1ST-FL P-1/P-2 START-STOP,2018-09-07T15:14:58Z,True
1st_Floor,237628,HW,,PumpStartStopDifferential_01_02,1ST-FL P-1/P-2 START-STOP DIFF,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237629,AHU,,ChilledWaterValveFeedback_Duplicate,AC-10 CHILLED WATER VALVE POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237630,AHU,CoolingCoilUnitFeedback,ChilledWaterValveFeedback,AC-10 CHW VALVE MODULE OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237631,AHU,,ChilledWaterValveSetPoint,AC-10 CHW VALVE SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237632,AHU,,LowPressure_Compressor_01,AC-10 COMPRESSOR NO 1 LOW PRESSURE,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237633,AHU,,OutdoorAirDamperCommand_Duplicate,AC-10 CONTROL DAMPER POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237634,AHU,SupplyAirTemperatureSetPointWhenCooling,SupplyAirTempSetPoint_Cooling,AC-10 COOLING ACTUAL SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237635,AHU,,CoolingRequest_Duplicate,AC-10 COOLING CONTROL OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237636,AHU,,CoolingRequest,AC-10 COOLING OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237637,AHU,CoolingCoilUnitControl,ChilledWaterValveCommand,AC-10 COOLING VALVE SIGNAL,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237638,AHU,OutdoorDamperUnitFeedback,OutdoorAirDamperFeedback,AC-10 DAMPER CONTROL OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237639,AHU,,OutdoorAirDamperCommand_Standby,AC-10 DAMPER CONTROL STDBY SP,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237640,AHU,,OutdoorAirTemperatureSetPoint_Working,AC-10 DAMPER WORKING SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237641,AHU,,ExhaustAirDamperCommand,AC-10 EXHAUST DAMPER SIGNAL,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237642,AHU,,ExhaustAirMinDamperStatus,AC-10 EXH MINIMUM DAMPER STATUS,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237643,AHU,,SupplyAirTempSetPoint_Heating_Actual,AC-10 HEATING ACTUAL SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237644,AHU,,HeatingValveFeedback_Duplicate_02,AC-10 HEATING CONTROL OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237645,AHU,HeatingCoilUnitFeedback,HeatingValveFeedback,AC-10 HEATING OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237646,AHU,,HeatingValveFeedback_Duplicate_01,AC-10 HEATING VALVE POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237647,AHU,HeatingCoilUnitControl,HeatingValveCommand,AC-10 HEATING VALVE SIGNAL,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237648,AHU,SupplyAirTemperatureSetPointWhenHeating,SupplyAirTempSetPoint_Heating,AC-10 HEAT WORKING SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237649,AHU,,ReturnAirTemp_North,AC-10 NORTH CELLAR RETURN,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237650,AHU,,SupplyAirTemp_North,AC-10 NORTH CELLAR SUPPLY,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237651,AHU,,ReturnAirTempSetPoint_North,AC-10 NORTH COIL RET SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237652,AHU,,SupplyAirTempSetPoint_North,AC-10 NORTH COIL SUPP SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237653,AHU,,ReHeatValveCommand_North,AC-10 NORTH RHC SUPPLY OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237654,AHU,,ReHeatValveFeedback_North,AC-10 NORTH RHC VALVE POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237655,AHU,,SupplyAirTempSetPoint_North_Working,AC-10 NORTH RHC WORKING SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237656,AHU,EconomizerDamperUnitMinControl,OutdoorAirMinDamperStatus,AC-10 OA MINIMUM DAMPER STATUS,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237657,AHU,OutdoorDamperUnitControl,OutdoorAirDamperCommand,AC-10 OUTSIDE AIR DAMPER SIGNAL,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237658,AHU,,PreHeatSupplyAirTempSetPoint,AC-10 PHC SUPPLY AIR SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237659,AHU,HeatingCoilOutletAirTemperature,PreHeatSupplyAirTemp,AC-10 PHC SUPPLY TEMPERATURE,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237660,AHU,,PreHeatSupplyAirTempSetPoint_Working,AC-10 PHC SUPPLY WORKING SETPT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237661,AHU,ReturnDamperUnitFeedback,ReturnAirDamperPosition,AC-10 RETURN AIR DAMPER POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237662,AHU,,ReturnAirModuleOutput,AC-10 RETURN AIR MODULE OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237663,AHU,,ReturnAirTempSetPoint_Off,AC-10 RETURN AIR OFF SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237664,AHU,,ReturnAirTempSetPoint_Standby,AC-10 RETURN AIR STANDBY SETPT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237665,AHU,ReturnAirTemperature,ReturnAirTemp,AC-10 RETURN AIR TEMPERATURE,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237666,AHU,ReturnAirTemperatureSetPoint,ReturnAirTempSetPoint,AC-10 RETURN AIR TEMP SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237667,AHU,,ReturnAirTempSetPoint_Working,AC-10 RETURN AIR WORKING SETPN,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237668,AHU,,ReturnAirDamperCommand,AC-10 RETURN DAMPER SIGNAL,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237669,AHU,,ReturnFanStatus,AC-10 RETURN FAN STATUS,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237670,AHU,,ReturnAirTemp_South,AC-10 SOUTH CELLAR RETURN,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237671,AHU,,SupplyAirTemp_South,AC-10 SOUTH CELLAR SUPPLY,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237672,AHU,,ReturnAirTempSetPoint_South,AC-10 SOUTH COIL RET SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237673,AHU,,SupplyAirTempSetPoint_South,AC-10 SOUTH COIL SUP SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237674,AHU,,ReHeatValveCommand_South,AC-10 SOUTH RHC SUPPLY OUTPUT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237675,AHU,,ReHeatValveFeedback_South,AC-10 SOUTH RHC VALVE POSITION,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237676,AHU,,SupplyAirTempSetPoint_South_Working,AC-10 SOUTH RHC WORKING SETPOINT,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237677,AHU,SupplyAirTemperature,SupplyAirTemp,AC-10 SUPPLY AIR TEMPERATURE,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237678,AHU,SupplyFanUnitOnOffFeedback,SupplyFanStatus,AC-10 SUPPLY FAN STATUS,2018-09-07T15:14:58Z,True
AC10_RF35_Cellar_Tenant,237679,AHU,,SupplyAirModuleOutput,AC-10 SUPPLY MODULE OUTPUT,2018-09-07T15:14:58Z,True
AC12_05_EMR,237680,AC,SpaceAirTemperature,SpaceTemp,AC-12-5 Room Temperature,2018-09-07T15:14:58Z,True
AC12_05_EMR,237681,AC,DischargeFanUnitOnOffFeedback,SupplyFanStatus,AC-12-5 Supply Fan status,2018-09-07T15:14:58Z,True
AC13_05_EMR,237682,AC,DischargeFanUnitOnOffFeedback,SupplyFanStatus,AC-13-5 Fan Status,2018-09-07T15:14:58Z,True
AC13_05_EMR,237683,AC,SpaceAirTemperature,SpaceTemp,AC-13-5 Room Temperature,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237684,AHU,CoolingCoilUnitFeedback,ChilledWaterValveFeedback,AC-1A/F-1A CHW VALVE MODULE OUTPU,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237685,AHU,,ChilledWaterValveSetPoint,AC-1A/F-1A CHW VALVE SETPOINT,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237686,AHU,,CoolingRequest,AC-1A/F-1A COOLING OUTPUT,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237687,AHU,SupplyAirTemperatureSetPointWhenCooling,SupplyAirTempSetPoint_Cooling,AC-1A/F-1A COOLING SUPPLY SETPOINT,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237688,AHU,CoolingCoilUnitControl,ChilledWaterValveCommand,AC-1A/F-1A COOLING VALVE SIGNAL,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237689,AHU,OutdoorDamperUnitFeedback,OutdoorAirDamperFeedback,AC-1A/F-1A DAMPER CONTROL OUTPUT,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237690,AHU,,OutdoorAirDamperCommand_Standby,AC-1A/F-1A DAMPER CONTROL STDBY S,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237691,AHU,,OutdoorAirDamperMode_Local,AC-1A/F-1A DAMPER LOCAL SETPOINT,2018-09-07T15:14:58Z,True
ACA1_RFA1_30th_Interior,237692,AHU,,OutdoorDamperUnitMinControl,AC-1A/F-1A DAMPER MIN POSITION ,2018-09-07T15:14:58Z,True
