Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,1.278529E+00,1.726948E+04,3.583277E+00,4.286897E+04,5.195491E+04,1.278529E+00,2.510640E+04,3.134500E+00,2.941656E+04,4.334564E+04,1.278529E+00,2.022438E+04,3.432931E+00,3.803827E+04,6.295686E+04,1.278529E+00,2.009591E+04,3.430597E+00,3.813874E+04,5.662838E+04,1.652765E+00,4.646323E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.284728E+00,2.976403E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.287609E+00,3.134592E+04,1.278529E+00,0.000000E+00,0.000000E+00
00:20:00,1.278529E+00,1.736455E+04,2.876624E+00,3.421802E+04,4.307592E+04,1.278529E+00,2.520147E+04,2.512398E+00,2.153283E+04,3.477019E+04,1.278529E+00,2.031945E+04,2.754630E+00,2.963859E+04,5.426147E+04,1.278529E+00,2.019098E+04,2.752739E+00,2.974716E+04,4.805364E+04,1.416580E+00,4.316689E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
00:30:00,1.278529E+00,1.745962E+04,2.176395E+00,2.706601E+04,3.400343E+04,1.278529E+00,2.529654E+04,1.890755E+00,1.377437E+04,2.469730E+04,1.278529E+00,2.041452E+04,2.077720E+00,2.165228E+04,4.381007E+04,1.278529E+00,2.028605E+04,2.076210E+00,2.175869E+04,3.792380E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
00:40:00,1.278529E+00,1.755469E+04,1.500924E+00,1.574472E+04,1.979715E+04,1.278529E+00,2.539161E+04,1.370127E+00,4.935829E+03,1.307250E+04,1.278529E+00,2.050959E+04,1.434614E+00,1.120835E+04,2.972559E+04,1.278529E+00,2.038112E+04,1.433619E+00,1.131808E+04,2.428540E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
00:50:00,1.278529E+00,1.764976E+04,1.278529E+00,1.089717E+04,1.366780E+04,1.278529E+00,2.548668E+04,1.278529E+00,3.060252E+03,1.042969E+04,1.278529E+00,2.060467E+04,1.278529E+00,7.942265E+03,2.512350E+04,1.278529E+00,2.047619E+04,1.278529E+00,8.070739E+03,2.000240E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
01:00:00,1.278529E+00,1.774483E+04,1.278529E+00,1.080210E+04,1.357109E+04,1.278529E+00,2.558175E+04,1.278529E+00,2.965181E+03,1.016456E+04,1.278529E+00,2.069974E+04,1.278529E+00,7.847194E+03,2.481573E+04,1.278529E+00,2.057126E+04,1.278529E+00,7.975668E+03,1.990519E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
01:10:00,1.278529E+00,1.780821E+04,1.278529E+00,1.073872E+04,1.350662E+04,1.278529E+00,2.564513E+04,1.278529E+00,2.901800E+03,9.988225E+03,1.278529E+00,2.076312E+04,1.278529E+00,7.783814E+03,2.461106E+04,1.278529E+00,2.063464E+04,1.278529E+00,7.912288E+03,1.984039E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
01:20:00,1.278529E+00,1.787159E+04,1.278529E+00,1.067534E+04,1.344216E+04,1.278529E+00,2.570851E+04,1.278529E+00,2.838420E+03,9.812222E+03,1.278529E+00,2.082650E+04,1.278529E+00,7.720433E+03,2.440680E+04,1.278529E+00,2.069802E+04,1.278529E+00,7.848907E+03,1.977558E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
01:30:00,1.278529E+00,1.793498E+04,1.278529E+00,1.061196E+04,1.337769E+04,1.278529E+00,2.577189E+04,1.278529E+00,2.775039E+03,9.636549E+03,1.278529E+00,2.088988E+04,1.278529E+00,7.657052E+03,2.420294E+04,1.278529E+00,2.076140E+04,1.278529E+00,7.785527E+03,1.971079E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
01:40:00,1.278529E+00,1.799836E+04,1.278529E+00,1.054857E+04,1.331322E+04,1.278529E+00,2.583527E+04,1.278529E+00,2.711659E+03,9.461206E+03,1.278529E+00,2.095326E+04,1.278529E+00,7.593672E+03,2.399949E+04,1.278529E+00,2.082478E+04,1.278529E+00,7.722146E+03,1.964598E+04,1.278529E+00,4.124017E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,2.967750E+04,1.278529E+00,0.000000E+00,0.000000E+00,1.278529E+00,3.121919E+04,1.278529E+00,0.000000E+00,0.000000E+00
