Time,S1 OFFICE BACK:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S2 OFFICE BACK:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S2 OFFICE BACK:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S2 OFFICE BACK:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S2 OFFICE BACK:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S2 OFFICE CORE:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S2 OFFICE CORE:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S2 OFFICE CORE:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S2 OFFICE CORE:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S2 OFFICE FRONT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S2 OFFICE FRONT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S2 OFFICE FRONT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S2 OFFICE FRONT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S2 OFFICE LEFT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S2 OFFICE LEFT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S2 OFFICE LEFT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S2 OFFICE LEFT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S2 OFFICE RIGHT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S2 OFFICE RIGHT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S2 OFFICE RIGHT:CLIMATE ZONE 3 ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S2 OFFICE RIGHT:CLIMATE ZONE 3 ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.383873E+03,3.626947E+03,1.683183E-01,3.200233E-01,1.200658E+03,7.349375E+03,8.477623E-02,6.484893E-01,2.410998E+03,3.880330E+03,1.702335E-01,3.423775E-01,1.582781E+03,2.600049E+03,1.117554E-01,2.294084E-01,1.568998E+03,2.278007E+03,1.107822E-01,2.009972E-01,2.636579E+03,3.860089E+03,1.861597E-01,3.405915E-01,1.561013E+03,7.879704E+03,1.102202E-01,6.952772E-01,2.659768E+03,4.074650E+03,1.877970E-01,3.595209E-01,1.736552E+03,2.655229E+03,1.226117E-01,2.342767E-01,1.724689E+03,2.406298E+03,1.217741E-01,2.123152E-01
00:20:00,1.906463E+03,2.894198E+03,1.346098E-01,2.553694E-01,9.598061E+02,6.000101E+03,6.777013E-02,5.257888E-01,1.928159E+03,3.093943E+03,1.361417E-01,2.729915E-01,1.265826E+03,2.069529E+03,8.937618E-02,1.825995E-01,1.254800E+03,1.816592E+03,8.859768E-02,1.602849E-01,2.108598E+03,3.078933E+03,1.488808E-01,2.716670E-01,1.247976E+03,6.465384E+03,8.811730E-02,5.655183E-01,2.127147E+03,3.248236E+03,1.501905E-01,2.866035E-01,1.388830E+03,2.114263E+03,9.806032E-02,1.865462E-01,1.379340E+03,1.918269E+03,9.739023E-02,1.692550E-01
00:30:00,1.429378E+03,2.165198E+03,1.009242E-01,1.910462E-01,7.193213E+02,4.641191E+03,5.078994E-02,4.026547E-01,1.445648E+03,2.334238E+03,1.020730E-01,2.053310E-01,9.490751E+02,1.580263E+03,6.701134E-02,1.384192E-01,9.408061E+02,1.358140E+03,6.642750E-02,1.198340E-01,1.580958E+03,2.302427E+03,1.116260E-01,2.031528E-01,9.353653E+02,5.030370E+03,6.604441E-02,4.347380E-01,1.594868E+03,2.437619E+03,1.126081E-01,2.147897E-01,1.041318E+03,1.589701E+03,7.352377E-02,1.399305E-01,1.034201E+03,1.433687E+03,7.302121E-02,1.264988E-01
00:40:00,9.526109E+02,1.508920E+03,6.726107E-02,1.311260E-01,4.791966E+02,3.418768E+03,3.383518E-02,2.875092E-01,9.634557E+02,1.558284E+03,6.802679E-02,1.368654E-01,6.325235E+02,1.060420E+03,4.466058E-02,9.255233E-02,6.270112E+02,9.303988E+02,4.427138E-02,8.128259E-02,1.053650E+03,1.588307E+03,7.439455E-02,1.384571E-01,6.231710E+02,3.734104E+03,4.400095E-02,3.121311E-01,1.062922E+03,1.622798E+03,7.504924E-02,1.428951E-01,6.940127E+02,1.058783E+03,4.900176E-02,9.308640E-02,6.892676E+02,9.690647E+02,4.866672E-02,8.501880E-02
00:50:00,4.761539E+02,7.872078E+02,3.361983E-02,6.744581E-02,2.394250E+02,2.273104E+03,1.690536E-02,1.769393E-01,4.815754E+02,9.488141E+02,3.400263E-02,7.839580E-02,3.161666E+02,6.643510E+02,2.232358E-02,5.413918E-02,3.134106E+02,4.777028E+02,2.212898E-02,4.133947E-02,5.266662E+02,8.208551E+02,3.718608E-02,7.074170E-02,3.113853E+02,2.526449E+03,2.198634E-02,1.948500E-01,5.313018E+02,9.586395E+02,3.751338E-02,8.008677E-02,3.469082E+02,6.279772E+02,2.449395E-02,5.230821E-02,3.445357E+02,4.911880E+02,2.432643E-02,4.285420E-02
01:00:00,0.000000E+00,2.283611E+02,0.000000E+00,1.349875E-02,0.000000E+00,1.187683E+03,0.000000E+00,6.997365E-02,0.000000E+00,1.991776E+02,0.000000E+00,1.177148E-02,0.000000E+00,1.816279E+02,0.000000E+00,1.074942E-02,0.000000E+00,1.134412E+02,0.000000E+00,6.712236E-03,0.000000E+00,2.132893E+02,0.000000E+00,1.261354E-02,0.000000E+00,1.390725E+03,0.000000E+00,8.191307E-02,0.000000E+00,1.623903E+02,0.000000E+00,9.612569E-03,0.000000E+00,1.172143E+02,0.000000E+00,6.929898E-03,0.000000E+00,9.592950E+01,0.000000E+00,5.678088E-03
01:10:00,0.000000E+00,2.358675E+02,0.000000E+00,1.394016E-02,0.000000E+00,1.615851E+03,0.000000E+00,9.515237E-02,0.000000E+00,2.490180E+02,0.000000E+00,1.470186E-02,0.000000E+00,2.274463E+02,0.000000E+00,1.344340E-02,0.000000E+00,1.134412E+02,0.000000E+00,6.712236E-03,0.000000E+00,2.225375E+02,0.000000E+00,1.315737E-02,0.000000E+00,1.879401E+03,0.000000E+00,1.106505E-01,0.000000E+00,2.085360E+02,0.000000E+00,1.232570E-02,0.000000E+00,1.507989E+02,0.000000E+00,8.904519E-03,0.000000E+00,9.592950E+01,0.000000E+00,5.678088E-03
01:20:00,0.000000E+00,2.727987E+02,0.000000E+00,1.611154E-02,0.000000E+00,1.958401E+03,0.000000E+00,1.152677E-01,0.000000E+00,3.233109E+02,0.000000E+00,1.907019E-02,0.000000E+00,2.873200E+02,0.000000E+00,1.696401E-02,0.000000E+00,2.453183E+02,0.000000E+00,1.447992E-02,0.000000E+00,2.650417E+02,0.000000E+00,1.565642E-02,0.000000E+00,2.244162E+03,0.000000E+00,1.320777E-01,0.000000E+00,2.833616E+02,0.000000E+00,1.672532E-02,0.000000E+00,2.014932E+02,0.000000E+00,1.188528E-02,0.000000E+00,2.275531E+02,0.000000E+00,1.343854E-02
01:30:00,0.000000E+00,3.316394E+02,0.000000E+00,1.957125E-02,0.000000E+00,2.346299E+03,0.000000E+00,1.379840E-01,0.000000E+00,3.961246E+02,0.000000E+00,2.335027E-02,0.000000E+00,3.227214E+02,0.000000E+00,1.900258E-02,0.000000E+00,2.731953E+02,0.000000E+00,1.611958E-02,0.000000E+00,3.326699E+02,0.000000E+00,1.963283E-02,0.000000E+00,2.671931E+03,0.000000E+00,1.571380E-01,0.000000E+00,3.716421E+02,0.000000E+00,2.191394E-02,0.000000E+00,2.547232E+02,0.000000E+00,1.501487E-02,0.000000E+00,2.574014E+02,0.000000E+00,1.519419E-02
01:40:00,0.000000E+00,3.396405E+02,0.000000E+00,2.002292E-02,0.000000E+00,2.628738E+03,0.000000E+00,1.546018E-01,0.000000E+00,5.068709E+02,0.000000E+00,2.986260E-02,0.000000E+00,4.032497E+02,0.000000E+00,2.373810E-02,0.000000E+00,2.850125E+02,0.000000E+00,1.680610E-02,0.000000E+00,3.632679E+02,0.000000E+00,2.141602E-02,0.000000E+00,2.997031E+03,0.000000E+00,1.762672E-01,0.000000E+00,4.891204E+02,0.000000E+00,2.882213E-02,0.000000E+00,3.305455E+02,0.000000E+00,1.947355E-02,0.000000E+00,2.841911E+02,0.000000E+00,1.676636E-02
