Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,56169215043.50078,22931191316.858407 
February,54321722749.65299,13529704615.21865 
March,62374185038.33415,12652267503.765919 
April,64052333695.73511,9908124703.510972 
May,61577148253.00596,7743880710.770749 
June,66341695843.03221,4963519161.288022 
July,69652377452.96011,4246699336.9681026 
August,66841222309.17209,4479962247.891395 
September,66752447254.958629,4103523436.511762 
October,65730832355.64163,5832753752.070143 
November,56328221086.89439,13121968658.808979 
December,60122754582.06249,22805249359.88584 
