Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,56467343535.24337,21782205207.102155 
February,54676924773.43872,12844259845.422814 
March,62779163361.45845,12115183667.833069 
April,64464018573.67316,9464866874.339669 
May,61983229394.93616,7338552850.7080349 
June,66747851167.92453,4715945226.816003 
July,69985442523.06078,4071893223.471258 
August,67197575883.2462,4290997830.683283 
September,67041419495.19789,3978649146.3855316 
October,66019603350.12736,5653610974.781407 
November,56482813135.5896,12810823773.49514 
December,60396300565.994289,22149698998.467367 
