Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,45244508760.69878,42278957094.02195 
February,42870993491.061168,27540698143.96777 
March,48896839350.89035,27108760982.99454 
April,49925731845.50382,20603367511.45254 
May,48506576988.0823,17351133683.176454 
June,52785261603.862949,11745530572.513337 
July,55609018663.13496,10249639268.219403 
August,53200024656.17068,10781437120.160138 
September,53352193642.15165,9620618206.012072 
October,52449064034.32875,13173164450.911568 
November,45214014565.92186,26531226866.106874 
December,48002060600.389629,40795678114.17743 
