Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,21281601118.018499,4545185735.476347 
February,18648817389.00467,3591688131.554022 
March,19226576596.344484,436230892.08259299 
April,16979188544.30768,147720762.15786267 
May,18244590943.48087,2668975.2820909845 
June,19909421137.411329,0.0 
July,21152192107.151979,0.0 
August,21334439907.823465,0.0 
September,18978228969.03012,0.0 
October,17792993207.01875,11815346.349624346 
November,18834440697.119588,901734851.2268863 
December,20678375926.986005,3145873213.3257377 
