Date/Time,Gas:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  02:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  03:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  04:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  05:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  06:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  07:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  08:00:00,0.0,10977457.961957103,10977457.961957103 
 01/01  09:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  10:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  11:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  12:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  13:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  14:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  15:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  16:00:00,0.0,9016657.961957103,9016657.961957103 
 01/01  17:00:00,0.0,12938257.961957103,12938257.961957103 
 01/01  18:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  19:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  20:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  21:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  22:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  23:00:00,0.0,14899057.961957103,14899057.961957103 
 01/01  24:00:00,0.0,14899057.961957103,14899057.961957103 
 01/02  01:00:00,0.0,18642654.457400089,18642654.45740009 
 01/02  02:00:00,0.0,18642654.457400089,18642654.45740009 
 01/02  03:00:00,0.0,18642654.457400089,18642654.45740009 
 01/02  04:00:00,0.0,18642654.457400089,18642654.45740009 
 01/02  05:00:00,0.0,18642654.457400089,18642654.45740009 
 01/02  06:00:00,0.0,19633023.900638977,19633023.90063898 
 01/02  07:00:00,44321026.197809759,64119495.30287475,64119495.302874747 
 01/02  08:00:00,18781513.64295318,59800083.92585786,59800083.92585786 
 01/02  09:00:00,0.0,62898537.65462201,62898537.65462203 
 01/02  10:00:00,0.0,56977545.243349079,56977545.24334909 
 01/02  11:00:00,0.0,52423632.90614157,52423632.90614157 
 01/02  12:00:00,0.0,47988593.92390166,47988593.92390166 
 01/02  13:00:00,0.0,48883138.90306248,48883138.90306248 
 01/02  14:00:00,0.0,48390284.63229662,48390284.63229664 
 01/02  15:00:00,0.0,49524965.50302024,49524965.50302024 
 01/02  16:00:00,0.0,49351442.02226078,49351442.02226077 
 01/02  17:00:00,0.0,53937606.60946256,53937606.60946257 
 01/02  18:00:00,3639303.8856724,55836286.523290928,55836286.52329093 
 01/02  19:00:00,0.0,47348929.36332622,47348929.36332622 
 01/02  20:00:00,0.0,19652831.289526334,19652831.289526337 
 01/02  21:00:00,0.0,17672092.403048569,17672092.403048569 
 01/02  22:00:00,0.0,17672092.403048569,17672092.403048569 
 01/02  23:00:00,0.0,15889427.405195989,15889427.405195989 
 01/02  24:00:00,0.0,14899057.961957103,14899057.961957103 
 01/03  01:00:00,0.0,18642654.457400089,18642654.45740009 
 01/03  02:00:00,0.0,18642654.457400089,18642654.45740009 
 01/03  03:00:00,0.0,18642654.457400089,18642654.45740009 
 01/03  04:00:00,0.0,18642654.457400089,18642654.45740009 
 01/03  05:00:00,0.0,18642654.457400089,18642654.45740009 
 01/03  06:00:00,0.0,19633023.900638977,19633023.90063898 
 01/03  07:00:00,32732585.475980287,62333775.77319993,62333775.77319993 
 01/03  08:00:00,19323903.037530457,58248038.211591187,58248038.211591187 
 01/03  09:00:00,0.0,63041141.07143298,63041141.071432989 
 01/03  10:00:00,0.0,59339825.21420494,59339825.214204948 
