Date/Time,CORE_ZN ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_1 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_2 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_3 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_4 ZN:Zone People Occupant Count [](Hourly),ATTIC ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_1 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_2 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_3 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_4 ZN:Zone Infiltration Air Change Rate [ach](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,1.0076818128583483,0.13745353254765373,0.15417338006233584,0.13721080313009913,0.1540771971343283 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,1.0074505572459958,0.13941184269050875,0.15640340317008864,0.1392182100073994,0.15630600115965585 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.9978338470601206,0.12349952195046148,0.13856939345128964,0.12335885725114983,0.1384852181196896 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.9949125808022026,0.1277150602861498,0.14331281282504503,0.12759918212087316,0.14322931676466714 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.9936345854098292,0.13854174170059034,0.1554729958078417,0.13844426117291473,0.15538648477432505 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.9935381656076071,0.13832648129190318,0.1552418043253746,0.13825359874841207,0.15516009451719879 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.9939446607680665,0.15371100039251354,0.17251409514247843,0.15365673594500929,0.17243248200188367 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,0.9935165390995485,0.14906137489907304,0.1673200658780415,0.14896481540116655,0.1671589905780523 
 01/01  09:00:00,0.0,0.0,0.0,0.0,0.0,0.997081743731249,0.1533874593422914,0.17217805832392178,0.15277705616752083,0.17144501568483543 
 01/01  10:00:00,0.0,0.0,0.0,0.0,0.0,1.0071797231656197,0.24441050619371097,0.2737309293338742,0.2421931476821563,0.271830523109291 
 01/01  11:00:00,0.0,0.0,0.0,0.0,0.0,1.02190669526796,0.30117084962722848,0.3357253859652745,0.29700019827926307,0.3334523686080106 
 01/01  12:00:00,0.0,0.0,0.0,0.0,0.0,1.0326523583050198,0.30015633927617288,0.3333490768881342,0.2953775111702031,0.33176412810629549 
 01/01  13:00:00,0.0,0.0,0.0,0.0,0.0,1.0330776451249362,0.28313882386450675,0.31499342209600919,0.2793419436901609,0.31382759728204559 
 01/01  14:00:00,0.0,0.0,0.0,0.0,0.0,1.0254572192793799,0.23733096842545774,0.2645471084341064,0.2347466446804015,0.26382720425372538 
 01/01  15:00:00,0.0,0.0,0.0,0.0,0.0,1.0199495354834956,0.18264963680396174,0.20378513973621863,0.1809154057714026,0.20346278026982049 
 01/01  16:00:00,0.0,0.0,0.0,0.0,0.0,1.0120558093343537,0.112340620511014,0.12549420126996337,0.1114572129832131,0.12536396215716587 
 01/01  17:00:00,0.0,0.0,0.0,0.0,0.0,1.0037988039373023,0.03237866837966103,0.036208741384835919,0.03216759600235102,0.03617207871729152 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.9976918531253318,0.0,0.0,0.0,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.9956234019286918,0.0635894692553152,0.07121603574069234,0.06331321427270612,0.07115169366296004 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.9929304447085775,0.12376249349535501,0.13865347635152193,0.12329730790018369,0.13853596602455335 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.9934392151770285,0.05599877268805359,0.06275179031313157,0.05580883424950028,0.06270205789363431 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.9927973483113309,0.0783449200736625,0.0878215230788336,0.07812054962765652,0.08776000653530468 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.9935376821059867,0.13429516162797737,0.15056984162163745,0.13396028963832838,0.15047009357462799 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.991869035485637,0.13438494862103698,0.15070059275454943,0.13409588622499375,0.15060623929854564 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.9927802855837932,0.1198885250143427,0.13446419540883867,0.11966641162997842,0.13438661280603904 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.9891541674661085,0.1394582493744376,0.15643694645626494,0.13924147700553844,0.15635297273031166 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.9878852106909358,0.1458388707838991,0.16361496154252568,0.1456451783541252,0.16353159436659424 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.9871092532412845,0.11983479758410037,0.13445428783237219,0.11970008959051504,0.13439731255746249 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.9846881519378883,0.15365605573327199,0.1724156459541909,0.15351126963564003,0.17235268396470128 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.9870280790710698,0.1704452216192189,0.19127477800400065,0.17030962492487845,0.19119953913191876 
 01/02  07:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9883666800431238,0.3571381166870333,0.16562527383974605,0.147352201122473,0.16563265643786993 
 01/02  08:00:00,1.8944170438340862,1.436090788848243,0.8519075371484072,1.4360907888482435,0.8519075371484072,0.9917770562663665,1.491972085598938,0.038364553524519697,0.034138291493225159,0.03836411159588734 
 01/02  09:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,0.9952479066749732,0.2512888710627221,0.04688658570778222,0.04172396173378109,0.046885472909550977 
 01/02  10:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0028181001978938,0.2561918276440773,0.05291279138726254,0.04708905282397382,0.0529108625322711 
 01/02  11:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0097839529002808,0.2554271397870337,0.05275811029567168,0.046952048836275069,0.05275596578686859 
 01/02  12:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0159639047886973,0.2436329103307228,0.039874852197024478,0.03548629405499686,0.03987329573882994 
 01/02  13:00:00,4.781147777295552,3.6244196099503287,2.1500523556602659,3.6244196099503296,2.1500523556602659,1.0234021760130859,1.4582901554334485,0.012822485271534958,0.01141138009050139,0.012821920744494294 
 01/02  14:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.028748896602632,0.22877245079056789,0.022300981377426145,0.01984653327714008,0.02230007468476064 
 01/02  15:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0252535283090228,0.23978852726676404,0.0340071272366766,0.030264301309950799,0.03400579083222735 
 01/02  16:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0150664234664005,0.24819092414969447,0.043762133660412597,0.03894587049840018,0.043760347922573109 
 01/02  17:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0053832539940236,0.2871796111598834,0.08799766113389336,0.07831197800537233,0.08799440849484626 
 01/02  18:00:00,2.8867307334614655,2.188328821102085,1.2981448185118588,2.1883288211020859,1.2981448185118588,1.0022647829774607,1.5216581978174207,0.07394178311974108,0.06580138626127256,0.07393952216676246 
 01/02  19:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9975400109842196,0.2538323766703267,0.04995450321633079,0.04445109097873265,0.04995407622970266 
 01/02  20:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9934613147751762,0.18671348499598115,0.20986225494634473,0.18683320565725623,0.20988681291717094 
 01/02  21:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9941537792855201,0.2010323261391865,0.22595253218649423,0.2011953966307433,0.2259853158685696 
 01/02  22:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.993906332631956,0.18110144137094176,0.2035230622038732,0.18123956991703525,0.2035524920469821 
 01/02  23:00:00,0.4510516771033539,0.3419263782972008,0.2028351278924779,0.34192637829720087,0.2028351278924779,0.9984219479753579,0.06666298280641904,0.07491162179625767,0.06670927924249716,0.07492182427771758 
 01/02  24:00:00,0.0,0.0,0.0,0.0,0.0,0.9979705948971295,0.078607545129234,0.0883346979566057,0.0786630633041939,0.08833895796113788 
 01/03  01:00:00,0.0,0.0,0.0,0.0,0.0,0.9960667394485236,0.1346725275126432,0.15132543922983777,0.13476527361038308,0.15132706903356039 
 01/03  02:00:00,0.0,0.0,0.0,0.0,0.0,0.9956014950323947,0.19490750256460108,0.21898710255798027,0.19503767113552607,0.21898273197135169 
 01/03  03:00:00,0.0,0.0,0.0,0.0,0.0,0.9948462718325187,0.31559224253557285,0.35453598498422336,0.3157900365574244,0.3545202133706004 
 01/03  04:00:00,0.0,0.0,0.0,0.0,0.0,0.9965497384242911,0.3412598520677359,0.38333439680654188,0.34145652252987598,0.38331148823854585 
 01/03  05:00:00,0.0,0.0,0.0,0.0,0.0,0.9990235650702551,0.30569786208478608,0.34336852867160869,0.3058727383510611,0.343343646879857 
 01/03  06:00:00,0.0,0.0,0.0,0.0,0.0,1.0001019458523313,0.311131610782631,0.34945047690476868,0.3113120010615145,0.3494201385536384 
 01/03  07:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.999994660255917,0.508994707067027,0.33420431136344055,0.2973856466253546,0.33421475629345256 
 01/03  08:00:00,1.8944170438340862,1.436090788848243,0.8519075371484072,1.4360907888482435,0.8519075371484072,0.9993114888405116,1.5376386301200456,0.07235379692844835,0.06437982982199576,0.07235540225705566 
 01/03  09:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.005314607709096,0.2785004805032294,0.07402635109873339,0.06587052651987578,0.0740271092505776 
 01/03  10:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0138847888848169,0.28213151180211279,0.07783600966313177,0.06926304003165415,0.0778357640885489 
 01/03  11:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0222072783822512,0.2772100930590147,0.07252926766387462,0.06454169170118258,0.072528650863769 
 01/03  12:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0278159415731055,0.26973735460089429,0.0643702393968391,0.0572825122803254,0.06436931184958463 
 01/03  13:00:00,4.781147777295552,3.6244196099503287,2.1500523556602659,3.6244196099503296,2.1500523556602659,1.0297570625989583,1.5227099823962192,0.0567937995971571,0.0505389720435895,0.05679326347206035 
 01/03  14:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0306169785421478,0.26725380134838636,0.062338797206972589,0.05547268193677585,0.06233831982363997 
 01/03  15:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0279104906213228,0.25353248088457538,0.04682225672869187,0.04166616386958561,0.046821635397786557 
 01/03  16:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0206430597133085,0.23487228056410112,0.026053417727249913,0.02318205019560793,0.026053085338728078 
 01/03  17:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0107278851663404,0.2400066059937962,0.03187482014468711,0.028364172785244128,0.031874429037473419 
 01/03  18:00:00,2.8867307334614655,2.188328821102085,1.2981448185118588,2.1883288211020859,1.2981448185118588,1.0015841814276246,1.5006852341918704,0.0343757432849951,0.030588573936937689,0.03437565484746379 
 01/03  19:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9978610919550733,0.2434245090070358,0.0356325656481505,0.031703846327147327,0.03563330934723756 
 01/03  20:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9956787029088879,0.12145319328079142,0.1365534683532164,0.12155128252106008,0.13655760804584139 
 01/03  21:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9955080048443797,0.11020540717653131,0.12390880680662829,0.11031472162474247,0.12391394892117719 
 01/03  22:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.99553035565839,0.1558388387674657,0.17518110836124926,0.15599404213311877,0.17519058316283843 
 01/03  23:00:00,0.4510516771033539,0.3419263782972008,0.2028351278924779,0.34192637829720087,0.2028351278924779,0.9958824487341076,0.21871169580016629,0.24581058745669413,0.21892111472360913,0.24582224730390668 
 01/03  24:00:00,0.0,0.0,0.0,0.0,0.0,0.9962026678007442,0.224950034504394,0.2527832117409656,0.2251570568053303,0.2527988254157482 
 01/04  01:00:00,0.0,0.0,0.0,0.0,0.0,0.9959739673886151,0.2139928553639797,0.24043817076922945,0.21418754932953208,0.24046254655389308 
 01/04  02:00:00,0.0,0.0,0.0,0.0,0.0,0.9957876460318945,0.24725871658442925,0.27778243587043618,0.24748107787336647,0.27781329699022358 
