Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,14899057.961957103,0.0 
 01/01  02:00:00,14899057.961957103,0.0 
 01/01  03:00:00,14899057.961957103,0.0 
 01/01  04:00:00,14899057.961957103,0.0 
 01/01  05:00:00,14899057.961957103,0.0 
 01/01  06:00:00,14899057.961957103,0.0 
 01/01  07:00:00,14899057.961957103,0.0 
 01/01  08:00:00,10977457.961957103,0.0 
 01/01  09:00:00,9016657.961957103,0.0 
 01/01  10:00:00,9016657.961957103,0.0 
 01/01  11:00:00,9016657.961957103,0.0 
 01/01  12:00:00,9016657.961957103,0.0 
 01/01  13:00:00,9016657.961957103,0.0 
 01/01  14:00:00,9016657.961957103,0.0 
 01/01  15:00:00,9016657.961957103,0.0 
 01/01  16:00:00,9016657.961957103,0.0 
 01/01  17:00:00,12938257.961957103,0.0 
 01/01  18:00:00,14899057.961957103,0.0 
 01/01  19:00:00,14899057.961957103,0.0 
 01/01  20:00:00,14899057.961957103,0.0 
 01/01  21:00:00,14899057.961957103,0.0 
 01/01  22:00:00,14899057.961957103,0.0 
 01/01  23:00:00,14899057.961957103,0.0 
 01/01  24:00:00,14899057.961957103,0.0 
 01/02  01:00:00,18642654.45740009,0.0 
 01/02  02:00:00,18642654.45740009,0.0 
 01/02  03:00:00,18642654.45740009,0.0 
 01/02  04:00:00,18642654.45740009,0.0 
 01/02  05:00:00,18642654.45740009,0.0 
 01/02  06:00:00,19633023.90063898,0.0 
 01/02  07:00:00,64119495.302874747,44321026.197809759 
 01/02  08:00:00,59800083.92585786,18781513.64295318 
 01/02  09:00:00,62898537.65462203,0.0 
 01/02  10:00:00,56977545.24334909,0.0 
 01/02  11:00:00,52423632.90614157,0.0 
 01/02  12:00:00,47988593.92390166,0.0 
 01/02  13:00:00,48883138.90306248,0.0 
 01/02  14:00:00,48390284.63229664,0.0 
 01/02  15:00:00,49524965.50302024,0.0 
 01/02  16:00:00,49351442.02226077,0.0 
 01/02  17:00:00,53937606.60946257,0.0 
 01/02  18:00:00,55836286.52329093,3639303.8856724 
 01/02  19:00:00,47348929.36332622,0.0 
 01/02  20:00:00,19652831.289526337,0.0 
 01/02  21:00:00,17672092.403048569,0.0 
 01/02  22:00:00,17672092.403048569,0.0 
 01/02  23:00:00,15889427.405195989,0.0 
 01/02  24:00:00,14899057.961957103,0.0 
 01/03  01:00:00,18642654.45740009,0.0 
 01/03  02:00:00,18642654.45740009,0.0 
 01/03  03:00:00,18642654.45740009,0.0 
 01/03  04:00:00,18642654.45740009,0.0 
 01/03  05:00:00,18642654.45740009,0.0 
 01/03  06:00:00,19633023.90063898,0.0 
 01/03  07:00:00,62333775.77319993,32732585.475980287 
 01/03  08:00:00,58248038.211591187,19323903.037530457 
 01/03  09:00:00,63041141.071432989,0.0 
 01/03  10:00:00,59339825.214204948,0.0 
 01/03  11:00:00,55824905.971030037,0.0 
 01/03  12:00:00,53175492.25345448,0.0 
 01/03  13:00:00,55753647.66165973,4578969.878094144 
 01/03  14:00:00,50219950.6430343,0.0 
 01/03  15:00:00,49588714.36098765,0.0 
 01/03  16:00:00,49524953.34213485,0.0 
 01/03  17:00:00,54601263.552164379,0.0 
 01/03  18:00:00,54872566.07115198,7500106.762663007 
 01/03  19:00:00,47984370.40178162,0.0 
 01/03  20:00:00,19652831.289526337,0.0 
 01/03  21:00:00,17672092.403048569,0.0 
 01/03  22:00:00,17672092.403048569,0.0 
 01/03  23:00:00,15889427.405195989,0.0 
 01/03  24:00:00,14899057.961957103,0.0 
 01/04  01:00:00,18642654.45740009,0.0 
 01/04  02:00:00,18642654.45740009,0.0 
 01/04  03:00:00,18642654.45740009,0.0 
 01/04  04:00:00,18642654.45740009,0.0 
 01/04  05:00:00,18642654.45740009,0.0 
 01/04  06:00:00,19633023.90063898,0.0 
 01/04  07:00:00,63560970.592831019,35888605.15384305 
 01/04  08:00:00,59893539.25023041,20179634.586583109 
 01/04  09:00:00,62855529.36238702,0.0 
 01/04  10:00:00,57414879.39472743,0.0 
 01/04  11:00:00,54024605.88917118,0.0 
 01/04  12:00:00,51623888.24322542,0.0 
 01/04  13:00:00,54882719.54703672,912134.8614675858 
 01/04  14:00:00,48312294.61765358,0.0 
 01/04  15:00:00,48555469.6217747,0.0 
 01/04  16:00:00,49269829.588240679,0.0 
 01/04  17:00:00,55488417.93414495,0.0 
 01/04  18:00:00,56638041.027443718,9841099.944896637 
 01/04  19:00:00,52436547.553924869,321168.4736027662 
 01/04  20:00:00,19652831.289526337,0.0 
 01/04  21:00:00,17672092.403048569,0.0 
 01/04  22:00:00,17672092.403048569,0.0 
 01/04  23:00:00,15889427.405195989,0.0 
 01/04  24:00:00,14899057.961957103,0.0 
 01/05  01:00:00,18642654.45740009,0.0 
 01/05  02:00:00,18642654.45740009,0.0 
 01/05  03:00:00,18642654.45740009,0.0 
 01/05  04:00:00,18642654.45740009,0.0 
 01/05  05:00:00,18642654.45740009,0.0 
 01/05  06:00:00,19633023.90063898,0.0 
 01/05  07:00:00,27165684.191803967,150115184.76533697 
 01/05  08:00:00,27007488.07613432,123525330.64096627 
 01/05  09:00:00,40793562.22363258,80330026.80210638 
 01/05  10:00:00,48908825.96482633,41251806.05231451 
 01/05  11:00:00,59665563.7327236,3263574.3895368988 
 01/05  12:00:00,55469825.384932119,283892.69812079009 
 01/05  13:00:00,58172076.365557108,292750.54883480377 
 01/05  14:00:00,50058894.838217947,0.0 
 01/05  15:00:00,47559849.70909355,0.0 
 01/05  16:00:00,47204358.06696489,0.0 
 01/05  17:00:00,54414194.638115439,0.0 
 01/05  18:00:00,56167216.380120817,8963805.96699169 
 01/05  19:00:00,51007729.69263551,31485.67072597052 
 01/05  20:00:00,19652831.289526337,0.0 
 01/05  21:00:00,17672092.403048569,0.0 
 01/05  22:00:00,17672092.403048569,0.0 
 01/05  23:00:00,15889427.405195989,0.0 
 01/05  24:00:00,14899057.961957103,0.0 
 01/06  01:00:00,18642654.45740009,0.0 
 01/06  02:00:00,18642654.45740009,0.0 
 01/06  03:00:00,18642654.45740009,0.0 
 01/06  04:00:00,18642654.45740009,0.0 
 01/06  05:00:00,18642654.45740009,0.0 
 01/06  06:00:00,19633023.90063898,0.0 
 01/06  07:00:00,27165684.191803967,151391276.73902367 
 01/06  08:00:00,27007488.07613432,127160676.25646156 
 01/06  09:00:00,40793562.22363258,82298751.29098308 
 01/06  10:00:00,40793562.22363258,58867581.39515438 
 01/06  11:00:00,40793562.22363258,47321423.88883331 
 01/06  12:00:00,63005225.89651972,3414696.0850237968 
 01/06  13:00:00,62518850.89469159,23794763.365714063 
 01/06  14:00:00,63033291.731435958,1780823.4638812396 
 01/06  15:00:00,62348179.58231714,1461281.503101811 
 01/06  16:00:00,59029679.56544805,8825347.560343935 
 01/06  17:00:00,44715162.22363258,49565726.815515998 
 01/06  18:00:00,34692491.96044207,89407212.88093367 
 01/06  19:00:00,27185491.580691328,85165012.9294065 
 01/06  20:00:00,19652831.289526337,0.0 
 01/06  21:00:00,17672092.403048569,0.0 
 01/06  22:00:00,17672092.403048569,0.0 
 01/06  23:00:00,15889427.405195989,0.0 
 01/06  24:00:00,14899057.961957103,0.0 
 01/07  01:00:00,14899057.961957103,0.0 
 01/07  02:00:00,14899057.961957103,0.0 
 01/07  03:00:00,14899057.961957103,0.0 
 01/07  04:00:00,14899057.961957103,0.0 
 01/07  05:00:00,14899057.961957103,0.0 
 01/07  06:00:00,14899057.961957103,0.0 
 01/07  07:00:00,14899057.961957103,0.0 
 01/07  08:00:00,10977457.961957103,0.0 
 01/07  09:00:00,9016657.961957103,0.0 
 01/07  10:00:00,9016657.961957103,0.0 
 01/07  11:00:00,9016657.961957103,0.0 
 01/07  12:00:00,9016657.961957103,0.0 
 01/07  13:00:00,9016657.961957103,0.0 
 01/07  14:00:00,9016657.961957103,0.0 
 01/07  15:00:00,9016657.961957103,0.0 
 01/07  16:00:00,9016657.961957103,0.0 
 01/07  17:00:00,11957857.961957103,0.0 
 01/07  18:00:00,14899057.961957103,0.0 
 01/07  19:00:00,14899057.961957103,0.0 
 01/07  20:00:00,14899057.961957103,0.0 
 01/07  21:00:00,14899057.961957103,0.0 
 01/07  22:00:00,14899057.961957103,0.0 
 01/07  23:00:00,14899057.961957103,0.0 
 01/07  24:00:00,14899057.961957103,0.0 
 01/08  01:00:00,14899057.961957103,0.0 
 01/08  02:00:00,14899057.961957103,0.0 
 01/08  03:00:00,14899057.961957103,0.0 
 01/08  04:00:00,14899057.961957103,0.0 
 01/08  05:00:00,14899057.961957103,0.0 
 01/08  06:00:00,14899057.961957103,0.0 
 01/08  07:00:00,14899057.961957103,0.0 
 01/08  08:00:00,10977457.961957103,0.0 
 01/08  09:00:00,9016657.961957103,0.0 
 01/08  10:00:00,9016657.961957103,0.0 
 01/08  11:00:00,9016657.961957103,0.0 
 01/08  12:00:00,9016657.961957103,0.0 
 01/08  13:00:00,9016657.961957103,0.0 
 01/08  14:00:00,9016657.961957103,0.0 
 01/08  15:00:00,9016657.961957103,0.0 
 01/08  16:00:00,9016657.961957103,0.0 
 01/08  17:00:00,11957857.961957103,0.0 
 01/08  18:00:00,14899057.961957103,0.0 
 01/08  19:00:00,14899057.961957103,0.0 
 01/08  20:00:00,14899057.961957103,0.0 
 01/08  21:00:00,14899057.961957103,0.0 
 01/08  22:00:00,14899057.961957103,0.0 
 01/08  23:00:00,14899057.961957103,0.0 
 01/08  24:00:00,14899057.961957103,0.0 
 01/09  01:00:00,18642654.45740009,0.0 
 01/09  02:00:00,18642654.45740009,0.0 
 01/09  03:00:00,18642654.45740009,0.0 
 01/09  04:00:00,18642654.45740009,0.0 
 01/09  05:00:00,18642654.45740009,0.0 
 01/09  06:00:00,19633023.90063898,0.0 
 01/09  07:00:00,58550217.278630997,130763246.9245851 
 01/09  08:00:00,58417856.53175471,80543097.37137696 
 01/09  09:00:00,70878979.90797603,14830483.810188635 
 01/09  10:00:00,64160330.62479924,1857992.0989318535 
 01/09  11:00:00,57946567.88269974,0.0 
 01/09  12:00:00,52316055.89702053,0.0 
 01/09  13:00:00,51905401.807146418,0.0 
 01/09  14:00:00,45850111.39763728,0.0 
 01/09  15:00:00,44049509.20363988,0.0 
 01/09  16:00:00,43909781.07446972,0.0 
 01/09  17:00:00,49483801.96224179,0.0 
 01/09  18:00:00,51546756.68185663,0.0 
 01/09  19:00:00,42927598.912677738,0.0 
 01/09  20:00:00,19652831.289526337,0.0 
 01/09  21:00:00,17672092.403048569,0.0 
 01/09  22:00:00,17672092.403048569,0.0 
 01/09  23:00:00,15889427.405195989,0.0 
 01/09  24:00:00,14899057.961957103,0.0 
 01/10  01:00:00,18642654.45740009,0.0 
 01/10  02:00:00,18642654.45740009,0.0 
 01/10  03:00:00,18642654.45740009,0.0 
 01/10  04:00:00,18642654.45740009,0.0 
 01/10  05:00:00,18642654.45740009,0.0 
 01/10  06:00:00,19633023.90063898,0.0 
 01/10  07:00:00,61951240.62338766,31494695.23192841 
 01/10  08:00:00,58020444.02970305,17861080.63227982 
 01/10  09:00:00,56376525.24141936,0.0 
 01/10  10:00:00,48261196.1566872,0.0 
 01/10  11:00:00,45096523.73832975,0.0 
 01/10  12:00:00,43404471.76790637,0.0 
 01/10  13:00:00,40260019.58810348,0.0 
 01/10  14:00:00,42340907.255195628,0.0 
 01/10  15:00:00,42252076.15489248,0.0 
 01/10  16:00:00,42067405.64194189,0.0 
 01/10  17:00:00,45829791.12770753,0.0 
 01/10  18:00:00,50085877.470148298,511897.0863969942 
 01/10  19:00:00,44858213.974196959,0.0 
 01/10  20:00:00,19652831.289526337,0.0 
 01/10  21:00:00,17672092.403048569,0.0 
 01/10  22:00:00,17672092.403048569,0.0 
 01/10  23:00:00,15889427.405195989,0.0 
 01/10  24:00:00,14899057.961957103,0.0 
 01/11  01:00:00,18642654.45740009,0.0 
 01/11  02:00:00,18642654.45740009,0.0 
 01/11  03:00:00,18642654.45740009,0.0 
 01/11  04:00:00,18642654.45740009,0.0 
 01/11  05:00:00,18642654.45740009,0.0 
 01/11  06:00:00,19633023.90063898,0.0 
 01/11  07:00:00,63559970.31447478,36047006.09164748 
 01/11  08:00:00,60188872.47388218,22852220.495533818 
 01/11  09:00:00,64491808.212333578,0.0 
 01/11  10:00:00,57714396.77528389,0.0 
 01/11  11:00:00,52235734.80593629,0.0 
 01/11  12:00:00,47338425.549741569,0.0 
 01/11  13:00:00,46174254.58605733,0.0 
 01/11  14:00:00,41986889.31148992,0.0 
 01/11  15:00:00,41341367.49937631,0.0 
 01/11  16:00:00,41470645.337967839,0.0 
 01/11  17:00:00,44783923.934880468,0.0 
 01/11  18:00:00,42502643.144180487,0.0 
 01/11  19:00:00,35091720.238115858,0.0 
 01/11  20:00:00,19652831.289526337,0.0 
 01/11  21:00:00,17672092.403048569,0.0 
 01/11  22:00:00,17672092.403048569,0.0 
 01/11  23:00:00,15889427.405195989,0.0 
 01/11  24:00:00,14899057.961957103,0.0 
 01/12  01:00:00,18642654.45740009,0.0 
 01/12  02:00:00,18642654.45740009,0.0 
 01/12  03:00:00,18642654.45740009,0.0 
 01/12  04:00:00,18642654.45740009,0.0 
 01/12  05:00:00,18642654.45740009,0.0 
 01/12  06:00:00,19633023.90063898,0.0 
 01/12  07:00:00,52673603.29200037,10284244.057695447 
 01/12  08:00:00,50965621.59991079,4833826.651335409 
 01/12  09:00:00,50426458.084295529,0.0 
 01/12  10:00:00,47648480.81184741,0.0 
 01/12  11:00:00,46319637.17488019,0.0 
 01/12  12:00:00,45102379.323418598,0.0 
 01/12  13:00:00,46552339.68249569,0.0 
 01/12  14:00:00,43814460.97219171,0.0 
 01/12  15:00:00,43881557.014465298,0.0 
 01/12  16:00:00,44410257.9554194,0.0 
 01/12  17:00:00,49908445.2827989,0.0 
 01/12  18:00:00,52615185.588131498,1859896.8503504678 
 01/12  19:00:00,47384770.6978426,0.0 
 01/12  20:00:00,19652831.289526337,0.0 
 01/12  21:00:00,17672092.403048569,0.0 
 01/12  22:00:00,17672092.403048569,0.0 
 01/12  23:00:00,15889427.405195989,0.0 
 01/12  24:00:00,14899057.961957103,0.0 
 01/13  01:00:00,18642654.45740009,0.0 
 01/13  02:00:00,18642654.45740009,0.0 
 01/13  03:00:00,18642654.45740009,0.0 
 01/13  04:00:00,18642654.45740009,0.0 
 01/13  05:00:00,18642654.45740009,0.0 
 01/13  06:00:00,19633023.90063898,0.0 
 01/13  07:00:00,56706309.21702111,104147355.75066991 
 01/13  08:00:00,56520548.34401492,73175264.89574129 
 01/13  09:00:00,69123620.22347777,13912803.412304655 
 01/13  10:00:00,62101884.38475929,3078514.3271696695 
 01/13  11:00:00,55509165.35382491,104264.01920015429 
 01/13  12:00:00,51857473.89365393,0.0 
 01/13  13:00:00,53883444.19267164,183097.21935923506 
 01/13  14:00:00,49076674.56579716,0.0 
 01/13  15:00:00,49508128.38552516,0.0 
 01/13  16:00:00,53228931.22888589,0.0 
 01/13  17:00:00,59476891.219986248,0.0 
 01/13  18:00:00,59281384.55349162,18003822.29234531 
 01/13  19:00:00,54668934.73918873,3856394.748759972 
 01/13  20:00:00,19652831.289526337,0.0 
 01/13  21:00:00,17672092.403048569,0.0 
 01/13  22:00:00,17672092.403048569,0.0 
 01/13  23:00:00,15889427.405195989,0.0 
 01/13  24:00:00,14899057.961957103,0.0 
 01/14  01:00:00,14899057.961957103,0.0 
 01/14  02:00:00,14899057.961957103,0.0 
 01/14  03:00:00,14899057.961957103,0.0 
 01/14  04:00:00,14899057.961957103,0.0 
 01/14  05:00:00,14899057.961957103,0.0 
 01/14  06:00:00,14899057.961957103,0.0 
 01/14  07:00:00,14899057.961957103,0.0 
 01/14  08:00:00,10977457.961957103,0.0 
 01/14  09:00:00,9016657.961957103,0.0 
 01/14  10:00:00,9016657.961957103,0.0 
 01/14  11:00:00,9016657.961957103,0.0 
 01/14  12:00:00,9016657.961957103,0.0 
 01/14  13:00:00,9016657.961957103,0.0 
 01/14  14:00:00,9016657.961957103,0.0 
 01/14  15:00:00,9016657.961957103,0.0 
 01/14  16:00:00,9016657.961957103,0.0 
 01/14  17:00:00,11957857.961957103,0.0 
 01/14  18:00:00,14899057.961957103,0.0 
 01/14  19:00:00,14899057.961957103,0.0 
 01/14  20:00:00,14899057.961957103,0.0 
 01/14  21:00:00,14899057.961957103,0.0 
 01/14  22:00:00,14899057.961957103,0.0 
 01/14  23:00:00,14899057.961957103,0.0 
 01/14  24:00:00,14899057.961957103,0.0 
 01/15  01:00:00,14899057.961957103,0.0 
 01/15  02:00:00,14899057.961957103,0.0 
 01/15  03:00:00,14899057.961957103,0.0 
 01/15  04:00:00,14899057.961957103,0.0 
 01/15  05:00:00,14899057.961957103,0.0 
 01/15  06:00:00,14899057.961957103,0.0 
 01/15  07:00:00,14899057.961957103,0.0 
 01/15  08:00:00,10977457.961957103,0.0 
 01/15  09:00:00,9016657.961957103,0.0 
 01/15  10:00:00,9016657.961957103,0.0 
 01/15  11:00:00,9016657.961957103,0.0 
 01/15  12:00:00,9016657.961957103,0.0 
 01/15  13:00:00,9016657.961957103,0.0 
 01/15  14:00:00,9016657.961957103,0.0 
 01/15  15:00:00,9016657.961957103,0.0 
 01/15  16:00:00,9016657.961957103,0.0 
 01/15  17:00:00,11957857.961957103,0.0 
 01/15  18:00:00,14899057.961957103,0.0 
 01/15  19:00:00,14899057.961957103,0.0 
 01/15  20:00:00,14899057.961957103,0.0 
 01/15  21:00:00,14899057.961957103,0.0 
 01/15  22:00:00,14899057.961957103,0.0 
 01/15  23:00:00,14899057.961957103,0.0 
 01/15  24:00:00,14899057.961957103,0.0 
 01/16  01:00:00,18642654.45740009,0.0 
 01/16  02:00:00,18642654.45740009,0.0 
 01/16  03:00:00,18642654.45740009,0.0 
 01/16  04:00:00,18642654.45740009,0.0 
 01/16  05:00:00,18642654.45740009,0.0 
 01/16  06:00:00,19633023.90063898,0.0 
 01/16  07:00:00,63655652.270047519,72895384.37030895 
 01/16  08:00:00,63187673.39510809,35785975.88036434 
 01/16  09:00:00,66448556.77288762,570135.8816820921 
 01/16  10:00:00,56392148.4031838,0.0 
 01/16  11:00:00,49842578.04577637,0.0 
 01/16  12:00:00,45137494.9286127,0.0 
 01/16  13:00:00,41351962.64302698,0.0 
 01/16  14:00:00,40357475.00326493,0.0 
 01/16  15:00:00,39984272.98785831,0.0 
 01/16  16:00:00,39893562.22363258,0.0 
 01/16  17:00:00,41904679.83638804,0.0 
 01/16  18:00:00,37347712.557530287,0.0 
 01/16  19:00:00,30374651.030016949,0.0 
 01/16  20:00:00,18752831.289526337,0.0 
 01/16  21:00:00,16772092.40304857,0.0 
 01/16  22:00:00,16772092.40304857,0.0 
 01/16  23:00:00,14989427.405195989,0.0 
 01/16  24:00:00,13999057.961957103,0.0 
 01/17  01:00:00,17742654.45740009,0.0 
 01/17  02:00:00,17742654.45740009,0.0 
 01/17  03:00:00,17742654.45740009,0.0 
 01/17  04:00:00,17742654.45740009,0.0 
 01/17  05:00:00,18642654.45740009,0.0 
 01/17  06:00:00,19633023.90063898,0.0 
 01/17  07:00:00,46857985.30292673,4982917.762578741 
 01/17  08:00:00,43675843.90061918,0.0 
 01/17  09:00:00,45175283.823695238,0.0 
 01/17  10:00:00,41762269.08072091,0.0 
 01/17  11:00:00,40585667.777656648,0.0 
 01/17  12:00:00,41495631.39943082,0.0 
 01/17  13:00:00,37261149.922919768,0.0 
 01/17  14:00:00,41697651.75588977,0.0 
 01/17  15:00:00,40510570.25505591,0.0 
 01/17  16:00:00,39938383.234738897,0.0 
 01/17  17:00:00,41854362.22363258,0.0 
 01/17  18:00:00,35301766.058227729,0.0 
