Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.939776E-02,2.283083E+03,2.665318E-01,3.038343E+03,4.912523E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.730725E+03,2.157002E-01,2.455508E+03,4.166822E+03,2.104761E-01,8.910354E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.026688E+03,1.313318E-01,1.494315E+03,2.533358E+03,1.297299E-01,5.427251E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.730725E+03,2.146639E-01,2.443939E+03,4.153327E+03,1.993587E-01,8.587561E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.026688E+03,1.455191E-01,1.652701E+03,2.714154E+03,1.310151E-01,5.464566E+03,4.020162E-02,0.000000E+00,0.000000E+00
00:20:00,8.939776E-02,2.292515E+03,2.656180E-01,3.018709E+03,4.892015E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.737875E+03,2.135867E-01,2.424762E+03,4.132432E+03,2.104767E-01,8.910371E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.030930E+03,1.299787E-01,1.474967E+03,2.511609E+03,1.297303E-01,5.427262E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.737875E+03,2.125652E-01,2.413359E+03,4.119132E+03,1.993593E-01,8.587578E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.030930E+03,1.435693E-01,1.626692E+03,2.685203E+03,1.310155E-01,5.464577E+03,4.020162E-02,0.000000E+00,0.000000E+00
00:30:00,8.939776E-02,2.301948E+03,2.647325E-01,2.999389E+03,4.871833E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.745025E+03,2.115347E-01,2.394704E+03,4.098766E+03,2.104773E-01,8.910388E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.035172E+03,1.286649E-01,1.456059E+03,2.490321E+03,1.297307E-01,5.427273E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.745025E+03,2.105345E-01,2.383538E+03,4.085745E+03,1.993598E-01,8.587595E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.035172E+03,1.416973E-01,1.601551E+03,2.657169E+03,1.310159E-01,5.464588E+03,4.020162E-02,0.000000E+00,0.000000E+00
00:40:00,8.939776E-02,2.311380E+03,2.638731E-01,2.980361E+03,4.851952E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.752176E+03,2.095420E-01,2.365307E+03,4.065801E+03,2.104778E-01,8.910404E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.039413E+03,1.273892E-01,1.437577E+03,2.469486E+03,1.297311E-01,5.427284E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.752176E+03,2.085689E-01,2.354444E+03,4.053135E+03,1.993604E-01,8.587611E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.039413E+03,1.398978E-01,1.577221E+03,2.629994E+03,1.310162E-01,5.464599E+03,4.020162E-02,0.000000E+00,0.000000E+00
00:50:00,8.939776E-02,2.320812E+03,2.630378E-01,2.961603E+03,4.832352E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.759326E+03,2.076065E-01,2.336549E+03,4.033527E+03,2.104784E-01,8.910419E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.043655E+03,1.261508E-01,1.419509E+03,2.449100E+03,1.297314E-01,5.427294E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.759326E+03,2.066663E-01,2.326053E+03,4.021293E+03,1.993609E-01,8.587626E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.043655E+03,1.381664E-01,1.553650E+03,2.603633E+03,1.310166E-01,5.464609E+03,4.020162E-02,0.000000E+00,0.000000E+00
01:00:00,8.939776E-02,2.330245E+03,2.622251E-01,2.943097E+03,4.813014E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.766477E+03,2.057268E-01,2.308415E+03,4.001939E+03,2.104789E-01,8.910433E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.047897E+03,1.249499E-01,1.401861E+03,2.429182E+03,1.297318E-01,5.427304E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.766477E+03,2.048264E-01,2.298363E+03,3.990230E+03,1.993614E-01,8.587640E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.047897E+03,1.364992E-01,1.530795E+03,2.578045E+03,1.310169E-01,5.464619E+03,4.020162E-02,0.000000E+00,0.000000E+00
01:10:00,8.939776E-02,2.336533E+03,2.614335E-01,2.927970E+03,4.797129E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.771243E+03,2.039139E-01,2.283408E+03,3.973650E+03,2.104793E-01,8.910447E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.050724E+03,1.237914E-01,1.386100E+03,2.411253E+03,1.297321E-01,5.427313E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.771243E+03,2.030543E-01,2.273812E+03,3.962467E+03,1.993619E-01,8.587654E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.050724E+03,1.349003E-01,1.510118E+03,2.554758E+03,1.310172E-01,5.464628E+03,4.020162E-02,0.000000E+00,0.000000E+00
01:20:00,8.939776E-02,2.342821E+03,2.606619E-01,2.913067E+03,4.781479E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.776010E+03,2.021674E-01,2.259144E+03,3.946181E+03,2.104798E-01,8.910461E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.053552E+03,1.226734E-01,1.370791E+03,2.393817E+03,1.297324E-01,5.427322E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.776010E+03,2.013470E-01,2.249984E+03,3.935496E+03,1.993623E-01,8.587667E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.053552E+03,1.333672E-01,1.490175E+03,2.532263E+03,1.310176E-01,5.464637E+03,4.020162E-02,0.000000E+00,0.000000E+00
01:30:00,8.939776E-02,2.349110E+03,2.599094E-01,2.898377E+03,4.766050E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.780777E+03,2.004876E-01,2.235623E+03,3.919519E+03,2.104802E-01,8.910473E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.056380E+03,1.215942E-01,1.355915E+03,2.376844E+03,1.297327E-01,5.427331E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.780777E+03,1.997016E-01,2.226849E+03,3.909270E+03,1.993628E-01,8.587680E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.056380E+03,1.318975E-01,1.470940E+03,2.510524E+03,1.310179E-01,5.464646E+03,4.020162E-02,0.000000E+00,0.000000E+00
01:40:00,8.939776E-02,2.355398E+03,2.591754E-01,2.883894E+03,4.750839E+03,8.939776E-02,6.288248E+03,8.939776E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.785544E+03,1.988710E-01,2.212809E+03,3.893630E+03,2.104807E-01,8.910486E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.059208E+03,1.205525E-01,1.341458E+03,2.360328E+03,1.297330E-01,5.427339E+03,4.020162E-02,0.000000E+00,0.000000E+00,6.776929E-02,1.785544E+03,1.981156E-01,2.204376E+03,3.883771E+03,1.993632E-01,8.587693E+03,6.776929E-02,0.000000E+00,0.000000E+00,4.020162E-02,1.059208E+03,1.304901E-01,1.452399E+03,2.489539E+03,1.310181E-01,5.464654E+03,4.020162E-02,0.000000E+00,0.000000E+00
