Time,CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.734718E+03,2.518772E+03,5.888489E-02,2.221098E-01,5.167873E+03,2.038190E+03,1.753968E-01,1.797502E-01,3.185333E+03,1.240967E+03,1.081083E-01,1.094431E-01,4.894903E+03,2.028398E+03,1.661322E-01,1.788866E-01,3.216889E+03,1.375030E+03,1.091793E-01,1.212659E-01
00:20:00,1.734722E+03,2.510137E+03,5.888506E-02,2.213483E-01,5.167888E+03,2.018218E+03,1.753973E-01,1.779889E-01,3.185343E+03,1.228181E+03,1.081086E-01,1.083155E-01,4.894918E+03,2.008566E+03,1.661327E-01,1.771377E-01,3.216899E+03,1.356606E+03,1.091796E-01,1.196411E-01
00:30:00,1.734727E+03,2.501768E+03,5.888521E-02,2.206104E-01,5.167902E+03,1.998829E+03,1.753977E-01,1.762789E-01,3.185353E+03,1.215767E+03,1.081089E-01,1.072208E-01,4.894932E+03,1.989377E+03,1.661332E-01,1.754454E-01,3.216908E+03,1.338916E+03,1.091799E-01,1.180811E-01
00:40:00,1.734731E+03,2.493646E+03,5.888536E-02,2.198942E-01,5.167916E+03,1.979998E+03,1.753982E-01,1.746183E-01,3.185362E+03,1.203713E+03,1.081092E-01,1.061577E-01,4.894945E+03,1.970803E+03,1.661337E-01,1.738074E-01,3.216917E+03,1.321912E+03,1.091802E-01,1.165815E-01
00:50:00,1.734736E+03,2.485753E+03,5.888551E-02,2.191982E-01,5.167928E+03,1.961709E+03,1.753986E-01,1.730054E-01,3.185370E+03,1.192010E+03,1.081095E-01,1.051256E-01,4.894958E+03,1.952825E+03,1.661341E-01,1.722219E-01,3.216926E+03,1.305552E+03,1.091805E-01,1.151387E-01
01:00:00,1.734740E+03,2.478072E+03,5.888564E-02,2.185209E-01,5.167941E+03,1.943947E+03,1.753990E-01,1.714390E-01,3.185378E+03,1.180663E+03,1.081098E-01,1.041249E-01,4.894970E+03,1.935439E+03,1.661345E-01,1.706887E-01,3.216934E+03,1.289797E+03,1.091808E-01,1.137493E-01
01:10:00,1.734743E+03,2.470591E+03,5.888577E-02,2.178613E-01,5.167952E+03,1.926816E+03,1.753994E-01,1.699282E-01,3.185386E+03,1.169716E+03,1.081101E-01,1.031595E-01,4.894982E+03,1.918694E+03,1.661349E-01,1.692120E-01,3.216942E+03,1.274689E+03,1.091810E-01,1.124169E-01
01:20:00,1.734747E+03,2.463299E+03,5.888589E-02,2.172182E-01,5.167964E+03,1.910313E+03,1.753998E-01,1.684729E-01,3.185394E+03,1.159151E+03,1.081103E-01,1.022278E-01,4.894993E+03,1.902560E+03,1.661353E-01,1.677892E-01,3.216949E+03,1.260202E+03,1.091813E-01,1.111393E-01
01:30:00,1.734751E+03,2.456188E+03,5.888601E-02,2.165912E-01,5.167975E+03,1.894439E+03,1.754002E-01,1.670730E-01,3.185401E+03,1.148954E+03,1.081106E-01,1.013285E-01,4.895004E+03,1.887012E+03,1.661356E-01,1.664180E-01,3.216957E+03,1.246314E+03,1.091815E-01,1.099146E-01
01:40:00,1.734754E+03,2.449251E+03,5.888613E-02,2.159795E-01,5.167985E+03,1.879163E+03,1.754006E-01,1.657259E-01,3.185408E+03,1.139110E+03,1.081108E-01,1.004604E-01,4.895014E+03,1.872025E+03,1.661360E-01,1.650963E-01,3.216963E+03,1.233014E+03,1.091818E-01,1.087417E-01
01:50:00,1.734757E+03,2.442484E+03,5.888624E-02,2.153829E-01,5.167995E+03,1.864459E+03,1.754009E-01,1.644291E-01,3.185415E+03,1.129606E+03,1.081110E-01,9.962222E-02,4.895024E+03,1.857573E+03,1.661363E-01,1.638218E-01,3.216970E+03,1.220278E+03,1.091820E-01,1.076185E-01
02:00:00,1.734760E+03,2.435885E+03,5.888634E-02,2.148009E-01,5.168005E+03,1.850302E+03,1.754012E-01,1.631806E-01,3.185421E+03,1.120417E+03,1.081113E-01,9.881185E-02,4.895034E+03,1.843617E+03,1.661367E-01,1.625910E-01,3.216977E+03,1.208073E+03,1.091822E-01,1.065422E-01
02:10:00,1.734763E+03,2.429449E+03,5.888644E-02,2.142334E-01,5.168015E+03,1.836554E+03,1.754016E-01,1.619682E-01,3.185427E+03,1.111481E+03,1.081115E-01,9.802374E-02,4.895043E+03,1.830074E+03,1.661370E-01,1.613966E-01,3.216983E+03,1.196297E+03,1.091824E-01,1.055037E-01
02:20:00,1.734766E+03,2.423176E+03,5.888654E-02,2.136803E-01,5.168024E+03,1.823193E+03,1.754019E-01,1.607899E-01,3.185434E+03,1.102800E+03,1.081117E-01,9.725816E-02,4.895053E+03,1.816942E+03,1.661373E-01,1.602386E-01,3.216989E+03,1.184928E+03,1.091826E-01,1.045010E-01
02:30:00,1.734769E+03,2.417062E+03,5.888664E-02,2.131412E-01,5.168033E+03,1.810196E+03,1.754022E-01,1.596437E-01,3.185439E+03,1.094376E+03,1.081119E-01,9.651519E-02,4.895061E+03,1.804219E+03,1.661376E-01,1.591165E-01,3.216995E+03,1.173945E+03,1.091828E-01,1.035325E-01
02:40:00,1.734772E+03,2.411105E+03,5.888673E-02,2.126159E-01,5.168041E+03,1.797573E+03,1.754025E-01,1.585305E-01,3.185445E+03,1.086206E+03,1.081121E-01,9.579470E-02,4.895070E+03,1.791899E+03,1.661379E-01,1.580300E-01,3.217001E+03,1.163322E+03,1.091830E-01,1.025956E-01
02:50:00,1.734774E+03,2.405300E+03,5.888682E-02,2.121040E-01,5.168049E+03,1.785329E+03,1.754027E-01,1.574506E-01,3.185451E+03,1.078290E+03,1.081123E-01,9.509655E-02,4.895078E+03,1.779978E+03,1.661382E-01,1.569787E-01,3.217006E+03,1.153048E+03,1.091832E-01,1.016895E-01
03:00:00,1.734777E+03,2.399645E+03,5.888691E-02,2.116053E-01,5.168058E+03,1.773466E+03,1.754030E-01,1.564044E-01,3.185456E+03,1.070624E+03,1.081124E-01,9.442055E-02,4.895086E+03,1.768450E+03,1.661384E-01,1.559620E-01,3.217012E+03,1.143122E+03,1.091834E-01,1.008141E-01
03:10:00,1.734779E+03,2.394135E+03,5.888699E-02,2.111195E-01,5.168065E+03,1.761858E+03,1.754033E-01,1.553807E-01,3.185461E+03,1.063130E+03,1.081126E-01,9.375959E-02,4.895094E+03,1.757193E+03,1.661387E-01,1.549693E-01,3.217017E+03,1.133462E+03,1.091836E-01,9.996220E-02
03:20:00,1.734782E+03,2.388767E+03,5.888707E-02,2.106461E-01,5.168073E+03,1.750493E+03,1.754035E-01,1.543784E-01,3.185466E+03,1.055798E+03,1.081128E-01,9.311300E-02,4.895101E+03,1.746193E+03,1.661390E-01,1.539992E-01,3.217022E+03,1.124055E+03,1.091838E-01,9.913262E-02
03:30:00,1.734784E+03,2.383533E+03,5.888715E-02,2.101846E-01,5.168080E+03,1.739361E+03,1.754038E-01,1.533967E-01,3.185471E+03,1.048623E+03,1.081130E-01,9.248025E-02,4.895109E+03,1.735441E+03,1.661392E-01,1.530510E-01,3.217027E+03,1.114891E+03,1.091839E-01,9.832439E-02
03:40:00,1.734786E+03,2.378430E+03,5.888723E-02,2.097347E-01,5.168088E+03,1.728454E+03,1.754040E-01,1.524348E-01,3.185476E+03,1.041599E+03,1.081131E-01,9.186079E-02,4.895116E+03,1.724926E+03,1.661394E-01,1.521237E-01,3.217031E+03,1.105957E+03,1.091841E-01,9.753657E-02
03:50:00,1.734789E+03,2.373452E+03,5.888730E-02,2.092957E-01,5.168095E+03,1.717762E+03,1.754043E-01,1.514918E-01,3.185481E+03,1.034719E+03,1.081133E-01,9.125406E-02,4.895123E+03,1.714637E+03,1.661397E-01,1.512163E-01,3.217036E+03,1.097245E+03,1.091842E-01,9.676819E-02
04:00:00,1.734791E+03,2.368593E+03,5.888738E-02,2.088672E-01,5.168101E+03,1.707274E+03,1.754045E-01,1.505669E-01,3.185485E+03,1.027978E+03,1.081134E-01,9.065950E-02,4.895129E+03,1.704563E+03,1.661399E-01,1.503278E-01,3.217041E+03,1.088742E+03,1.091844E-01,9.601831E-02
04:10:00,1.734793E+03,2.363847E+03,5.888745E-02,2.084487E-01,5.168108E+03,1.697112E+03,1.754047E-01,1.496707E-01,3.185489E+03,1.021448E+03,1.081136E-01,9.008366E-02,4.895136E+03,1.694815E+03,1.661401E-01,1.494681E-01,3.217045E+03,1.080520E+03,1.091845E-01,9.529319E-02
04:20:00,1.734795E+03,2.359210E+03,5.888752E-02,2.080398E-01,5.168114E+03,1.687273E+03,1.754049E-01,1.488030E-01,3.185494E+03,1.015128E+03,1.081137E-01,8.952630E-02,4.895142E+03,1.685387E+03,1.661403E-01,1.486367E-01,3.217049E+03,1.072572E+03,1.091847E-01,9.459227E-02
04:30:00,1.734797E+03,2.354679E+03,5.888759E-02,2.076403E-01,5.168121E+03,1.677753E+03,1.754052E-01,1.479634E-01,3.185498E+03,1.009015E+03,1.081139E-01,8.898717E-02,4.895148E+03,1.676274E+03,1.661406E-01,1.478330E-01,3.217053E+03,1.064893E+03,1.091848E-01,9.391502E-02
04:40:00,1.734799E+03,2.350290E+03,5.888765E-02,2.072533E-01,5.168127E+03,1.670164E+03,1.754054E-01,1.472941E-01,3.185502E+03,1.005986E+03,1.081140E-01,8.872001E-02,4.895154E+03,1.670450E+03,1.661408E-01,1.473194E-01,3.217057E+03,1.058340E+03,1.091850E-01,9.333717E-02
04:50:00,1.734801E+03,2.346223E+03,5.888772E-02,2.068947E-01,5.168133E+03,1.664939E+03,1.754056E-01,1.468334E-01,3.185506E+03,1.013098E+03,1.081141E-01,8.934730E-02,4.895160E+03,1.672053E+03,1.661410E-01,1.474609E-01,3.217061E+03,1.053150E+03,1.091851E-01,9.287942E-02
05:00:00,1.734803E+03,2.342909E+03,5.888778E-02,2.066025E-01,5.168138E+03,1.662796E+03,1.754058E-01,1.466445E-01,3.185509E+03,1.039689E+03,1.081143E-01,9.169272E-02,4.895166E+03,1.687130E+03,1.661411E-01,1.487907E-01,3.217065E+03,1.049706E+03,1.091852E-01,9.257577E-02
05:10:00,1.734804E+03,2.340959E+03,5.888784E-02,2.064305E-01,5.168144E+03,1.664601E+03,1.754059E-01,1.468039E-01,3.185513E+03,1.090022E+03,1.081144E-01,9.613242E-02,4.895171E+03,1.716632E+03,1.661413E-01,1.513930E-01,3.217069E+03,1.048539E+03,1.091853E-01,9.247292E-02
05:20:00,1.734806E+03,2.340991E+03,5.888790E-02,2.064333E-01,5.168149E+03,1.671815E+03,1.754061E-01,1.474403E-01,3.185517E+03,1.168645E+03,1.081145E-01,1.030677E-01,4.895177E+03,1.761737E+03,1.661415E-01,1.553716E-01,3.217072E+03,1.050418E+03,1.091855E-01,9.263878E-02
05:30:00,1.734808E+03,2.343392E+03,5.888796E-02,2.066444E-01,5.168155E+03,1.684614E+03,1.754063E-01,1.485682E-01,3.185520E+03,1.273680E+03,1.081146E-01,1.123316E-01,4.895182E+03,1.819214E+03,1.661417E-01,1.604402E-01,3.217076E+03,1.055351E+03,1.091856E-01,9.307332E-02
05:40:00,1.734810E+03,2.348716E+03,5.888802E-02,2.071122E-01,5.168160E+03,1.702158E+03,1.754065E-01,1.501134E-01,3.185524E+03,1.403561E+03,1.081147E-01,1.237854E-01,4.895187E+03,1.884688E+03,1.661419E-01,1.662125E-01,3.217079E+03,1.062783E+03,1.091857E-01,9.372744E-02
05:50:00,1.734811E+03,2.357029E+03,5.888807E-02,2.078432E-01,5.168165E+03,1.724328E+03,1.754066E-01,1.520659E-01,3.185527E+03,1.552302E+03,1.081148E-01,1.369014E-01,4.895192E+03,1.952181E+03,1.661420E-01,1.721617E-01,3.217082E+03,1.072497E+03,1.091858E-01,9.458237E-02
06:00:00,1.734813E+03,2.368208E+03,5.888813E-02,2.088266E-01,5.168170E+03,1.750869E+03,1.754068E-01,1.544033E-01,3.185530E+03,1.711098E+03,1.081150E-01,1.509032E-01,4.895197E+03,2.014268E+03,1.661422E-01,1.776336E-01,3.217085E+03,1.084256E+03,1.091859E-01,9.561746E-02
06:10:00,1.734814E+03,2.381731E+03,5.888818E-02,2.100167E-01,5.168174E+03,1.781682E+03,1.754070E-01,1.571174E-01,3.185533E+03,1.875819E+03,1.081151E-01,1.654265E-01,4.895201E+03,2.067274E+03,1.661424E-01,1.823044E-01,3.217089E+03,1.097919E+03,1.091860E-01,9.682034E-02
06:20:00,1.734816E+03,2.397002E+03,5.888823E-02,2.113608E-01,5.168179E+03,1.815584E+03,1.754071E-01,1.601038E-01,3.185536E+03,2.041500E+03,1.081152E-01,1.800334E-01,4.895206E+03,2.107251E+03,1.661425E-01,1.858257E-01,3.217092E+03,1.112823E+03,1.091861E-01,9.813261E-02
06:30:00,1.734817E+03,2.413527E+03,5.888828E-02,2.128161E-01,5.168183E+03,1.854045E+03,1.754073E-01,1.634927E-01,3.185539E+03,2.212098E+03,1.081153E-01,1.950737E-01,4.895210E+03,2.137887E+03,1.661427E-01,1.885236E-01,3.217095E+03,1.129816E+03,1.091862E-01,9.962936E-02
06:40:00,1.734819E+03,2.430655E+03,5.888833E-02,2.143251E-01,5.168188E+03,1.895599E+03,1.754074E-01,1.671554E-01,3.185542E+03,2.383690E+03,1.081154E-01,2.102023E-01,4.895215E+03,2.158969E+03,1.661428E-01,1.903802E-01,3.217097E+03,1.148212E+03,1.091863E-01,1.012505E-01
06:50:00,1.734820E+03,2.447923E+03,5.888838E-02,2.158470E-01,5.168192E+03,1.939874E+03,1.754076E-01,1.710585E-01,3.185545E+03,2.553800E+03,1.081155E-01,2.252006E-01,4.895219E+03,2.172243E+03,1.661429E-01,1.915493E-01,3.217100E+03,1.167981E+03,1.091864E-01,1.029932E-01
07:00:00,1.734822E+03,2.464817E+03,5.888843E-02,2.173363E-01,5.168196E+03,1.986523E+03,1.754077E-01,1.751715E-01,3.185548E+03,2.720549E+03,1.081155E-01,2.399029E-01,4.895223E+03,2.182802E+03,1.661431E-01,1.924793E-01,3.217103E+03,1.189087E+03,1.091865E-01,1.048539E-01
07:10:00,1.734823E+03,2.481120E+03,5.888847E-02,2.187733E-01,5.007076E+03,2.035625E+03,1.699393E-01,1.795006E-01,3.078134E+03,2.881814E+03,1.044700E-01,2.541214E-01,4.734103E+03,2.196186E+03,1.606747E-01,1.936585E-01,3.109690E+03,1.211720E+03,1.055410E-01,1.068492E-01
07:20:00,1.734824E+03,2.496901E+03,5.888852E-02,2.201644E-01,4.845729E+03,2.086524E+03,1.644639E-01,1.839879E-01,2.970564E+03,3.034961E+03,1.008196E-01,2.676234E-01,4.572743E+03,2.215081E+03,1.551988E-01,1.953235E-01,3.002121E+03,1.235626E+03,1.018906E-01,1.089567E-01
07:30:00,1.734825E+03,2.512518E+03,5.888854E-02,2.215411E-01,4.684400E+03,2.137500E+03,1.589892E-01,1.884821E-01,2.863011E+03,3.176155E+03,9.716987E-02,2.800711E-01,4.411414E+03,2.239170E+03,1.497241E-01,1.974466E-01,2.894568E+03,1.260038E+03,9.824089E-02,1.111088E-01
07:40:00,1.734824E+03,2.528383E+03,5.888851E-02,2.229397E-01,4.522957E+03,2.189348E+03,1.535110E-01,1.930531E-01,2.755384E+03,3.306531E+03,9.351787E-02,2.915647E-01,4.249976E+03,2.270325E+03,1.442460E-01,2.001928E-01,2.786941E+03,1.285530E+03,9.458888E-02,1.133561E-01
07:50:00,1.734821E+03,2.544972E+03,5.888841E-02,2.244021E-01,4.361433E+03,2.242080E+03,1.480303E-01,1.977017E-01,2.647706E+03,3.425741E+03,8.986428E-02,3.020736E-01,4.088461E+03,2.308703E+03,1.387655E-01,2.035758E-01,2.679261E+03,1.312196E+03,9.093528E-02,1.157068E-01
08:00:00,1.734815E+03,2.562730E+03,5.888820E-02,2.259676E-01,4.199840E+03,2.295480E+03,1.425476E-01,2.024092E-01,2.539982E+03,3.533248E+03,8.620935E-02,3.115504E-01,3.926880E+03,2.350614E+03,1.332830E-01,2.072702E-01,2.571537E+03,1.340008E+03,8.728032E-02,1.181585E-01
08:10:00,1.734806E+03,2.581973E+03,5.888788E-02,2.276641E-01,4.199311E+03,2.348634E+03,1.425315E-01,2.070950E-01,2.539637E+03,3.628970E+03,8.619886E-02,3.199884E-01,3.926365E+03,2.393287E+03,1.332672E-01,2.110318E-01,2.571189E+03,1.368472E+03,8.726980E-02,1.206676E-01
08:20:00,1.734792E+03,2.602753E+03,5.888743E-02,2.294960E-01,4.198958E+03,2.401836E+03,1.425209E-01,2.117850E-01,2.539414E+03,3.713757E+03,8.619222E-02,3.274627E-01,3.926039E+03,2.436821E+03,1.332574E-01,2.148694E-01,2.570964E+03,1.397818E+03,8.726307E-02,1.232546E-01
08:30:00,1.734776E+03,2.624923E+03,5.888686E-02,2.314508E-01,4.198542E+03,2.455086E+03,1.425081E-01,2.164797E-01,2.539146E+03,3.787177E+03,8.618393E-02,3.339357E-01,3.925639E+03,2.481074E+03,1.332450E-01,2.187709E-01,2.570693E+03,1.427998E+03,8.725473E-02,1.259154E-01
08:40:00,1.734756E+03,2.648208E+03,5.888620E-02,2.335040E-01,4.198198E+03,2.508830E+03,1.424975E-01,2.212181E-01,2.538925E+03,3.848521E+03,8.617711E-02,3.393442E-01,3.925308E+03,2.525776E+03,1.332347E-01,2.227121E-01,2.570471E+03,1.458845E+03,8.724787E-02,1.286350E-01
08:50:00,1.734735E+03,2.672397E+03,5.888547E-02,2.356368E-01,4.197902E+03,2.563747E+03,1.424883E-01,2.260601E-01,2.538733E+03,3.897377E+03,8.617115E-02,3.436518E-01,3.925019E+03,2.570841E+03,1.332257E-01,2.266854E-01,2.570278E+03,1.490289E+03,8.724189E-02,1.314074E-01
09:00:00,1.734712E+03,2.697307E+03,5.888469E-02,2.378334E-01,4.197644E+03,2.621869E+03,1.424801E-01,2.311851E-01,2.538566E+03,3.926748E+03,8.616588E-02,3.462418E-01,3.924766E+03,2.617610E+03,1.332177E-01,2.308094E-01,2.570110E+03,1.523145E+03,8.723661E-02,1.343045E-01
09:10:00,1.734688E+03,2.722709E+03,5.888389E-02,2.400736E-01,4.197418E+03,2.681922E+03,1.424730E-01,2.364806E-01,2.538419E+03,3.936340E+03,8.616124E-02,3.470879E-01,3.924543E+03,2.664595E+03,1.332106E-01,2.349525E-01,2.569963E+03,1.556455E+03,8.723196E-02,1.372418E-01
09:20:00,1.734665E+03,2.748392E+03,5.888309E-02,2.423383E-01,4.197221E+03,2.745891E+03,1.424667E-01,2.421211E-01,2.538291E+03,3.926071E+03,8.615714E-02,3.461824E-01,3.924347E+03,2.711431E+03,1.332044E-01,2.390824E-01,2.569835E+03,1.589950E+03,8.722786E-02,1.401952E-01
09:30:00,1.734641E+03,2.774278E+03,5.888230E-02,2.446210E-01,4.197048E+03,2.816729E+03,1.424612E-01,2.483676E-01,2.538178E+03,3.896039E+03,8.615353E-02,3.435346E-01,3.924174E+03,2.758052E+03,1.331988E-01,2.431934E-01,2.569722E+03,1.623578E+03,8.722424E-02,1.431606E-01
09:40:00,1.734619E+03,2.800154E+03,5.888154E-02,2.469027E-01,4.196898E+03,2.894636E+03,1.424564E-01,2.552372E-01,2.538080E+03,3.846469E+03,8.615034E-02,3.391637E-01,3.924022E+03,2.804241E+03,1.331939E-01,2.472662E-01,2.569624E+03,1.657189E+03,8.722106E-02,1.461243E-01
09:50:00,1.734597E+03,2.825958E+03,5.888080E-02,2.491780E-01,4.196766E+03,2.979517E+03,1.424521E-01,2.627217E-01,2.537993E+03,3.777869E+03,8.614754E-02,3.331148E-01,3.923888E+03,2.849931E+03,1.331896E-01,2.512949E-01,2.569537E+03,1.690723E+03,8.721826E-02,1.490811E-01
10:00:00,1.734576E+03,2.851594E+03,5.888010E-02,2.514384E-01,4.196650E+03,3.069758E+03,1.424483E-01,2.706789E-01,2.537917E+03,3.697740E+03,8.614506E-02,3.260493E-01,3.923771E+03,2.893648E+03,1.331858E-01,2.551497E-01,2.569462E+03,1.723207E+03,8.721579E-02,1.519454E-01
10:10:00,1.734557E+03,2.877000E+03,5.887943E-02,2.536786E-01,4.196548E+03,3.166480E+03,1.424450E-01,2.792075E-01,2.537851E+03,3.607117E+03,8.614287E-02,3.180584E-01,3.923667E+03,2.936395E+03,1.331824E-01,2.589189E-01,2.569395E+03,1.755219E+03,8.721361E-02,1.547681E-01
10:20:00,1.734538E+03,2.902163E+03,5.887880E-02,2.558976E-01,4.196459E+03,3.267726E+03,1.424421E-01,2.881353E-01,2.537792E+03,3.507509E+03,8.614094E-02,3.092757E-01,3.923575E+03,2.978390E+03,1.331794E-01,2.626221E-01,2.569336E+03,1.786835E+03,8.721168E-02,1.575561E-01
