Uncalibrated_Electricity_J,Uncalibrated_Gas_J,Target_Electricity_J,Target_Gas_J,,,,,,,,
14899057.96,0,14899057.96,0,0,0,,-0.000386462,0.033292257,,0.011789431,0.448599241
14899057.96,0,14899057.96,0,0,0,,-0.038646157,3.32922569,,1.178943135,44.85992414
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
10977457.96,0,10977457.96,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
9016657.962,0,9016657.962,0,0,0,,,,,,
12938257.96,0,12938257.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
64119495.3,44321026.2,63639386.72,39296086.18,480108.58,5024940.02,,,,,,
59800083.93,18781513.64,59414998.72,18323732.81,385085.21,457780.83,,,,,,
62898537.65,0,63426106.02,0,-527568.37,0,,,,,,
56977545.24,0,57663472.96,0,-685927.72,0,,,,,,
52423632.91,0,53073660.95,0,-650028.04,0,,,,,,
47988593.92,0,48417041.27,0,-428447.35,0,,,,,,
48883138.9,0,49183715.56,0,-300576.66,0,,,,,,
48390284.63,0,48739183.88,0,-348899.25,0,,,,,,
49524965.5,0,49922765.24,0,-397799.74,0,,,,,,
49351442.02,0,49753570.68,0,-402128.66,0,,,,,,
53937606.61,0,54345176.13,0,-407569.52,0,,,,,,
55836286.52,3639303.886,55582711.14,3488887.886,253575.38,150416,,,,,,
47348929.36,0,46395661.01,0,953268.35,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
62333775.77,32732585.48,60881173.36,25494310.93,1452602.41,7238274.55,,,,,,
58248038.21,19323903.04,57952969.83,19473367.63,295068.38,-149464.59,,,,,,
63041141.07,0,64127182.72,0,-1086041.65,0,,,,,,
59339825.21,0,60716511.33,0,-1376686.12,0,,,,,,
55824905.97,0,57158712.75,0,-1333806.78,0,,,,,,
53175492.25,0,54360621.73,0,-1185129.48,0,,,,,,
55753647.66,4578969.878,56057235.27,4760135.319,-303587.61,-181165.441,,,,,,
50219950.64,0,50526835.86,0,-306885.22,0,,,,,,
49588714.36,0,49940989.4,0,-352275.04,0,,,,,,
49524953.34,0,49976441.76,0,-451488.42,0,,,,,,
54601263.55,0,55019831.36,0,-418567.81,0,,,,,,
54872566.07,7500106.763,54601921.03,7327576.7,270645.04,172530.063,,,,,,
47984370.4,0,47157824.48,0,826545.92,0,,,,,,
19652831.29,0,19652831.29,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
17672092.4,0,17672092.4,0,0,0,,,,,,
15889427.41,0,15889427.41,0,0,0,,,,,,
14899057.96,0,14899057.96,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
18642654.46,0,18642654.46,0,0,0,,,,,,
19633023.9,0,19633023.9,0,0,0,,,,,,
63560970.59,35888605.15,62392642.18,30204357.69,1168328.41,5684247.46,,,,,,
59893539.25,20179634.59,59508490.19,20098658.59,385049.06,80976,,,,,,
62855529.36,0,63726157.43,0,-870628.07,0,,,,,,
57414879.39,0,58489888.12,0,-1075008.73,0,,,,,,
54024605.89,0,55007260.6,0,-982654.71,0,,,,,,
51623888.24,0,52491108.66,0,-867220.42,0,,,,,,
54882719.55,912134.8615,55175145.61,1086069.689,-292426.06,-173934.8275,,,,,,
48312294.62,0,48835821.48,0,-523526.86,0,,,,,,
48555469.62,0,48803484.06,0,-248014.44,0,,,,,,
