Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,14899057.961957103,0.0 
 01/01  02:00:00,14899057.961957103,0.0 
 01/01  03:00:00,14899057.961957103,0.0 
 01/01  04:00:00,14899057.961957103,0.0 
 01/01  05:00:00,14899057.961957103,0.0 
 01/01  06:00:00,14899057.961957103,0.0 
 01/01  07:00:00,14899057.961957103,0.0 
 01/01  08:00:00,10977457.961957103,0.0 
 01/01  09:00:00,9016657.961957103,0.0 
 01/01  10:00:00,9016657.961957103,0.0 
 01/01  11:00:00,9016657.961957103,0.0 
 01/01  12:00:00,9016657.961957103,0.0 
 01/01  13:00:00,9016657.961957103,0.0 
 01/01  14:00:00,9016657.961957103,0.0 
 01/01  15:00:00,9016657.961957103,0.0 
 01/01  16:00:00,9016657.961957103,0.0 
 01/01  17:00:00,12938257.961957103,0.0 
 01/01  18:00:00,14899057.961957103,0.0 
 01/01  19:00:00,14899057.961957103,0.0 
 01/01  20:00:00,14899057.961957103,0.0 
 01/01  21:00:00,14899057.961957103,0.0 
 01/01  22:00:00,14899057.961957103,0.0 
 01/01  23:00:00,14899057.961957103,0.0 
 01/01  24:00:00,14899057.961957103,0.0 
 01/02  01:00:00,18642654.45740009,0.0 
 01/02  02:00:00,18642654.45740009,0.0 
 01/02  03:00:00,18642654.45740009,0.0 
 01/02  04:00:00,18642654.45740009,0.0 
 01/02  05:00:00,18642654.45740009,0.0 
 01/02  06:00:00,19633023.90063898,0.0 
 01/02  07:00:00,63639386.72206264,39296086.17592672 
 01/02  08:00:00,59414998.72045395,18323732.809615006 
 01/02  09:00:00,63426106.01568703,0.0 
 01/02  10:00:00,57663472.9638395,0.0 
 01/02  11:00:00,53073660.948077138,0.0 
 01/02  12:00:00,48417041.26823847,0.0 
 01/02  13:00:00,49183715.55977418,0.0 
 01/02  14:00:00,48739183.881326418,0.0 
 01/02  15:00:00,49922765.24083356,0.0 
 01/02  16:00:00,49753570.67901008,0.0 
 01/02  17:00:00,54345176.12636074,0.0 
 01/02  18:00:00,55582711.14481828,3488887.8855985586 
 01/02  19:00:00,46395661.00831559,0.0 
 01/02  20:00:00,19652831.289526337,0.0 
 01/02  21:00:00,17672092.403048569,0.0 
 01/02  22:00:00,17672092.403048569,0.0 
 01/02  23:00:00,15889427.405195989,0.0 
 01/02  24:00:00,14899057.961957103,0.0 
 01/03  01:00:00,18642654.45740009,0.0 
 01/03  02:00:00,18642654.45740009,0.0 
 01/03  03:00:00,18642654.45740009,0.0 
 01/03  04:00:00,18642654.45740009,0.0 
 01/03  05:00:00,18642654.45740009,0.0 
 01/03  06:00:00,19633023.90063898,0.0 
 01/03  07:00:00,60881173.364010747,25494310.93147387 
 01/03  08:00:00,57952969.83161461,19473367.630274256 
 01/03  09:00:00,64127182.72313635,0.0 
 01/03  10:00:00,60716511.32828625,0.0 
 01/03  11:00:00,57158712.748963329,0.0 
 01/03  12:00:00,54360621.73159818,0.0 
 01/03  13:00:00,56057235.272850077,4760135.318682438 
 01/03  14:00:00,50526835.86445327,0.0 
 01/03  15:00:00,49940989.39928765,0.0 
 01/03  16:00:00,49976441.75879207,0.0 
 01/03  17:00:00,55019831.36404877,0.0 
 01/03  18:00:00,54601921.02842487,7327576.700118413 
 01/03  19:00:00,47157824.48204214,0.0 
 01/03  20:00:00,19652831.289526337,0.0 
 01/03  21:00:00,17672092.403048569,0.0 
 01/03  22:00:00,17672092.403048569,0.0 
 01/03  23:00:00,15889427.405195989,0.0 
 01/03  24:00:00,14899057.961957103,0.0 
 01/04  01:00:00,18642654.45740009,0.0 
 01/04  02:00:00,18642654.45740009,0.0 
 01/04  03:00:00,18642654.45740009,0.0 
 01/04  04:00:00,18642654.45740009,0.0 
 01/04  05:00:00,18642654.45740009,0.0 
 01/04  06:00:00,19633023.90063898,0.0 
 01/04  07:00:00,62392642.17707299,30204357.693577585 
 01/04  08:00:00,59508490.19229614,20098658.590916329 
 01/04  09:00:00,63726157.43307658,0.0 
 01/04  10:00:00,58489888.12497123,0.0 
 01/04  11:00:00,55007260.60232558,0.0 
 01/04  12:00:00,52491108.66396727,0.0 
 01/04  13:00:00,55175145.612795788,1086069.6893669314 
 01/04  14:00:00,48835821.47743213,0.0 
 01/04  15:00:00,48803484.0633702,0.0 
 01/04  16:00:00,49674903.59209139,0.0 
 01/04  17:00:00,55839018.16944858,0.0 
 01/04  18:00:00,56350047.20378852,9665188.085631289 
 01/04  19:00:00,51738273.73543202,0.0 
 01/04  20:00:00,19652831.289526337,0.0 
 01/04  21:00:00,17672092.403048569,0.0 
 01/04  22:00:00,17672092.403048569,0.0 
 01/04  23:00:00,15889427.405195989,0.0 
 01/04  24:00:00,14899057.961957103,0.0 
 01/05  01:00:00,18642654.45740009,0.0 
 01/05  02:00:00,18642654.45740009,0.0 
 01/05  03:00:00,18642654.45740009,0.0 
 01/05  04:00:00,18642654.45740009,0.0 
 01/05  05:00:00,18642654.45740009,0.0 
 01/05  06:00:00,19633023.90063898,0.0 
 01/05  07:00:00,27165684.191803967,145411254.97644044 
 01/05  08:00:00,27007488.07613432,121745289.21854338 
 01/05  09:00:00,40793562.22363258,83406930.6918666 
 01/05  10:00:00,49355584.00888442,44006716.9685549 
 01/05  11:00:00,61069872.653574507,4387857.919062859 
 01/05  12:00:00,56660400.9737916,1175995.0427406654 
 01/05  13:00:00,58565516.6932518,167208.15344414855 
 01/05  14:00:00,50205272.88500611,0.0 
 01/05  15:00:00,47725589.95795194,0.0 
 01/05  16:00:00,47412020.084184769,0.0 
 01/05  17:00:00,54676561.10365511,0.0 
 01/05  18:00:00,55852144.56565404,8778233.243678252 
 01/05  19:00:00,50162296.85640067,0.0 
 01/05  20:00:00,19652831.289526337,0.0 
 01/05  21:00:00,17672092.403048569,0.0 
 01/05  22:00:00,17672092.403048569,0.0 
 01/05  23:00:00,15889427.405195989,0.0 
 01/05  24:00:00,14899057.961957103,0.0 
 01/06  01:00:00,18642654.45740009,0.0 
 01/06  02:00:00,18642654.45740009,0.0 
 01/06  03:00:00,18642654.45740009,0.0 
 01/06  04:00:00,18642654.45740009,0.0 
 01/06  05:00:00,18642654.45740009,0.0 
 01/06  06:00:00,19633023.90063898,0.0 
 01/06  07:00:00,27165684.191803967,148094271.2776597 
 01/06  08:00:00,27007488.07613432,123936929.19013265 
 01/06  09:00:00,40793562.22363258,83128778.4746958 
 01/06  10:00:00,40793562.22363258,61406928.76504033 
 01/06  11:00:00,40793562.22363258,49902472.58233467 
 01/06  12:00:00,63989938.07486666,4225121.729600176 
 01/06  13:00:00,62658069.9350592,23919215.58619087 
 01/06  14:00:00,63155512.95921938,1832203.5329650753 
 01/06  15:00:00,62515623.07977946,1539538.1457484277 
 01/06  16:00:00,59198882.63203256,8993877.659368318 
 01/06  17:00:00,44715162.22363258,50115775.19568513 
 01/06  18:00:00,34692491.96044207,88665613.20793638 
 01/06  19:00:00,27185491.580691328,83061189.46625977 
 01/06  20:00:00,19652831.289526337,0.0 
 01/06  21:00:00,17672092.403048569,0.0 
 01/06  22:00:00,17672092.403048569,0.0 
 01/06  23:00:00,15889427.405195989,0.0 
 01/06  24:00:00,14899057.961957103,0.0 
 01/07  01:00:00,14899057.961957103,0.0 
 01/07  02:00:00,14899057.961957103,0.0 
 01/07  03:00:00,14899057.961957103,0.0 
 01/07  04:00:00,14899057.961957103,0.0 
 01/07  05:00:00,14899057.961957103,0.0 
 01/07  06:00:00,14899057.961957103,0.0 
 01/07  07:00:00,14899057.961957103,0.0 
 01/07  08:00:00,10977457.961957103,0.0 
 01/07  09:00:00,9016657.961957103,0.0 
 01/07  10:00:00,9016657.961957103,0.0 
 01/07  11:00:00,9016657.961957103,0.0 
 01/07  12:00:00,9016657.961957103,0.0 
 01/07  13:00:00,9016657.961957103,0.0 
 01/07  14:00:00,9016657.961957103,0.0 
 01/07  15:00:00,9016657.961957103,0.0 
 01/07  16:00:00,9016657.961957103,0.0 
 01/07  17:00:00,11957857.961957103,0.0 
 01/07  18:00:00,14899057.961957103,0.0 
 01/07  19:00:00,14899057.961957103,0.0 
 01/07  20:00:00,14899057.961957103,0.0 
 01/07  21:00:00,14899057.961957103,0.0 
 01/07  22:00:00,14899057.961957103,0.0 
 01/07  23:00:00,14899057.961957103,0.0 
 01/07  24:00:00,14899057.961957103,0.0 
 01/08  01:00:00,14899057.961957103,0.0 
 01/08  02:00:00,14899057.961957103,0.0 
 01/08  03:00:00,14899057.961957103,0.0 
 01/08  04:00:00,14899057.961957103,0.0 
 01/08  05:00:00,14899057.961957103,0.0 
 01/08  06:00:00,14899057.961957103,0.0 
 01/08  07:00:00,14899057.961957103,0.0 
 01/08  08:00:00,10977457.961957103,0.0 
 01/08  09:00:00,9016657.961957103,0.0 
 01/08  10:00:00,9016657.961957103,0.0 
 01/08  11:00:00,9016657.961957103,0.0 
 01/08  12:00:00,9016657.961957103,0.0 
 01/08  13:00:00,9016657.961957103,0.0 
 01/08  14:00:00,9016657.961957103,0.0 
 01/08  15:00:00,9016657.961957103,0.0 
 01/08  16:00:00,9016657.961957103,0.0 
 01/08  17:00:00,11957857.961957103,0.0 
 01/08  18:00:00,14899057.961957103,0.0 
 01/08  19:00:00,14899057.961957103,0.0 
 01/08  20:00:00,14899057.961957103,0.0 
 01/08  21:00:00,14899057.961957103,0.0 
 01/08  22:00:00,14899057.961957103,0.0 
 01/08  23:00:00,14899057.961957103,0.0 
 01/08  24:00:00,14899057.961957103,0.0 
 01/09  01:00:00,18642654.45740009,0.0 
 01/09  02:00:00,18642654.45740009,0.0 
 01/09  03:00:00,18642654.45740009,0.0 
 01/09  04:00:00,18642654.45740009,0.0 
 01/09  05:00:00,18642654.45740009,0.0 
 01/09  06:00:00,19633023.90063898,0.0 
 01/09  07:00:00,58550217.278630997,120540774.19965431 
 01/09  08:00:00,58417856.53175471,80691070.69870302 
 01/09  09:00:00,71324982.40319765,17927908.386154958 
 01/09  10:00:00,65332479.884425539,2945207.3047287019 
 01/09  11:00:00,59350168.79563805,0.0 
 01/09  12:00:00,53588483.06781713,0.0 
 01/09  13:00:00,52170890.34087591,0.0 
 01/09  14:00:00,46035044.20431431,0.0 
 01/09  15:00:00,44209152.38240123,0.0 
 01/09  16:00:00,44126468.1456447,0.0 
 01/09  17:00:00,49764815.47228859,0.0 
 01/09  18:00:00,51266335.78048237,0.0 
 01/09  19:00:00,42251330.73850375,0.0 
 01/09  20:00:00,19652831.289526337,0.0 
 01/09  21:00:00,17672092.403048569,0.0 
 01/09  22:00:00,17672092.403048569,0.0 
 01/09  23:00:00,15889427.405195989,0.0 
 01/09  24:00:00,14899057.961957103,0.0 
 01/10  01:00:00,18642654.45740009,0.0 
 01/10  02:00:00,18642654.45740009,0.0 
 01/10  03:00:00,18642654.45740009,0.0 
 01/10  04:00:00,18642654.45740009,0.0 
 01/10  05:00:00,18642654.45740009,0.0 
 01/10  06:00:00,19633023.90063898,0.0 
 01/10  07:00:00,60794969.07510625,25161511.644940109 
 01/10  08:00:00,57536305.063733208,17434634.03581464 
 01/10  09:00:00,56924690.617282208,0.0 
 01/10  10:00:00,48998990.05395256,0.0 
 01/10  11:00:00,45558030.84402797,0.0 
 01/10  12:00:00,43769485.03438878,0.0 
 01/10  13:00:00,40492462.11827244,0.0 
 01/10  14:00:00,42334502.030746478,0.0 
 01/10  15:00:00,42258282.506224948,0.0 
 01/10  16:00:00,42162364.19487725,0.0 
 01/10  17:00:00,45945059.1808462,0.0 
 01/10  18:00:00,49898942.280461657,439384.8093753228 
 01/10  19:00:00,44059630.77242773,0.0 
 01/10  20:00:00,19652831.289526337,0.0 
 01/10  21:00:00,17672092.403048569,0.0 
 01/10  22:00:00,17672092.403048569,0.0 
 01/10  23:00:00,15889427.405195989,0.0 
 01/10  24:00:00,14899057.961957103,0.0 
 01/11  01:00:00,18642654.45740009,0.0 
 01/11  02:00:00,18642654.45740009,0.0 
 01/11  03:00:00,18642654.45740009,0.0 
 01/11  04:00:00,18642654.45740009,0.0 
 01/11  05:00:00,18642654.45740009,0.0 
 01/11  06:00:00,19633023.90063898,0.0 
 01/11  07:00:00,62520476.24692971,30051413.051674125 
 01/11  08:00:00,59740339.98214482,22596283.040078757 
 01/11  09:00:00,65548881.37488258,0.0 
 01/11  10:00:00,58900113.74339689,0.0 
 01/11  11:00:00,53447276.64114453,0.0 
 01/11  12:00:00,48410570.717676628,0.0 
 01/11  13:00:00,46547607.02271463,0.0 
 01/11  14:00:00,42068842.45703506,0.0 
 01/11  15:00:00,41410650.13370571,0.0 
 01/11  16:00:00,41547243.01018343,0.0 
 01/11  17:00:00,44867528.304162118,0.0 
 01/11  18:00:00,42348690.936880659,0.0 
 01/11  19:00:00,34590301.23373301,0.0 
 01/11  20:00:00,19652831.289526337,0.0 
 01/11  21:00:00,17672092.403048569,0.0 
 01/11  22:00:00,17672092.403048569,0.0 
 01/11  23:00:00,15889427.405195989,0.0 
 01/11  24:00:00,14899057.961957103,0.0 
 01/12  01:00:00,18642654.45740009,0.0 
 01/12  02:00:00,18642654.45740009,0.0 
 01/12  03:00:00,18642654.45740009,0.0 
 01/12  04:00:00,18642654.45740009,0.0 
 01/12  05:00:00,18642654.45740009,0.0 
 01/12  06:00:00,19633023.90063898,0.0 
 01/12  07:00:00,49648517.93451169,7510061.970397156 
 01/12  08:00:00,50826513.20751104,5000853.787826223 
 01/12  09:00:00,51255572.385644849,0.0 
 01/12  10:00:00,48674692.795849557,0.0 
 01/12  11:00:00,47324914.36206511,0.0 
 01/12  12:00:00,45982861.802888687,0.0 
 01/12  13:00:00,46778796.65380394,0.0 
 01/12  14:00:00,43880434.07928513,0.0 
 01/12  15:00:00,43989340.459259379,0.0 
 01/12  16:00:00,44644899.571788247,0.0 
 01/12  17:00:00,50218064.45248549,0.0 
 01/12  18:00:00,52367987.49663168,1680062.7323759809 
 01/12  19:00:00,46587646.40659049,0.0 
 01/12  20:00:00,19652831.289526337,0.0 
 01/12  21:00:00,17672092.403048569,0.0 
 01/12  22:00:00,17672092.403048569,0.0 
 01/12  23:00:00,15889427.405195989,0.0 
 01/12  24:00:00,14899057.961957103,0.0 
 01/13  01:00:00,18642654.45740009,0.0 
 01/13  02:00:00,18642654.45740009,0.0 
 01/13  03:00:00,18642654.45740009,0.0 
 01/13  04:00:00,18642654.45740009,0.0 
 01/13  05:00:00,18642654.45740009,0.0 
 01/13  06:00:00,19633023.90063898,0.0 
 01/13  07:00:00,56768030.37428543,95589871.76109752 
 01/13  08:00:00,56520548.34401492,73123119.68828692 
 01/13  09:00:00,68965550.41431557,17275030.88177809 
 01/13  10:00:00,63007998.77063222,3903423.1027840098 
 01/13  11:00:00,56470619.54764163,372740.2665903907 
 01/13  12:00:00,52532015.318734098,0.0 
 01/13  13:00:00,54208693.234850328,47093.900912462064 
 01/13  14:00:00,49278153.44705394,0.0 
 01/13  15:00:00,49750446.749803509,0.0 
 01/13  16:00:00,53501354.72933169,0.0 
 01/13  17:00:00,59788927.66298657,0.0 
 01/13  18:00:00,59022421.69320193,17669902.211132453 
 01/13  19:00:00,54146571.33163265,2988613.0109047547 
 01/13  20:00:00,19652831.289526337,0.0 
 01/13  21:00:00,17672092.403048569,0.0 
 01/13  22:00:00,17672092.403048569,0.0 
 01/13  23:00:00,15889427.405195989,0.0 
 01/13  24:00:00,14899057.961957103,0.0 
 01/14  01:00:00,14899057.961957103,0.0 
 01/14  02:00:00,14899057.961957103,0.0 
 01/14  03:00:00,14899057.961957103,0.0 
 01/14  04:00:00,14899057.961957103,0.0 
 01/14  05:00:00,14899057.961957103,0.0 
 01/14  06:00:00,14899057.961957103,0.0 
 01/14  07:00:00,14899057.961957103,0.0 
 01/14  08:00:00,10977457.961957103,0.0 
 01/14  09:00:00,9016657.961957103,0.0 
 01/14  10:00:00,9016657.961957103,0.0 
 01/14  11:00:00,9016657.961957103,0.0 
 01/14  12:00:00,9016657.961957103,0.0 
 01/14  13:00:00,9016657.961957103,0.0 
 01/14  14:00:00,9016657.961957103,0.0 
 01/14  15:00:00,9016657.961957103,0.0 
 01/14  16:00:00,9016657.961957103,0.0 
 01/14  17:00:00,11957857.961957103,0.0 
 01/14  18:00:00,14899057.961957103,0.0 
 01/14  19:00:00,14899057.961957103,0.0 
 01/14  20:00:00,14899057.961957103,0.0 
 01/14  21:00:00,14899057.961957103,0.0 
 01/14  22:00:00,14899057.961957103,0.0 
 01/14  23:00:00,14899057.961957103,0.0 
 01/14  24:00:00,14899057.961957103,0.0 
 01/15  01:00:00,14899057.961957103,0.0 
 01/15  02:00:00,14899057.961957103,0.0 
 01/15  03:00:00,14899057.961957103,0.0 
 01/15  04:00:00,14899057.961957103,0.0 
 01/15  05:00:00,14899057.961957103,0.0 
 01/15  06:00:00,14899057.961957103,0.0 
 01/15  07:00:00,14899057.961957103,0.0 
 01/15  08:00:00,10977457.961957103,0.0 
 01/15  09:00:00,9016657.961957103,0.0 
 01/15  10:00:00,9016657.961957103,0.0 
 01/15  11:00:00,9016657.961957103,0.0 
 01/15  12:00:00,9016657.961957103,0.0 
 01/15  13:00:00,9016657.961957103,0.0 
 01/15  14:00:00,9016657.961957103,0.0 
 01/15  15:00:00,9016657.961957103,0.0 
 01/15  16:00:00,9016657.961957103,0.0 
 01/15  17:00:00,11957857.961957103,0.0 
 01/15  18:00:00,14899057.961957103,0.0 
 01/15  19:00:00,14899057.961957103,0.0 
 01/15  20:00:00,14899057.961957103,0.0 
 01/15  21:00:00,14899057.961957103,0.0 
 01/15  22:00:00,14899057.961957103,0.0 
 01/15  23:00:00,14899057.961957103,0.0 
 01/15  24:00:00,14899057.961957103,0.0 
 01/16  01:00:00,18642654.45740009,0.0 
 01/16  02:00:00,18642654.45740009,0.0 
 01/16  03:00:00,18642654.45740009,0.0 
 01/16  04:00:00,18642654.45740009,0.0 
 01/16  05:00:00,18642654.45740009,0.0 
 01/16  06:00:00,19633023.90063898,0.0 
 01/16  07:00:00,63549021.375416938,66111501.92519599 
 01/16  08:00:00,63066872.624065209,34768226.44900124 
 01/16  09:00:00,67036600.40706007,724576.2049453311 
 01/16  10:00:00,57162512.92401272,0.0 
 01/16  11:00:00,50360589.230621468,0.0 
 01/16  12:00:00,45545173.43132299,0.0 
 01/16  13:00:00,41623279.89934313,0.0 
 01/16  14:00:00,40409284.31450854,0.0 
 01/16  15:00:00,40029928.37470817,0.0 
 01/16  16:00:00,39903905.961846988,0.0 
 01/16  17:00:00,41956202.76114155,0.0 
 01/16  18:00:00,37265738.97634871,0.0 
 01/16  19:00:00,29948256.25665495,0.0 
 01/16  20:00:00,18752831.289526337,0.0 
 01/16  21:00:00,16772092.40304857,0.0 
 01/16  22:00:00,16772092.40304857,0.0 
 01/16  23:00:00,14989427.405195989,0.0 
 01/16  24:00:00,13999057.961957103,0.0 
 01/17  01:00:00,17742654.45740009,0.0 
 01/17  02:00:00,17742654.45740009,0.0 
 01/17  03:00:00,17742654.45740009,0.0 
 01/17  04:00:00,17742654.45740009,0.0 
 01/17  05:00:00,18642654.45740009,0.0 
 01/17  06:00:00,19633023.90063898,0.0 
 01/17  07:00:00,44622815.1588912,4266560.63136587 
 01/17  08:00:00,43356677.10835009,0.0 
 01/17  09:00:00,45637115.40236831,0.0 
 01/17  10:00:00,42005122.64499706,0.0 
 01/17  11:00:00,40660576.86733724,0.0 
 01/17  12:00:00,41407004.64243337,0.0 
 01/17  13:00:00,37228654.65225584,0.0 
 01/17  14:00:00,41662876.92593293,0.0 
 01/17  15:00:00,40473601.59893871,0.0 
 01/17  16:00:00,39924621.21938153,0.0 
 01/17  17:00:00,41854362.22363258,0.0 
 01/17  18:00:00,35261215.16655105,0.0 
