Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,21325664878.75029,4466695182.28303 
February,18701148623.951108,3490176333.503977 
March,19210434685.94032,373803284.3280232 
April,16955236377.234166,131649404.16702183 
May,18214313668.937669,1906188.7758928869 
June,19928007788.00166,0.0 
July,21191170665.30027,0.0 
August,21359220892.288694,0.0 
September,18981782275.778646,0.0 
October,17742410679.093679,9219345.148200382 
November,18830814508.77866,845040250.81419 
December,20710755099.78601,3052612995.658633 
