Date/Time,Baseline - Electricity:Facility [J](Hourly),Baseline - Gas:Facility [J](Hourly) ,Calibrating - Electricity:Facility [J](Hourly),Calibrating - Gas:Facility [J](Hourly) ,Target - Electricity:Facility [J](Hourly),Target - Gas:Facility [J](Hourly) 
 01/01  01:00:00,34633452.83,1671317.597,35327271.32,1854100.125,34580257.57,1765107.459
 01/01  02:00:00,34633452.83,1671284.347,35327271.32,1854063.075,34580257.57,1765160.969
 01/01  03:00:00,34633452.83,1671250.437,35327271.32,1854025.289,34580257.57,1765083.717
 01/01  04:00:00,34633452.83,1671378.36,35327271.32,1854167.833,34580257.57,3458337.736
 01/01  05:00:00,34633452.83,1671345.583,35327271.32,1854131.31,34580257.57,1765122.703
 01/01  06:00:00,38377838.01,26602551.28,39877222.68,40754832.32,40222475.95,39955176.22
 01/01  07:00:00,38377838.01,27462342,39877222.68,44364608.86,40222475.95,37897974.51
 01/01  08:00:00,29146082.01,24443303.7,30645466.68,40272488.17,30990719.95,35295522.34
 01/01  09:00:00,10682570.01,22491560.93,12181954.68,37883448.04,12527207.95,31832549.86
 01/01  10:00:00,10682570.01,18318619.46,12181954.68,33069434.55,12527207.95,26754032.93
 01/01  11:00:00,10682570.01,12270530.68,12181954.68,25955072.01,12527207.95,15530984.9
 01/01  12:00:00,10682570.01,4658259.116,12181954.68,17231995.44,12595593.01,4246847.07
 01/01  13:00:00,11453935.43,1671387.859,12181954.68,9650337.045,14062336.12,3458343.063
 01/01  14:00:00,12368751.78,3270711.06,12181954.68,6565419.679,15118980.92,1765273.939
 01/01  15:00:00,12873242.47,1670974.93,12181954.68,1853718.841,15697863.42,3458351.559
 01/01  16:00:00,12840222.31,1671326.015,12181954.68,1854109.504,15477993.7,1765202.126
 01/01  17:00:00,16596839.28,1671325.65,16797832.68,5859894.139,18731797.65,1765205.814
 01/01  18:00:00,38462447.38,2419823.093,39877222.68,12198245.62,40222475.95,5087500.568
 01/01  19:00:00,34633452.83,1671223.203,35327271.32,1853995.764,34580257.57,1765105.085
 01/01  20:00:00,34633452.83,1671314.118,35327271.32,1854096.24,34580257.57,1765143.309
 01/01  21:00:00,34633452.83,1671262.752,35327271.32,1854039.003,34580257.57,1765175.356
 01/01  22:00:00,34633452.83,3270701.233,35327271.32,3636273.818,34580257.57,3458442.746
 01/01  23:00:00,34633452.83,1671353.712,35327271.32,1854140.359,34580257.57,1765178.993
 01/01  24:00:00,34633452.83,1671308.521,35327271.32,1854090.003,34580257.57,1765106.176
 01/02  01:00:00,34633452.83,1671292.326,35327271.32,1854071.957,34580257.57,3458501.711
 01/02  02:00:00,34633452.83,1671269.157,35327271.32,1854046.14,34580257.57,1765223.702
 01/02  03:00:00,34633452.83,1671245.746,35327271.32,1854020.052,34580257.57,3458278.355
 01/02  04:00:00,34633452.83,3270761.268,35327271.32,3636340.716,34580257.57,1765201.148
 01/02  05:00:00,34633452.83,1671340.809,35327271.32,1854125.981,34580257.57,1765138.695
 01/02  06:00:00,45316022.84,46521780.57,47509226,74054832.57,47107465.53,115607697.2
 01/02  07:00:00,45316022.84,49337072.91,47509226,82737681.05,47107465.53,119293360.7
 01/02  08:00:00,63837006.18,32342531.05,68805483.26,66101194.42,65415667.82,83919637.39
 01/02  09:00:00,107435883.6,50495845.78,118610599.6,159771545.3,105272079.3,93647581.37
 01/02  10:00:00,107435883.6,43413267.08,118610599.6,154262061.6,105272079.3,111848987
 01/02  11:00:00,107435883.6,34170983.53,118610599.6,145022516.2,105272079.3,100392248.5
 01/02  12:00:00,107435883.6,30773963.8,118610599.6,143576829.4,105272079.3,109523364.5
 01/02  13:00:00,109990635.8,4873044.482,118610599.6,50502508.99,105272079.3,34145355.54
 01/02  14:00:00,107435883.6,22284435.45,118610599.6,132574828.7,105272079.3,93423407.09
 01/02  15:00:00,107435883.6,18969130.5,118610599.6,129220172.5,105272079.3,103350801.6
 01/02  16:00:00,107435883.6,19501184.51,118610599.6,129253470.3,105272079.3,53339763.21
 01/02  17:00:00,112051761.6,24437597.06,123226477.6,136233258,109887957.3,73517457.92
 01/02  18:00:00,89339032.28,3271421.779,94576005.67,30587165.54,87607411.28,79112813.64
 01/02  19:00:00,74830064.84,1671470.224,78037239.26,8345117.79,74647423.82,22541217.33
 01/02  20:00:00,73134293.75,11836905.86,78037239.26,34141918.23,74647423.82,62562033.85
 01/02  21:00:00,59192392.51,21246973.67,62773232.63,46397016.37,60877444.67,82584325.4
 01/02  22:00:00,59192392.51,26472000.08,62773232.63,53166402.26,60877444.67,85584603.01
 01/02  23:00:00,45316022.84,30701397.87,47509226,54790118.75,47107465.53,92883683.53
 01/02  24:00:00,38377838.01,35705063.35,39877222.68,60529480.98,40222475.95,100384263.6
 01/03  01:00:00,34633452.83,1671381.368,35327271.32,1854171.142,34580257.57,1765102.25
