Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,1.082575E+00,1.267219E+04,2.211148E+00,2.755635E+04,5.055657E+04,1.082575E+00,1.843772E+04,1.138790E+00,6.709083E+03,2.116220E+04,1.082575E+00,1.528300E+04,1.734623E+00,1.865673E+04,4.705009E+04,1.082575E+00,1.550056E+04,1.683538E+00,1.773887E+04,4.498994E+04,8.360220E+00,1.606563E+05,1.082575E+00,0.000000E+00,0.000000E+00,5.877955E+00,1.114585E+05,1.082575E+00,0.000000E+00,0.000000E+00,8.040082E+00,1.543523E+05,1.082575E+00,0.000000E+00,0.000000E+00
00:20:00,1.082575E+00,1.278424E+04,1.754493E+00,2.085574E+04,4.179633E+04,1.082575E+00,1.854977E+04,1.083510E+00,5.639692E+03,1.932487E+04,1.082575E+00,1.539504E+04,1.373617E+00,1.303209E+04,3.787361E+04,1.082575E+00,1.561261E+04,1.332923E+00,1.223902E+04,3.598267E+04,7.253284E+00,1.503402E+05,1.082575E+00,0.000000E+00,0.000000E+00,4.935062E+00,1.017623E+05,1.082575E+00,0.000000E+00,0.000000E+00,6.953122E+00,1.440512E+05,1.082575E+00,0.000000E+00,0.000000E+00
00:30:00,1.082575E+00,1.289629E+04,1.305152E+00,1.440804E+04,3.185661E+04,1.082575E+00,1.866181E+04,1.082575E+00,5.512278E+03,1.894126E+04,1.082575E+00,1.550709E+04,1.109616E+00,9.055140E+03,3.039023E+04,1.082575E+00,1.572466E+04,1.099727E+00,8.696746E+03,2.933237E+04,6.218375E+00,1.391525E+05,1.082575E+00,0.000000E+00,0.000000E+00,4.063016E+00,9.146882E+04,1.082575E+00,0.000000E+00,0.000000E+00,5.938979E+00,1.329283E+05,1.082575E+00,0.000000E+00,0.000000E+00
00:40:00,1.082575E+00,1.300833E+04,1.082575E+00,1.116576E+04,2.652646E+04,1.082575E+00,1.877386E+04,1.082575E+00,5.400231E+03,1.858423E+04,1.082575E+00,1.561914E+04,1.082575E+00,8.554953E+03,2.923286E+04,1.082575E+00,1.583670E+04,1.082575E+00,8.337386E+03,2.845690E+04,5.211125E+00,1.265214E+05,1.082575E+00,0.000000E+00,0.000000E+00,3.221004E+00,8.006247E+04,1.082575E+00,0.000000E+00,0.000000E+00,4.953168E+00,1.204121E+05,1.082575E+00,0.000000E+00,0.000000E+00
00:50:00,1.082575E+00,1.312038E+04,1.082575E+00,1.105371E+04,2.641151E+04,1.082575E+00,1.888591E+04,1.082575E+00,5.288184E+03,1.822868E+04,1.082575E+00,1.573118E+04,1.082575E+00,8.442906E+03,2.883243E+04,1.082575E+00,1.594875E+04,1.082575E+00,8.225339E+03,2.805980E+04,4.223929E+00,1.123818E+05,1.082575E+00,0.000000E+00,0.000000E+00,2.400186E+00,6.746725E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.986122E+00,1.064037E+05,1.082575E+00,0.000000E+00,0.000000E+00
01:00:00,1.082575E+00,1.323243E+04,1.082575E+00,1.094166E+04,2.629656E+04,1.082575E+00,1.899795E+04,1.082575E+00,5.176137E+03,1.787459E+04,1.082575E+00,1.584323E+04,1.082575E+00,8.330859E+03,2.843372E+04,1.082575E+00,1.606080E+04,1.082575E+00,8.113292E+03,2.766439E+04,3.253559E+00,9.672585E+04,1.082575E+00,0.000000E+00,0.000000E+00,1.595155E+00,5.364068E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.035260E+00,9.090451E+04,1.082575E+00,0.000000E+00,0.000000E+00
01:10:00,1.082575E+00,1.330713E+04,1.082575E+00,1.086697E+04,2.621992E+04,1.082575E+00,1.907265E+04,1.082575E+00,5.101439E+03,1.763935E+04,1.082575E+00,1.591793E+04,1.082575E+00,8.256161E+03,2.816886E+04,1.082575E+00,1.613550E+04,1.082575E+00,8.038594E+03,2.740172E+04,3.731838E+00,1.069550E+05,1.082575E+00,0.000000E+00,0.000000E+00,1.974123E+00,6.147862E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.505875E+00,1.009058E+05,1.082575E+00,0.000000E+00,0.000000E+00
01:20:00,1.082575E+00,1.338182E+04,1.082575E+00,1.079227E+04,2.614329E+04,1.082575E+00,1.914735E+04,1.082575E+00,5.026741E+03,1.740476E+04,1.082575E+00,1.599263E+04,1.082575E+00,8.181463E+03,2.790476E+04,1.082575E+00,1.621019E+04,1.082575E+00,7.963896E+03,2.713980E+04,3.895177E+00,1.101562E+05,1.082575E+00,0.000000E+00,0.000000E+00,2.132038E+00,6.457231E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.668028E+00,1.040836E+05,1.082575E+00,0.000000E+00,0.000000E+00
01:30:00,1.082575E+00,1.345652E+04,1.082575E+00,1.071757E+04,2.606665E+04,1.082575E+00,1.922205E+04,1.082575E+00,4.952043E+03,1.717081E+04,1.082575E+00,1.606733E+04,1.082575E+00,8.106765E+03,2.764141E+04,1.082575E+00,1.628489E+04,1.082575E+00,7.889198E+03,2.687863E+04,3.997529E+00,1.121615E+05,1.082575E+00,0.000000E+00,0.000000E+00,2.226636E+00,6.642340E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.768243E+00,1.060472E+05,1.082575E+00,0.000000E+00,0.000000E+00
01:40:00,1.082575E+00,1.353122E+04,1.082575E+00,1.064287E+04,2.599002E+04,1.082575E+00,1.929675E+04,1.082575E+00,4.877345E+03,1.693750E+04,1.082575E+00,1.614202E+04,1.082575E+00,8.032067E+03,2.737881E+04,1.082575E+00,1.635959E+04,1.082575E+00,7.814500E+03,2.661819E+04,4.081742E+00,1.138097E+05,1.082575E+00,0.000000E+00,0.000000E+00,2.297937E+00,6.781834E+04,1.082575E+00,0.000000E+00,0.000000E+00,3.849537E+00,1.076386E+05,1.082575E+00,0.000000E+00,0.000000E+00
