Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,34633452.83331995,1671317.5971622659 
 01/01  02:00:00,34633452.83331995,1671284.3470578329 
 01/01  03:00:00,34633452.83331995,1671250.4369323666 
 01/01  04:00:00,34633452.83331995,1671378.3602853253 
 01/01  05:00:00,34633452.83331995,1671345.5830382442 
 01/01  06:00:00,38377838.01045273,26602551.28051587 
 01/01  07:00:00,38377838.01045273,27462342.004168594 
 01/01  08:00:00,29146082.010452738,24443303.697269054 
 01/01  09:00:00,10682570.010452737,22491560.92543674 
 01/01  10:00:00,10682570.010452737,18318619.460439896 
 01/01  11:00:00,10682570.010452737,12270530.678846246 
 01/01  12:00:00,10682570.010452737,4658259.115713604 
 01/01  13:00:00,11453935.426519763,1671387.8589390473 
 01/01  14:00:00,12368751.776327867,3270711.060060337 
 01/01  15:00:00,12873242.469978696,1670974.9301940585 
 01/01  16:00:00,12840222.307737735,1671326.0146435244 
 01/01  17:00:00,16596839.275529914,1671325.6500893119 
 01/01  18:00:00,38462447.380178067,2419823.093183408 
 01/01  19:00:00,34633452.83331995,1671223.2033159654 
 01/01  20:00:00,34633452.83331995,1671314.117663601 
 01/01  21:00:00,34633452.83331995,1671262.751844052 
 01/01  22:00:00,34633452.83331995,3270701.2334564325 
 01/01  23:00:00,34633452.83331995,1671353.7116942465 
 01/01  24:00:00,34633452.83331995,1671308.5214424362 
 01/02  01:00:00,34633452.83331995,1671292.3263671627 
 01/02  02:00:00,34633452.83331995,1671269.1573696002 
 01/02  03:00:00,34633452.83331995,1671245.7457331846 
 01/02  04:00:00,34633452.83331995,3270761.268038489 
 01/02  05:00:00,34633452.83331995,1671340.8093186664 
 01/02  06:00:00,45316022.84373273,46521780.57277913 
 01/02  07:00:00,45316022.84373273,49337072.908996339 
 01/02  08:00:00,63837006.17685274,32342531.05409086 
 01/02  09:00:00,107435883.60021273,50495845.78328385 
 01/02  10:00:00,107435883.60021273,43413267.08329337 
 01/02  11:00:00,107435883.60021273,34170983.53448748 
 01/02  12:00:00,107435883.60021273,30773963.798180093 
 01/02  13:00:00,109990635.84898465,4873044.481957674 
 01/02  14:00:00,107435883.60021273,22284435.447385104 
 01/02  15:00:00,107435883.60021273,18969130.4951232 
 01/02  16:00:00,107435883.60021273,19501184.50762156 
 01/02  17:00:00,112051761.60021273,24437597.059195535 
 01/02  18:00:00,89339032.28068835,3271421.779416751 
 01/02  19:00:00,74830064.84376957,1671470.2241296522 
 01/02  20:00:00,73134293.74837585,11836905.858303685 
 01/02  21:00:00,59192392.510292727,21246973.666260315 
 01/02  22:00:00,59192392.510292727,26472000.081810628 
 01/02  23:00:00,45316022.84373273,30701397.870240779 
 01/02  24:00:00,38377838.01045273,35705063.35037826 
 01/03  01:00:00,34633452.83331995,1671381.3683457587 
 01/03  02:00:00,34633452.83331995,1671356.104571136 
 01/03  03:00:00,34633452.83331995,3270639.891712676 
 01/03  04:00:00,34633452.83331995,1671288.5130622609 
 01/03  05:00:00,34633452.83331995,1671273.4409778638 
 01/03  06:00:00,38377838.01045273,19308633.988747389 
 01/03  07:00:00,45316022.84373273,20761248.487515484 
 01/03  08:00:00,36084266.84373273,21287243.34106378 
 01/03  09:00:00,45373494.17685274,17854849.884701425 
 01/03  10:00:00,45373494.17685274,13506065.068657935 
 01/03  11:00:00,45373494.17685274,8239989.033977028 
 01/03  12:00:00,45566062.66504815,3585146.126073028 
 01/03  13:00:00,26987652.26026156,1671743.9080763346 
 01/03  14:00:00,27546489.25325531,3271189.0810679227 
 01/03  15:00:00,27717411.88925175,1671601.7888235702 
 01/03  16:00:00,27512842.016566066,3271043.4409646715 
 01/03  17:00:00,26530113.866661245,1671618.832712703 
 01/03  18:00:00,38555990.23102661,4589517.925077357 
 01/03  19:00:00,38377838.01045273,8499844.264894659 
 01/03  20:00:00,34633452.83331995,1671435.6662336225 
 01/03  21:00:00,34633452.83331995,1671290.5071486335 
 01/03  22:00:00,34633452.83331995,3270902.494656462 
 01/03  23:00:00,34633452.83331995,1671268.388309857 
 01/03  24:00:00,34633452.83331995,1671295.493312194 
 01/04  01:00:00,34633452.83331995,1671329.6779648425 
 01/04  02:00:00,34633452.83331995,3270747.167073601 
 01/04  03:00:00,34633452.83331995,1671430.372270826 
 01/04  04:00:00,34633452.83331995,1671295.657891939 
 01/04  05:00:00,34633452.83331995,1671368.7754101065 
 01/04  06:00:00,38377838.01045273,57989242.753126639 
 01/04  07:00:00,38377838.01045273,55794247.635722029 
 01/04  08:00:00,29146082.010452738,54947053.986209068 
 01/04  09:00:00,10682570.010452737,54832036.16874433 
 01/04  10:00:00,10682570.010452737,44456813.149484347 
 01/04  11:00:00,10682570.010452737,29329595.32197288 
 01/04  12:00:00,10682570.010452737,15340202.858445503 
 01/04  13:00:00,10805269.108460866,5620528.733720435 
 01/04  14:00:00,12352438.111113612,1671390.142625193 
 01/04  15:00:00,13562046.995205116,1671363.1487662674 
 01/04  16:00:00,13758037.346519269,1671395.5475963883 
 01/04  17:00:00,12478363.365753463,1671396.2851490696 
 01/04  18:00:00,38417470.1542467,6553438.537686955 
 01/04  19:00:00,34633452.83331995,1671300.540387372 
 01/04  20:00:00,34633452.83331995,1671417.8145159642 
 01/04  21:00:00,34633452.83331995,1671315.4876899813 
 01/04  22:00:00,34633452.83331995,1671383.588389504 
 01/04  23:00:00,34633452.83331995,3270771.492524082 
 01/04  24:00:00,34633452.83331995,1671406.1659208462 
 01/05  01:00:00,34633452.83331995,1671270.6041723607 
 01/05  02:00:00,34633452.83331995,1671308.6054299577 
