Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,35327271.31664795,1854100.1253463822 
 01/01  02:00:00,35327271.31664795,1854063.0751448756 
 01/01  03:00:00,35327271.31664795,1854025.2894991 
 01/01  04:00:00,35327271.31664795,1854167.8329628327 
 01/01  05:00:00,35327271.31664795,1854131.3096658218 
 01/01  06:00:00,39877222.68095192,40754832.31858236 
 01/01  07:00:00,39877222.68095192,44364608.86297676 
 01/01  08:00:00,30645466.680951924,40272488.16723749 
 01/01  09:00:00,12181954.680951925,37883448.03660898 
 01/01  10:00:00,12181954.680951925,33069434.551307598 
 01/01  11:00:00,12181954.680951925,25955072.01487168 
 01/01  12:00:00,12181954.680951925,17231995.438468778 
 01/01  13:00:00,12181954.680951925,9650337.045150355 
 01/01  14:00:00,12181954.680951925,6565419.679180674 
 01/01  15:00:00,12181954.680951925,1853718.840848036 
 01/01  16:00:00,12181954.680951925,1854109.5038288532 
 01/01  17:00:00,16797832.680951924,5859894.138677403 
 01/01  18:00:00,39877222.68095192,12198245.61582353 
 01/01  19:00:00,35327271.31664795,1853995.7638306625 
 01/01  20:00:00,35327271.31664795,1854096.239581602 
 01/01  21:00:00,35327271.31664795,1854039.00259725 
 01/01  22:00:00,35327271.31664795,3636273.818462995 
 01/01  23:00:00,35327271.31664795,1854140.3589703369 
 01/01  24:00:00,35327271.31664795,1854090.0034363329 
 01/02  01:00:00,35327271.31664795,1854071.9569512285 
 01/02  02:00:00,35327271.31664795,1854046.1398787064 
 01/02  03:00:00,35327271.31664795,1854020.0524618263 
 01/02  04:00:00,35327271.31664795,3636340.715997478 
 01/02  05:00:00,35327271.31664795,1854125.9814558572 
 01/02  06:00:00,47509225.99755993,74054832.57125576 
 01/02  07:00:00,47509225.99755993,82737681.0522446 
 01/02  08:00:00,68805483.26399192,66101194.420926328 
 01/02  09:00:00,118610599.62968794,159771545.31681217 
 01/02  10:00:00,118610599.62968794,154262061.64818875 
 01/02  11:00:00,118610599.62968794,145022516.2164168 
 01/02  12:00:00,118610599.62968794,143576829.35016404 
 01/02  13:00:00,118610599.62968794,50502508.988645959 
 01/02  14:00:00,118610599.62968794,132574828.74919331 
 01/02  15:00:00,118610599.62968794,129220172.50094787 
 01/02  16:00:00,118610599.62968794,129253470.3442528 
 01/02  17:00:00,123226477.62968794,136233257.96481816 
 01/02  18:00:00,94576005.67026392,30587165.54190144 
 01/02  19:00:00,78037239.26399192,8345117.789661834 
 01/02  20:00:00,78037239.26399192,34141918.23221486 
 01/02  21:00:00,62773232.63077591,46397016.37042621 
 01/02  22:00:00,62773232.63077591,53166402.26285961 
 01/02  23:00:00,47509225.99755993,54790118.74657656 
 01/02  24:00:00,39877222.68095192,60529480.984657388 
 01/03  01:00:00,35327271.31664795,1854171.1418472715 
