Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,2.922954E+00,3.421492E+04,3.265432E+00,3.570230E+04,8.003573E+04,2.922954E+00,4.978184E+04,2.922954E+00,1.548821E+04,5.308141E+04,2.922954E+00,4.126409E+04,2.977853E+00,2.477957E+04,8.364146E+04,2.922954E+00,4.185152E+04,2.963946E+00,2.399916E+04,8.115395E+04,1.076258E+01,2.633348E+05,2.922954E+00,0.000000E+00,0.000000E+00,7.533669E+00,1.854147E+05,2.922954E+00,0.000000E+00,0.000000E+00,1.033434E+01,2.526452E+05,2.922954E+00,0.000000E+00,0.000000E+00
00:20:00,2.922954E+00,3.451745E+04,2.961338E+00,3.127924E+04,7.318222E+04,2.922954E+00,5.008437E+04,2.922954E+00,1.518568E+04,5.210939E+04,2.922954E+00,4.156662E+04,2.922954E+00,2.370343E+04,8.110502E+04,2.922954E+00,4.215405E+04,2.922954E+00,2.311600E+04,7.899185E+04,9.477967E+00,2.506703E+05,2.922954E+00,0.000000E+00,0.000000E+00,6.452765E+00,1.731118E+05,2.922954E+00,0.000000E+00,0.000000E+00,9.076285E+00,2.400002E+05,2.922954E+00,0.000000E+00,0.000000E+00
00:30:00,2.922954E+00,3.481997E+04,2.922954E+00,3.045007E+04,7.193178E+04,2.922954E+00,5.038689E+04,2.922954E+00,1.488315E+04,5.114139E+04,2.922954E+00,4.186914E+04,2.922954E+00,2.340090E+04,8.001453E+04,2.922954E+00,4.245658E+04,2.922954E+00,2.281347E+04,7.791042E+04,8.263344E+00,2.367824E+05,2.922954E+00,0.000000E+00,0.000000E+00,5.446062E+00,1.600117E+05,2.922954E+00,0.000000E+00,0.000000E+00,7.888182E+00,2.261801E+05,2.922954E+00,0.000000E+00,0.000000E+00
00:40:00,2.922954E+00,3.512250E+04,2.922954E+00,3.014755E+04,7.162143E+04,2.922954E+00,5.068942E+04,2.922954E+00,1.458062E+04,5.017741E+04,2.922954E+00,4.217167E+04,2.922954E+00,2.309837E+04,7.892872E+04,2.922954E+00,4.275910E+04,2.922954E+00,2.251094E+04,7.683363E+04,7.079356E+00,2.211722E+05,2.922954E+00,0.000000E+00,0.000000E+00,4.470634E+00,1.455791E+05,2.922954E+00,0.000000E+00,0.000000E+00,6.731981E+00,2.107091E+05,2.922954E+00,0.000000E+00,0.000000E+00
00:50:00,2.922954E+00,3.542503E+04,2.922954E+00,2.984502E+04,7.131108E+04,2.922954E+00,5.099195E+04,2.922954E+00,1.427810E+04,4.921742E+04,2.922954E+00,4.247420E+04,2.922954E+00,2.279585E+04,7.784757E+04,2.922954E+00,4.306163E+04,2.922954E+00,2.220842E+04,7.576145E+04,5.918682E+00,2.037853E+05,2.922954E+00,0.000000E+00,0.000000E+00,3.516000E+00,1.297087E+05,2.922954E+00,0.000000E+00,0.000000E+00,5.597014E+00,1.934746E+05,2.922954E+00,0.000000E+00,0.000000E+00
01:00:00,2.922954E+00,3.572755E+04,2.922954E+00,2.954249E+04,7.100072E+04,2.922954E+00,5.129447E+04,2.922954E+00,1.397557E+04,4.826140E+04,2.922954E+00,4.277673E+04,2.922954E+00,2.249332E+04,7.677105E+04,2.922954E+00,4.336416E+04,2.922954E+00,2.190589E+04,7.469384E+04,4.777223E+00,1.846054E+05,2.922954E+00,0.000000E+00,0.000000E+00,2.922954E+00,1.189548E+05,2.922954E+00,0.000000E+00,0.000000E+00,4.480727E+00,1.744850E+05,2.922954E+00,0.000000E+00,0.000000E+00
01:10:00,2.922954E+00,3.592924E+04,2.922954E+00,2.934081E+04,7.079377E+04,2.922954E+00,5.149616E+04,2.922954E+00,1.377389E+04,4.762625E+04,2.922954E+00,4.297841E+04,2.922954E+00,2.229164E+04,7.605592E+04,2.922954E+00,4.356584E+04,2.922954E+00,2.170420E+04,7.398464E+04,5.293272E+00,1.952769E+05,2.922954E+00,0.000000E+00,0.000000E+00,3.115369E+00,1.227168E+05,2.922954E+00,0.000000E+00,0.000000E+00,4.989195E+00,1.849246E+05,2.922954E+00,0.000000E+00,0.000000E+00
01:20:00,2.922954E+00,3.613092E+04,2.922954E+00,2.913912E+04,7.058687E+04,2.922954E+00,5.169784E+04,2.922954E+00,1.357220E+04,4.699284E+04,2.922954E+00,4.318009E+04,2.922954E+00,2.208995E+04,7.534284E+04,2.922954E+00,4.376753E+04,2.922954E+00,2.150252E+04,7.327746E+04,5.464343E+00,1.986317E+05,2.922954E+00,0.000000E+00,0.000000E+00,3.204916E+00,1.244683E+05,2.922954E+00,0.000000E+00,0.000000E+00,5.158250E+00,1.882395E+05,2.922954E+00,0.000000E+00,0.000000E+00
01:30:00,2.922954E+00,3.633261E+04,2.922954E+00,2.893744E+04,7.037997E+04,2.922954E+00,5.189953E+04,2.922954E+00,1.337052E+04,4.636118E+04,2.922954E+00,4.338178E+04,2.922954E+00,2.188827E+04,7.463180E+04,2.922954E+00,4.396921E+04,2.922954E+00,2.130084E+04,7.257229E+04,5.576683E+00,2.008332E+05,2.922954E+00,0.000000E+00,0.000000E+00,3.274231E+00,1.258241E+05,2.922954E+00,0.000000E+00,0.000000E+00,5.268441E+00,1.903989E+05,2.922954E+00,0.000000E+00,0.000000E+00
01:40:00,2.922954E+00,3.653429E+04,2.922954E+00,2.873575E+04,7.017306E+04,2.922954E+00,5.210121E+04,2.922954E+00,1.316883E+04,4.573124E+04,2.922954E+00,4.358346E+04,2.922954E+00,2.168658E+04,7.392277E+04,2.922954E+00,4.417089E+04,2.922954E+00,2.109915E+04,7.186912E+04,5.668027E+00,2.026210E+05,2.922954E+00,0.000000E+00,0.000000E+00,3.346754E+00,1.272426E+05,2.922954E+00,0.000000E+00,0.000000E+00,5.356247E+00,1.921176E+05,2.922954E+00,0.000000E+00,0.000000E+00
