Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.494783E+04,5.509350E+03,1.731885E+00,4.863671E-01,7.338263E+04,1.702049E+04,5.098531E+00,1.502677E+00,2.506003E+04,5.925342E+03,1.739568E+00,5.230949E-01,1.578232E+04,4.325425E+03,1.095781E+00,3.818535E-01,1.579747E+04,3.848024E+03,1.096812E+00,3.397041E-01
00:20:00,2.269393E+04,4.374235E+03,1.523568E+00,3.861584E-01,6.700138E+04,1.351671E+04,4.497085E+00,1.193339E+00,2.279327E+04,4.704136E+03,1.530201E+00,4.152853E-01,1.433896E+04,3.433820E+03,9.630812E-01,3.031413E-01,1.435352E+04,3.054872E+03,9.640299E-01,2.696843E-01
00:30:00,2.066267E+04,3.255952E+03,1.326412E+00,2.874359E-01,6.128322E+04,1.006343E+04,3.928857E+00,8.884607E-01,2.075146E+04,3.501231E+03,1.332111E+00,3.090915E-01,1.303852E+04,2.555633E+03,8.375476E-01,2.256138E-01,1.305256E+04,2.273645E+03,8.384170E-01,2.007174E-01
00:40:00,1.875184E+04,2.154273E+03,1.135286E+00,1.901793E-01,5.578136E+04,6.659965E+03,3.371416E+00,5.879811E-01,1.882922E+04,2.316386E+03,1.140011E+00,2.044923E-01,1.181618E+04,1.690701E+03,7.159263E-01,1.492566E-01,1.182968E+04,1.504187E+03,7.167160E-01,1.327895E-01
00:50:00,1.692545E+04,1.068998E+03,9.484097E-01,9.437101E-02,5.046306E+04,3.305679E+03,2.823172E+00,2.918444E-01,1.699561E+04,1.149380E+03,9.523724E-01,1.014680E-01,1.064758E+04,8.388713E+02,5.970099E-01,7.405629E-02,1.066052E+04,7.463517E+02,5.977181E-01,6.588781E-02
01:00:00,1.516849E+04,0.000000E+00,7.650386E-01,0.000000E+00,4.529139E+04,0.000000E+00,2.282351E+00,0.000000E+00,1.523311E+04,0.000000E+00,7.683245E-01,0.000000E+00,9.525423E+03,0.000000E+00,4.804362E-01,0.000000E+00,9.537999E+03,0.000000E+00,4.810726E-01,0.000000E+00
01:10:00,1.677134E+04,0.000000E+00,8.449447E-01,0.000000E+00,5.036951E+04,0.000000E+00,2.537495E+00,0.000000E+00,1.683702E+04,0.000000E+00,8.482666E-01,0.000000E+00,1.053892E+04,1.275594E+01,5.309590E-01,7.524633E-04,1.055179E+04,0.000000E+00,5.316069E-01,0.000000E+00
01:20:00,1.736981E+04,0.000000E+00,8.749633E-01,0.000000E+00,5.180143E+04,0.000000E+00,2.609203E+00,0.000000E+00,1.744243E+04,0.000000E+00,8.786360E-01,0.000000E+00,1.092721E+04,1.275594E+01,5.504400E-01,7.524633E-04,1.094035E+04,0.000000E+00,5.511016E-01,0.000000E+00
01:30:00,1.778472E+04,0.000000E+00,8.958062E-01,0.000000E+00,5.266165E+04,0.000000E+00,2.652340E+00,0.000000E+00,1.786229E+04,0.000000E+00,8.997295E-01,0.000000E+00,1.119844E+04,3.821549E+01,5.640674E-01,2.254150E-03,1.121180E+04,0.000000E+00,5.647401E-01,0.000000E+00
01:40:00,1.811220E+04,0.000000E+00,9.122938E-01,0.000000E+00,5.338535E+04,0.000000E+00,2.688747E+00,0.000000E+00,1.819587E+04,0.000000E+00,9.165220E-01,0.000000E+00,1.141339E+04,3.821549E+01,5.748897E-01,2.254150E-03,1.142699E+04,0.000000E+00,5.755746E-01,0.000000E+00
01:50:00,1.838340E+04,0.000000E+00,9.259632E-01,0.000000E+00,5.399588E+04,0.000000E+00,2.719541E+00,0.000000E+00,1.846930E+04,0.000000E+00,9.303013E-01,0.000000E+00,1.159322E+04,7.193509E+01,5.839540E-01,4.237599E-03,1.160711E+04,0.000000E+00,5.846534E-01,0.000000E+00
02:00:00,1.860960E+04,0.000000E+00,9.373710E-01,0.000000E+00,5.452241E+04,0.000000E+00,2.746102E+00,0.000000E+00,1.869622E+04,0.000000E+00,9.417414E-01,0.000000E+00,1.174269E+04,7.193509E+01,5.914933E-01,4.237599E-03,1.175667E+04,0.000000E+00,5.921977E-01,0.000000E+00
02:10:00,1.879973E+04,0.000000E+00,9.469621E-01,0.000000E+00,5.497951E+04,0.000000E+00,2.769154E+00,0.000000E+00,1.888800E+04,0.000000E+00,9.514132E-01,0.000000E+00,1.186832E+04,9.835368E+01,5.978308E-01,5.791398E-03,1.188237E+04,0.000000E+00,5.985390E-01,0.000000E+00
02:20:00,1.896178E+04,0.000000E+00,9.551367E-01,0.000000E+00,5.538104E+04,0.000000E+00,2.789398E+00,0.000000E+00,1.905151E+04,0.000000E+00,9.596605E-01,0.000000E+00,1.197531E+04,9.835368E+01,6.032274E-01,5.791398E-03,1.198942E+04,0.000000E+00,6.039384E-01,0.000000E+00
02:30:00,1.910200E+04,0.000000E+00,9.622089E-01,0.000000E+00,5.573829E+04,0.000000E+00,2.807404E+00,0.000000E+00,1.919304E+04,0.000000E+00,9.667989E-01,0.000000E+00,1.206775E+04,1.142010E+02,6.078896E-01,6.723149E-03,1.208190E+04,1.245404E+00,6.086028E-01,7.322506E-05
02:40:00,1.922495E+04,0.000000E+00,9.684097E-01,0.000000E+00,5.605933E+04,0.000000E+00,2.823583E+00,0.000000E+00,1.931722E+04,0.000000E+00,9.730607E-01,0.000000E+00,1.214867E+04,1.142010E+02,6.119705E-01,6.723149E-03,1.216286E+04,1.245404E+00,6.126856E-01,7.322506E-05
