S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,0,0,0,0,0
1.31E-15,0,6.61E-16,4.18E-15,3.67E-15,0,0,0,0,0
1.27E-15,0,0,2.54E-15,4.06E-15,0,0,0,0,0
6.37E-16,0,0,3.56E-15,3.57E-15,0,0,0,0,0
1.92E-15,0,0,3.57E-15,4.08E-15,0,0,0,0,0
0,0.032644249,0,0,0,0,0,0,0,0
0.025430979,0.079960605,0.025430454,0.025429858,0.025430729,0,0,0,0,0
0.031283117,0.069925065,0.031282796,0.031283466,0.031283648,0,0,0,0,0
0.035684229,0.062593715,0.035683392,0.035683761,0.035685263,0,0,0,0,0
0.045057402,0.079094052,0.04505695,0.045056343,0.045056547,0,0,0,0,0
0.046731305,0.073772526,0.046729603,0.046731865,0.046731753,0,0,0,0,0
0.048063061,0.059562874,0.048063367,0.048064744,0.048062879,0,0,0,0,0
0.041297214,0.052979015,0.041293361,0.041299305,0.04129723,0,0,0,0,0
0.037187297,0.044558393,0.037182489,0.037189727,0.037188626,0,0,0,0,0
0.035105623,0.054129323,0.035100024,0.035108643,0.035105844,0,0,0,0,0
0.037459831,0.063946823,0.03745522,0.037464175,0.037462096,0,0,0,0,0
0.046694516,0.069710087,0.046687014,0.046697906,0.046696322,0,0,0,0,0
0.049117283,0.066099579,0.04910946,0.04911905,0.049120889,0,0,0,0,0
0.000443575,1.21991E-05,0.000443466,0.00044361,0.000443772,0,0,0,0,0
0,0,6.92E-16,1.66E-15,1.66E-15,0,0,0,0,0
0,0,7.34E-16,5.74E-16,2.43E-15,0,0,0,0,0
1.54E-15,0,1.55E-15,1.24E-15,1.84E-15,0,0,0,0,0
0,0.000442298,1.61E-15,1.98E-15,1.99E-15,0,0,0,0,0
1.78E-15,0,2.70E-15,1.44E-15,1.46E-15,0,0,0,0,0
3.522751414,3.41603118,3.522768919,3.522812325,3.522828466,2.579852988,2.582171035,2.580227497,2.579935142,2.579934775
2.533601265,2.035288884,2.533638102,2.533708883,2.53369426,2.572524589,2.574096141,2.572887861,2.572644327,2.572648663
4.398297655,6.018295155,4.39769859,4.398298257,4.398288741,2.569276214,2.571027953,2.569615233,2.569360141,2.569364566
3.173717223,2.698081963,3.173337086,3.173971216,3.173965874,2.567278291,2.5691094,2.567585995,2.567336914,2.567341057
3.147256145,2.401538462,3.147315397,3.147367404,3.147375959,2.563229561,2.565179731,2.563501319,2.56325924,2.563252445
3.357486563,1.666666667,3.357534776,3.357585997,3.357604411,2.565305078,2.56748509,2.565535803,2.565287628,2.565274471
1.433548134,1.369320594,1.433587512,1.433556026,1.433555661,2.569043391,2.571097573,2.569239246,2.569026986,2.569011084
0.202841177,0.218738379,0.202836767,0.202826516,0.202823184,0.773484024,0.774796676,0.773567046,0.773436171,0.773452584
0.662421306,0.495565898,0.66248106,0.662347045,0.662376508,0.7769658,0.778805451,0.777135339,0.776871794,0.776973285
0.610373025,0.544893102,0.610493874,0.610310043,0.610375537,0.779807278,0.781817974,0.780106468,0.779684238,0.779861065
0.873503887,0.794654163,0.873594406,0.873487894,0.873526177,0.781547507,0.783629835,0.781948357,0.781410161,0.781588881
0.707253279,0.666145931,0.70727458,0.707250829,0.707252073,0.784358831,0.786612146,0.784817103,0.784204244,0.784341277
1.028679002,0.8714692,1.028717887,1.028725449,1.028717164,0.783234914,0.785422039,0.783762483,0.783106019,0.783179898
0.617130659,0.590387523,0.617155078,0.617127418,0.617122034,0.784015958,0.786373835,0.784548762,0.783929909,0.78393301
0.627723094,0.659672305,0.627771769,0.627721196,0.627713252,0.784991548,0.78727051,0.785471781,0.784960809,0.784911001
1.145539307,1.03885708,1.145551732,1.14558258,1.145569997,0.784095535,0.786107247,0.784492313,0.78411814,0.784043226
1.028096761,0.89370209,1.028081469,1.028123517,1.028118747,0.783365443,0.785306642,0.783664133,0.783393609,0.783335937
0.542548621,0.594506334,0.542487178,0.542548196,0.542560524,0.782486633,0.784279917,0.782674923,0.782465439,0.782473164
0.803860703,0.787570407,0.803785145,0.803868161,0.803866006,0.779130417,0.780676934,0.779308177,0.779109294,0.779128292
2.773166678,2.674483736,2.773084054,2.773254571,2.773253877,2.579115305,2.581583533,2.57971039,2.579212783,2.579278447
2.137628038,1.903897803,2.137515075,2.137648919,2.137624885,2.575989023,2.578070435,2.57652512,2.576095873,2.576146808
2.176184086,2.09759857,2.176097043,2.17618866,2.176192173,2.575875436,2.57797093,2.57637392,2.57596244,2.576001379
0.649209042,0.993717103,0.649137642,0.649232374,0.649237898,2.57416336,2.576061156,2.574621732,2.574251584,2.574286252
1.014102892,1.21879699,1.014326296,1.01408749,1.014194238,2.569122735,2.571079306,2.569546407,2.569187448,2.569218828
0.052740235,0,0.052712995,0.052740997,0.052740262,0,0,0,0,0
0,0,2.47E-15,0,0,0,0,0,0,0
0,0,2.63E-15,0,4.58E-15,0,0,0,0,0
2.52E-15,0,7.74E-15,0,4.44E-15,0,0,0,0,0
0,0,2.34E-15,3.74E-15,0,0,0,0,0,0
0,0.044161849,0,0,0,0,0,0,0,0
0,0.049389807,0,0,0,0,0,0,0,0
0,0.016005214,0,0,0,0,0,0,0,0
0.18588636,0.179928012,0.185893974,0.185886191,0.185888602,0,0,0,0,0
0.050358621,0.02291193,0.050436237,0.050320237,0.050366723,0,0,0,0,0
0.009573068,0.024206876,0.009668998,0.009529958,0.009582293,0,0,0,0,0
0.290640365,0.254631034,0.290677683,0.290632129,0.290643491,0,0,0,0,0
0.029932555,0.070375864,0.029936195,0.029930808,0.029932442,0,0,0,0,0
0.045752785,0.091314929,0.045771596,0.045748517,0.045752226,0,0,0,0,0
0.057058215,0.104451591,0.057074525,0.057058541,0.057056707,0,0,0,0,0
0.066868814,0.117982434,0.066888952,0.066874396,0.066868492,0,0,0,0,0
0.056291078,0.102304235,0.056305395,0.056296019,0.056291076,0,0,0,0,0
0.005239122,0.064557751,0.005239249,0.005240572,0.005240254,0,0,0,0,0
0.018453052,0.060515684,0.018454692,0.018450591,0.01845264,0,0,0,0,0
0.001680399,0,0.001679439,0.001681083,0.00168037,0,0,0,0,0
3.51E-15,0,0,5.60E-16,5.60E-16,0,0,0,0,0
1.28E-15,0,1.32E-15,5.38E-16,5.11E-16,0,0,0,0,0
2.59E-15,0.000572145,1.29E-15,5.18E-16,1.57E-15,0,0,0,0,0
1.80E-15,0,5.57E-16,0,0,0,0,0,0,0
1.62E-15,0,1.08E-15,0,1.29E-15,0,0,0,0,0
2.14E-15,0,1.07E-15,4.28E-16,8.56E-16,0,0,0,0,0
3.02E-15,0,5.16E-16,3.93E-16,1.21E-15,0,0,0,0,0
1.88E-15,0,0,7.46E-16,3.69E-16,0,0,0,0,0
2.28E-15,0,4.53E-16,0,7.26E-16,0,0,0,0,0
0,0.033300664,0,0,0,0,0,0,0,0
0.030719235,0.081232657,0.030722823,0.030720761,0.030718844,0,0,0,0,0
0.035622812,0.070967926,0.035625382,0.035622899,0.035624418,0,0,0,0,0
0.052003084,0.087713255,0.052006741,0.052001485,0.052007882,0,0,0,0,0
0.058797669,0.093072451,0.05879185,0.05879482,0.058793668,0,0,0,0,0
0.052086625,0.081564057,0.052063572,0.052081918,0.052068644,0,0,0,0,0
0.040694452,0.057879402,0.040645498,0.040690814,0.040657162,0,0,0,0,0
0.038115008,0.052191578,0.038096974,0.038112275,0.03808047,0,0,0,0,0
0.034160239,0.042689324,0.034128764,0.034163882,0.034150578,0,0,0,0,0
0.031310985,0.05182611,0.031277127,0.031314829,0.031303154,0,0,0,0,0
0.02727822,0.060584221,0.027252952,0.027297002,0.027268436,0,0,0,0,0
0.038950644,0.06419061,0.038930193,0.038969377,0.0389472,0,0,0,0,0
0.049448453,0.066986105,0.0494026,0.049440579,0.049443005,0,0,0,0,0
0.000862784,0,0.000861575,0.000862149,0.000863309,0,0,0,0,0
1.26E-15,0,1.83E-15,9.89E-16,1.95E-15,0,0,0,0,0
2.37E-15,0.000366693,1.79E-15,9.53E-16,1.45E-15,0,0,0,0,0
2.55E-15,0,1.27E-15,2.03E-15,1.51E-15,0,0,0,0,0
2.42E-15,0.000364977,2.46E-15,0,2.47E-15,0,0,0,0,0
1.59E-15,0,1.07E-15,8.85E-16,1.75E-15,0,0,0,0,0
3.139901979,3.068064518,3.141433299,3.140592872,3.140304264,2.602228121,2.605008892,2.608054006,2.604594505,2.603631018
2.865692246,2.428921914,2.867739037,2.866793586,2.866339306,2.593098095,2.595025842,2.598432352,2.595404763,2.594454738
3.02013423,2.539073737,3.021609664,3.021033548,3.020675865,2.598963789,2.600804612,2.603987788,2.601183608,2.600257779
2.889719228,2.135008726,2.890264228,2.890160554,2.890043386,2.608001223,2.609417513,2.612784012,2.610199,2.609292133
3.830160746,0.930974841,3.781770849,3.808038709,3.818237227,2.60703937,2.608296866,2.611541479,2.609163748,2.608294119
3.279739172,2.315818416,3.278978457,3.279477582,3.279626815,2.607887775,2.609805501,2.611941227,2.60974444,2.60895606
2.172063247,2.058985455,2.171575926,2.171919779,2.171987172,2.611427781,2.613340075,2.615232052,2.613187615,2.612426646
0.366540333,0.298740605,0.366689276,0.366599885,0.366570055,0.791416098,0.79286997,0.792621745,0.791877221,0.791735871
0,0,0,0,0,0.792190489,0.794199955,0.793843655,0.792635198,0.793033285
0.718640087,0.611055066,0.720238635,0.71899202,0.719416848,0.78866398,0.790951975,0.791253768,0.78909087,0.790005122
0.298020012,0.338547934,0.30004471,0.298279673,0.298651955,0.786617263,0.789194541,0.790744959,0.787011814,0.788096448
1.10037816,0.928471103,1.101260091,1.100413295,1.100651725,0.783732804,0.786645913,0.789334608,0.784116067,0.784649964
1.016166176,0.799727516,1.016326408,1.016122825,1.016102688,0.782417049,0.785710675,0.789147354,0.782802616,0.782935837
0.460459443,0.496683939,0.461236051,0.460485371,0.460483073,0.783561084,0.787144626,0.79078226,0.784239199,0.784034917
1.015570283,0.940651742,1.015890946,1.015824644,1.015607968,0.782338204,0.785767353,0.789364358,0.783997815,0.782893642
1.020254526,0.94671972,1.020440127,1.020517765,1.020286927,0.78056692,0.783669724,0.78667485,0.782961246,0.781172691
