S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,0,0,0,0,0
2.64E-15,0,0,2.10E-15,3.69E-15,0,0,0,0,0
1.91E-15,0,6.36E-16,3.56E-15,3.05E-15,0,0,0,0,0
6.38E-16,0,0,2.04E-15,4.07E-15,0,0,0,0,0
6.39E-16,0,0,2.55E-15,4.08E-15,0,0,0,0,0
0,0.03266927,0,0,0,0,0,0,0,0
0.038790198,0.091343288,0.038788701,0.038789683,0.038790499,0,0,0,0,0
0.044874483,0.081967774,0.044872787,0.044875878,0.044875905,0,0,0,0,0
0.049735287,0.075342352,0.049732968,0.049736559,0.049737653,0,0,0,0,0
0.05998992,0.092831491,0.05998733,0.059991552,0.059991065,0,0,0,0,0
0.062478173,0.088384155,0.06247409,0.062481738,0.062480595,0,0,0,0,0
0.064050492,0.074428297,0.064047844,0.064055482,0.064052098,0,0,0,0,0
0.057344937,0.067868787,0.057338452,0.057349772,0.057346251,0,0,0,0,0
0.053900049,0.059885087,0.053892321,0.053904508,0.05390222,0,0,0,0,0
0.05230774,0.069801787,0.052298799,0.052312139,0.052308581,0,0,0,0,0
0.054735876,0.079828854,0.054727445,0.054741491,0.054738663,0,0,0,0,0
0.063031806,0.084940132,0.063018541,0.06303677,0.063033993,0,0,0,0,0
0.065398938,0.081371767,0.065384689,0.065401894,0.065402947,0,0,0,0,0
0.000444592,9.58128E-06,0.000444369,0.000444627,0.000444789,0,0,0,0,0
7.03E-16,0,2.07E-15,2.21E-15,1.11E-15,0,0,0,0,0
0,0,1.50E-15,1.81E-15,1.83E-15,0,0,0,0,0
