Zone BACK Infiltration Hybrid Model Air Change Rate solved with T,Zone CORE Infiltration Hybrid Model Air Change Rate solved with T,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with T,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with T,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with T,Zone BACK Infiltration Hybrid Model Air Change Rate solved with CO2,Zone CORE Infiltration Hybrid Model Air Change Rate solved with CO2,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with CO2,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
1.080438443,1.080499254,1.080675175,1.080498995,1.08043217,0.005400454,0.0053837,0.005399109,0.005400802,0.005400781,0,0,0,0,0
0,0,0,0,0,0,5.92E-16,2.14E-15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.69E-15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.67E-15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.66E-15,0,0,0,0,0,0,0
0,0,0,0,0,8.93E-05,0,6.19E-05,9.41E-05,9.66E-05,0,0,0,0,0
0,0,0,0,0,0.072994613,0.072892618,0.072980727,0.072997471,0.072998547,0,0,0,0,0
0,0,0,0,0,0.073131182,0.072990961,0.073120162,0.073135128,0.073135847,0,0,0,0,0
0,0,0,0,0,0.073458164,0.073308061,0.073447457,0.073462857,0.0734606,0,0,0,0,0
0,0,0,0,0,0.073224237,0.073072578,0.073212044,0.073229957,0.073225406,0,0,0,0,0
0,0,0,0,0,0.073362851,0.073206933,0.073346685,0.073370326,0.07336283,0,0,0,0,0
0,0,0,0,0,0.073737689,0.073580235,0.073714937,0.073747015,0.073737849,0,0,0,0,0
0,0.004619767,0,0,0,0.073819711,0.07365641,0.073790822,0.073831211,0.073821761,0,0,0,0,0
0,0.01346593,0,0,0,0.07401493,0.073846944,0.073983366,0.074028046,0.074020487,0,0,0,0,0
0.000274579,0.025564446,0.004377259,5.10142E-05,0,0.074241316,0.074070351,0.074206172,0.074252842,0.074249016,0,0,0,0,0
0.01117902,0.040566114,0.021547761,0.010605776,0.008816529,0.074031724,0.073859466,0.073994201,0.074038977,0.074040517,0,0,0,0,0
0.026122563,0.053914186,0.036060008,0.027373527,0.023765653,0.074153382,0.073983141,0.074118497,0.074158475,0.074162117,0,0,0,0,0
0.015826294,0.034961349,0.020326265,0.016312367,0.014293429,0.074036414,0.073869194,0.074006052,0.0740411,0.074044575,0,0,0,0,0
0.011089403,0.006526654,0.010480347,0.011509788,0.011161388,1.62E-15,2.99E-15,1.08E-15,0,7.74E-08,0,0,0,0,0
0,0,0,0,0,2.69E-15,1.80E-15,2.16E-15,0,0,0,0,0,0,0
0,0,0,0,0,5.40E-16,2.41E-15,1.62E-15,0,0,0,0,0,0,0
0,0,0,0,0,2.15E-15,4.21E-15,1.62E-15,0,4.29E-16,0,0,0,0,0
0,0,0,0,0,2.15E-15,2.39E-15,1.60E-15,0,0,0,0,0,0,0
0,0,0,0,0,1.62E-15,1.19E-15,1.61E-15,0,4.30E-16,0,0,0,0,0
2.802995865,2.84578779,2.803818835,2.800253009,2.800334396,2.907755595,2.908623216,2.907838282,2.907745779,2.907746102,2.579852988,2.582171035,2.580227497,2.579935142,2.579934775
2.503749125,2.495447246,2.504256936,2.504987742,2.504845387,3.85710584,3.857943542,3.857276745,3.857154428,3.857154809,2.572524589,2.574096141,2.572887861,2.572644327,2.572648663
2.481133154,2.478100964,2.48137929,2.481661197,2.481787318,5.929730188,5.929538209,5.929686349,5.929716544,5.929714548,2.569276214,2.571027953,2.569615233,2.569360141,2.569364566
2.472954757,2.471503632,2.473686186,2.473598846,2.473435749,7.460377333,7.460662641,7.460422353,7.460385602,7.460385107,2.567278291,2.5691094,2.567585995,2.567336914,2.567341057
2.44765725,2.447603934,2.448211432,2.448058526,2.448297358,5.517331361,5.517903705,5.517410545,5.517340312,5.517336091,2.563229561,2.565179731,2.563501319,2.56325924,2.563252445
2.111310495,2.137149445,2.114694126,2.111409821,2.111121682,8.339110149,8.339311267,8.339130696,8.339107784,8.339105936,2.565305078,2.56748509,2.565535803,2.565287628,2.565274471
2.151403389,2.172978424,2.154019066,2.151153005,2.151108144,2.430138686,2.429847452,2.430110419,2.430142816,2.430144077,2.569043391,2.571097573,2.569239246,2.569026986,2.569011084
0.298386265,0.32767437,0.299812412,0.298129303,0.296819925,0.880349322,0.88049227,0.880360844,0.880340165,0.880350775,0.773484024,0.774796676,0.773567046,0.773436171,0.773452584
0.4545537,0.490254899,0.456352778,0.4529681,0.453855453,1.101932928,1.101992803,1.101940721,1.101930325,1.10193508,0.7769658,0.778805451,0.777135339,0.776871794,0.776973285
0.55894132,0.596995314,0.56043415,0.556705644,0.558193243,1.165956684,1.165977698,1.165962489,1.165955301,1.165958435,0.779807278,0.781817974,0.780106468,0.779684238,0.779861065
0.617428636,0.650666193,0.621674308,0.614849318,0.619209396,1.184061787,1.18409516,1.184076197,1.184058712,1.184058196,0.781547507,0.783629835,0.781948357,0.781410161,0.781588881
0.695231611,0.723670831,0.701217539,0.692589856,0.695378119,1.171201258,1.17118946,1.171202339,1.171201752,1.171194882,0.784358831,0.786612146,0.784817103,0.784204244,0.784341277
0.715586568,0.741753864,0.722731408,0.712584087,0.714926105,1.240461107,1.240433444,1.240460479,1.240469953,1.240461246,0.783234914,0.785422039,0.783762483,0.783106019,0.783179898
0.717978907,0.742797045,0.726285019,0.715601202,0.716611069,1.1207755,1.120796328,1.120774199,1.120783324,1.12077076,0.784015958,0.786373835,0.784548762,0.783929909,0.78393301
0.743393962,0.767275327,0.750780105,0.741910399,0.741800563,1.174328033,1.174307398,1.174320745,1.174335616,1.174330003,0.784991548,0.78727051,0.785471781,0.784960809,0.784911001
0.752687026,0.773750394,0.759448352,0.752777902,0.751850967,1.21652464,1.216467177,1.216508013,1.216527829,1.216528708,0.784095535,0.786107247,0.784492313,0.78411814,0.784043226
0.751250929,0.768823573,0.758071574,0.75253776,0.750372186,1.179069016,1.179095741,1.179072763,1.179066752,1.17906779,0.783365443,0.785306642,0.783664133,0.783393609,0.783335937
0.75304547,0.77349736,0.757044203,0.753570665,0.752426349,1.196423382,1.196383772,1.196414619,1.196421082,1.196425336,0.782486633,0.784279917,0.782674923,0.782465439,0.782473164
