Date/Time,Electricity-uncalibrated,Gas-uncalibrated,Electricity-calibrated,Gas-calibrated,Electricity-truth,Gas-truth
 01/01  01:00:00,9.620403565,0.464254888,9.620403565,0.513617454,9.605627104,0.490307628
 01/01  02:00:00,9.620403565,0.464245652,9.620403565,0.513607191,9.605627104,0.490322491
 01/01  03:00:00,9.620403565,0.464236232,9.620403565,0.513596725,9.605627104,0.490301033
 01/01  04:00:00,9.620403565,0.464271767,9.620403565,0.513636208,9.605627104,0.960649371
 01/01  05:00:00,9.620403565,0.464262662,9.620403565,0.513626091,9.605627104,0.490311862
 01/01  06:00:00,10.66051056,7.389597578,11.20823514,11.05595307,11.17290999,11.09866006
 01/01  07:00:00,10.66051056,7.628428334,11.20823514,11.39761551,11.17290999,10.52721514
 01/01  08:00:00,8.096133892,6.789806583,8.643858474,10.22977368,8.60853332,9.804311761
 01/01  09:00:00,2.967380558,6.247655813,3.51510514,9.444175154,3.479779986,8.842374961
 01/01  10:00:00,2.967380558,5.088505406,3.51510514,7.86320022,3.479779986,7.431675813
 01/01  11:00:00,2.967380558,3.408480744,3.51510514,5.594294698,3.479779986,4.314162472
 01/01  12:00:00,2.967380558,1.293960865,3.51510514,2.827714054,3.498775836,1.179679742
 01/01  13:00:00,3.18164873,0.464274405,3.549864727,0.645211774,3.906204479,0.960650851
 01/01  14:00:00,3.435764382,0.90853085,3.849253086,1.007258322,4.199716921,0.490353872
 01/01  15:00:00,3.575900686,0.464159703,4.038955639,0.513511844,4.360517618,0.960653211
 01/01  16:00:00,3.566728419,0.464257226,4.027611963,0.513620051,4.299442695,0.490333924
 01/01  17:00:00,4.610233132,0.464257125,4.968200736,0.513619939,5.203277124,0.490334948
 01/01  18:00:00,10.68401316,0.672173081,11.20823514,1.684516465,11.17290999,1.413194602
 01/01  19:00:00,9.620403565,0.464228668,9.620403565,0.513588547,9.605627104,0.490306968
 01/01  20:00:00,9.620403565,0.464253922,9.620403565,0.513616377,9.605627104,0.490317586
 01/01  21:00:00,9.620403565,0.464239653,9.620403565,0.513600523,9.605627104,0.490326488
 01/01  22:00:00,9.620403565,0.90852812,9.620403565,1.007255284,9.605627104,0.96067854
 01/01  23:00:00,9.620403565,0.46426492,9.620403565,0.513628598,9.605627104,0.490327498
 01/01  24:00:00,9.620403565,0.464252367,9.620403565,0.51361465,9.605627104,0.490307271
 01/02  01:00:00,9.620403565,0.464247868,9.620403565,0.513609651,9.605627104,0.96069492
 01/02  02:00:00,9.620403565,0.464241433,9.620403565,0.5136025,9.605627104,0.490339917
 01/02  03:00:00,9.620403565,0.464234929,9.620403565,0.513595274,9.605627104,0.960632876
 01/02  04:00:00,9.620403565,0.908544797,9.620403565,1.007273814,9.605627104,0.490333652
 01/02  05:00:00,9.620403565,0.464261336,9.620403565,0.513624615,9.605627104,0.490316304
 01/02  06:00:00,12.58778412,12.92271683,13.13550871,29.73950625,13.08540709,32.11324921
 01/02  07:00:00,12.58778412,13.70474247,13.13550871,31.0738463,13.08540709,33.13704465
 01/02  08:00:00,17.73250172,8.984036404,18.2802263,21.53602612,18.17101884,23.31101039
 01/02  09:00:00,29.843301,14.02662383,30.39102558,36.46593647,29.24224425,26.01321705
 01/02  10:00:00,29.843301,12.05924086,30.39102558,34.00635396,29.24224425,31.06916306
 01/02  11:00:00,29.843301,9.491939871,30.39102558,30.78166344,29.24224425,27.88673568
 01/02  12:00:00,29.843301,8.548323277,30.39102558,29.77885136,29.24224425,30.4231568
 01/02  13:00:00,30.5529544,1.353623467,30.39102558,10.81339052,29.24224425,9.484820983
 01/02  14:00:00,29.843301,6.190120958,30.39102558,26.42816718,29.24224425,25.95094641
 01/02  15:00:00,29.843301,5.269202915,30.39102558,25.35018036,29.24224425,28.708556
 01/02  16:00:00,29.843301,5.416995697,30.39102558,25.49125072,29.24224425,14.81660089
 01/02  17:00:00,31.12548933,6.788221405,31.67321392,27.46780339,30.52443259,20.42151609
 01/02  18:00:00,24.81639786,0.908728272,25.02105913,9.015160613,24.33539202,21.97578157
 01/02  19:00:00,20.78612912,0.464297284,20.84460296,5.053739543,20.73539551,6.261449258
 01/02  20:00:00,20.3150816,3.288029405,20.84460296,16.52836081,20.73539551,17.37834274
 01/02  21:00:00,16.44233125,5.90193713,16.99005583,20.68475027,16.9104013,22.94009039
 01/02  22:00:00,16.44233125,7.353333356,16.99005583,22.83588283,16.9104013,23.77350084
 01/02  23:00:00,12.58778412,8.528166075,13.13550871,24.03398366,13.08540709,25.8010232
 01/02  24:00:00,10.66051056,9.918073153,11.20823514,25.47878704,11.17290999,27.88451767
 01/03  01:00:00,9.620403565,0.464272602,9.620403565,0.513637417,9.605627104,0.490306181
 01/03  02:00:00,9.620403565,0.464265585,9.620403565,0.513629338,9.605627104,0.960646169
 01/03  03:00:00,9.620403565,0.908511081,9.620403565,1.007236356,9.605627104,0.490337313
 01/03  04:00:00,9.620403565,0.464246809,9.620403565,0.513608476,9.605627104,0.490322944
 01/03  05:00:00,9.620403565,0.464242622,9.620403565,0.513603824,9.605627104,0.960641817
 01/03  06:00:00,10.66051056,5.363509441,11.20823514,10.05501435,11.17290999,9.847954754
 01/03  07:00:00,12.58778412,5.767013469,13.13550871,11.3328356,13.08540709,11.63688955
 01/03  08:00:00,10.02340746,5.91312315,10.57113204,11.10709094,10.52103042,10.83294677
 01/03  09:00:00,12.60374838,4.959680524,13.15147296,12.80959486,13.04226551,12.67756596
 01/03  10:00:00,12.60374838,3.751684741,13.15147296,11.03900341,13.04226551,10.04774738
 01/03  11:00:00,12.60374838,2.288885843,13.15147296,9.208628547,13.04226551,8.324932096
 01/03  12:00:00,12.65723963,0.995873924,13.15147296,7.174245278,13.04226551,5.566692038
 01/03  13:00:00,7.496570072,0.464373308,7.535770851,0.51374903,7.891149878,1.431538199
 01/03  14:00:00,7.65180257,0.908663634,7.788418045,1.007405858,8.105300893,0.960932957
 01/03  15:00:00,7.69928108,0.46433383,7.880534132,0.513705166,8.16350765,0.960870414
 01/03  16:00:00,7.642456116,0.908623178,7.812154379,1.007360908,8.056838382,0.960811438
 01/03  17:00:00,7.369476074,0.464338565,7.430604341,0.581784005,7.597200871,0.960929773
 01/03  18:00:00,10.70999729,1.27486609,11.20823514,2.991466027,11.18875071,2.401377258
 01/03  19:00:00,10.66051056,2.361067851,11.20823514,4.616646878,11.17290999,4.279627156
 01/03  20:00:00,9.620403565,0.464287685,9.620403565,0.513653895,9.605627104,0.960707236
 01/03  21:00:00,9.620403565,0.464247363,9.620403565,0.513609093,9.605627104,0.490360805
 01/03  22:00:00,9.620403565,0.908584026,9.620403565,1.007317409,9.605627104,0.960765722
