Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/01  01:00:00,0.005400454,0.0053837,0.005399109,0.005400802,0.005400781
 01/01  02:00:00,0,5.92E-16,2.14E-15,0,0
 01/01  03:00:00,0,0,3.69E-15,0,0
 01/01  04:00:00,0,0,2.67E-15,0,0
 01/01  05:00:00,0,0,2.66E-15,0,0
 01/01  06:00:00,8.93467E-05,0,6.18511E-05,9.40721E-05,9.65634E-05
 01/01  07:00:00,0.072994613,0.072892618,0.072980727,0.072997471,0.072998547
 01/01  08:00:00,0.073131182,0.072990961,0.073120162,0.073135128,0.073135847
 01/01  09:00:00,0.073458164,0.073308061,0.073447457,0.073462857,0.0734606
 01/01  10:00:00,0.073224237,0.073072578,0.073212044,0.073229957,0.073225406
 01/01  11:00:00,0.073362851,0.073206933,0.073346685,0.073370326,0.07336283
 01/01  12:00:00,0.073737689,0.073580235,0.073714937,0.073747015,0.073737849
 01/01  13:00:00,0.073819711,0.07365641,0.073790822,0.073831211,0.073821761
 01/01  14:00:00,0.07401493,0.073846944,0.073983366,0.074028046,0.074020487
 01/01  15:00:00,0.074241316,0.074070351,0.074206172,0.074252842,0.074249016
 01/01  16:00:00,0.074031724,0.073859466,0.073994201,0.074038977,0.074040517
 01/01  17:00:00,0.074153382,0.073983141,0.074118497,0.074158475,0.074162117
 01/01  18:00:00,0.074036414,0.073869194,0.074006052,0.0740411,0.074044575
 01/01  19:00:00,1.62E-15,2.99E-15,1.08E-15,0,7.74E-08
 01/01  20:00:00,2.69E-15,1.80E-15,2.16E-15,0,0
 01/01  21:00:00,5.40E-16,2.41E-15,1.62E-15,0,0
 01/01  22:00:00,2.15E-15,4.21E-15,1.62E-15,0,4.29E-16
 01/01  23:00:00,2.15E-15,2.39E-15,1.60E-15,0,0
 01/01  24:00:00,1.62E-15,1.19E-15,1.61E-15,0,4.30E-16
 01/02  01:00:00,2.907755595,2.908623216,2.907838282,2.907745779,2.907746102
 01/02  02:00:00,3.85710584,3.857943542,3.857276745,3.857154428,3.857154809
 01/02  03:00:00,5.929730188,5.929538209,5.929686349,5.929716544,5.929714548
 01/02  04:00:00,7.460377333,7.460662641,7.460422353,7.460385602,7.460385107
 01/02  05:00:00,5.517331361,5.517903705,5.517410545,5.517340312,5.517336091
 01/02  06:00:00,8.339110149,8.339311267,8.339130696,8.339107784,8.339105936
