Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 01/01  01:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  02:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0,0,0,0,0,0
 01/01  07:00:00,0.07,0.245,0.07,0.026666667,0.026666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  08:00:00,0.056666667,0.226666667,0.056666667,0.025,0.025,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  09:00:00,0.041666667,0.196666667,0.041666667,0.008333333,0.008333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  10:00:00,0.373333333,1.346666667,0.373333333,0.228333333,0.228333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  11:00:00,0.441666667,1.588333333,0.441666667,0.276666667,0.276666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  12:00:00,0.436666667,1.561666667,0.436666667,0.273333333,0.273333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  13:00:00,0.428333333,1.543333333,0.428333333,0.266666667,0.266666667,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  14:00:00,0.41,1.466666667,0.41,0.255,0.255,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  15:00:00,0.386666667,1.39,0.386666667,0.243333333,0.243333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  16:00:00,0.406666667,1.463333333,0.406666667,0.253333333,0.253333333,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  17:00:00,0.436666667,1.57,0.436666667,0.275,0.275,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
