Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 01/01  01:00:00,0.911768691,4.946735982,0.887606205,0.543054063,0.549038417,0,0,0,0,0
 01/01  02:00:00,0.466427432,5.936828909,0.389394256,0.231571982,0.247253474,0,0,0,0,0
 01/01  03:00:00,0.190456585,5.937881523,0.086605481,0.044427271,0.062332318,0,0,0,0,0
 01/01  04:00:00,0.209977412,5.939093707,0.093071049,0.050889386,0.069448346,0,0,0,0,0
 01/01  05:00:00,0.602961897,5.940007445,0.4933442,0.30592537,0.323458706,0,0,0,0,0
 01/01  06:00:00,1.373907558,5.762914461,1.350008232,0.849718667,0.852435376,0,0,0,0,0
 01/01  07:00:00,2.119802641,7.810824209,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  08:00:00,2.119802641,7.788801423,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  09:00:00,2.119802641,7.788203079,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  10:00:00,2.119802641,7.78639521,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  11:00:00,2.119802641,7.783743037,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  12:00:00,2.119802641,7.848619229,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  13:00:00,2.119802641,7.85806431,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  14:00:00,2.119802641,6.951722698,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  15:00:00,1.970718112,4.015169542,2.119802641,1.325274665,1.274658571,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  16:00:00,0.701599441,0.758892198,0.984771862,0.688982735,0.508122611,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 01/01  17:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
