S1 OFFICE BACK:Zone Hybrid Model People Count,S1 OFFICE CORE:Zone Hybrid Model People Count,S1 OFFICE FRONT:Zone Hybrid Model People Count,S1 OFFICE LEFT:Zone Hybrid Model People Count,S1 OFFICE RIGHT:Zone Hybrid Model People Count,S1 OFFICE BACK:Zone People Occupant Count,S1 OFFICE CORE:Zone People Occupant Count,S1 OFFICE FRONT:Zone People Occupant Count,S1 OFFICE LEFT:Zone People Occupant Count,S1 OFFICE RIGHT:Zone People Occupant Count,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0.08,0.28,0.08,0.05,0.05,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.06,0.22,0.06,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.08,0.27,0.08,0.05,0.05,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.05,0.19,0.05,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.09,0.32,0.09,0.06,0.06,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.06,0.19,0.06,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.08,0.27,0.08,0.05,0.05,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0.14,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.08,0.29,0.08,0.05,0.05,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
