Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/01  01:00:00,0,0,0,0,0
 01/01  02:00:00,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0
 01/01  07:00:00,0,0,0,0,0
 01/01  08:00:00,0,0,0,0,0
 01/01  09:00:00,0,0,0,0,0
 01/01  10:00:00,0,0,0,0,0
 01/01  11:00:00,0,0,0,0,0
 01/01  12:00:00,0,0,0,0,0
 01/01  13:00:00,0,0,0,0,0
 01/01  14:00:00,0,0,0,0,0
 01/01  15:00:00,0,0,0,0,0
 01/01  16:00:00,0,0.007740107,0,0,0
 01/01  17:00:00,0,0.035830908,0,0,0
 01/01  18:00:00,0,0.035216188,0,0,0
 01/01  19:00:00,0,0.004680083,0.002059057,0,0
 01/01  20:00:00,0,0,0,0,0
 01/01  21:00:00,0,0,0,0,0
 01/01  22:00:00,0,0,0,0,0
 01/01  23:00:00,0,0,0,0,0
 01/01  24:00:00,0,0,0,0,0
 01/02  01:00:00,2.604292608,2.800668555,2.623952941,2.585284815,2.582794405
 01/02  02:00:00,2.307964213,2.451786438,2.327713222,2.29959741,2.297350628
 01/02  03:00:00,2.288718601,2.432637096,2.306405251,2.279376129,2.277645577
 01/02  04:00:00,2.28400307,2.42607575,2.300474577,2.274457046,2.272640499
 01/02  05:00:00,2.251318041,2.396890534,2.266178107,2.240839576,2.239756226
 01/02  06:00:00,1.941799906,2.099913689,1.955990799,1.931333286,1.930107212
 01/02  07:00:00,1.985803417,2.137097899,1.997913699,1.975112766,1.974241926
