Date/Time,OFFICE_BACK_Zone Inverse Solution,OFFICE_CORE_Zone Inverse Solution,OFFICE_FRONT_Zone Inverse Solution,OFFICE_LEFT_Zone Inverse Solution,OFFICE_RIGHT_Zone Inverse Solution
 01/01  01:00:00,0,0,0,0,0
 01/01  02:00:00,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0
 01/01  07:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  08:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  09:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  10:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  11:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  12:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  13:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  14:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  15:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  16:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  17:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  18:00:00,0.052533828,0.052599728,0.052533828,0.052430724,0.052430724
 01/01  19:00:00,0,0,0,0,0
 01/01  20:00:00,0,0,0,0,0
 01/01  21:00:00,0,0,0,0,0
 01/01  22:00:00,0,0,0,0,0
 01/01  23:00:00,0,0,0,0,0
 01/01  24:00:00,0,0,0,0,0
 01/02  01:00:00,0,0,0,0,0
 01/02  02:00:00,0,0,0,0,0
 01/02  03:00:00,0,0,0,0,0
 01/02  04:00:00,0,0,0,0,0
 01/02  05:00:00,0,0,0,0,0
 01/02  06:00:00,0,0,0,0,0
 01/02  07:00:00,0.085314083,0.085407694,0.085314083,0.08584246,0.08584246
