Date/Time,OFFICE_BACK_Zone Inverse Solution,OFFICE_CORE_Zone Inverse Solution,OFFICE_FRONT_Zone Inverse Solution,OFFICE_LEFT_Zone Inverse Solution,OFFICE_RIGHT_Zone Inverse Solution
 01/01  01:00:00,0,0,0,0,0
 01/01  02:00:00,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0
 01/01  07:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  08:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  09:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  10:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  11:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  12:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  13:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  14:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  15:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  16:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  17:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  18:00:00,0.82,2.95,0.82,0.51,0.51
 01/01  19:00:00,0,0,0,0,0
 01/01  20:00:00,0,0,0,0,0
 01/01  21:00:00,0,0,0,0,0
 01/01  22:00:00,0,0,0,0,0
 01/01  23:00:00,0,0,0,0,0
 01/01  24:00:00,0,0,0,0,0
 01/02  01:00:00,0,0,0,0,0
 01/02  02:00:00,0,0,0,0,0
 01/02  03:00:00,0,0,0,0,0
 01/02  04:00:00,0,0,0,0,0
 01/02  05:00:00,0,0,0,0,0
 01/02  06:00:00,0,0,0,0,0
 01/02  07:00:00,1.331666667,4.79,1.331666667,0.835,0.835
 01/02  08:00:00,3.175,11.4,3.175,1.986666667,1.986666667
 01/02  09:00:00,10.35333333,37.21166667,10.35333333,6.475,6.475
 01/02  10:00:00,13.61166667,48.93,13.61166667,8.518333333,8.516666667
