Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,42929287113.86021,17958971244.383657 
February,39109856204.69843,17195291400.04145 
March,48224132456.622409,6313459503.468804 
April,49687563602.772899,2129272690.648521 
May,53333791521.89569,1571872546.2658466 
June,63084651877.678157,1369805666.3426154 
July,70071914357.46329,1305900372.0654128 
August,66265480888.376789,1291487949.1935268 
September,57995062145.37423,1360179159.5204185 
October,50538683117.5405,2017598071.3794387 
November,44875350305.33795,3232074749.322194 
December,46376638358.856998,18047333134.662775 
