Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,42977614554.56528,30434088963.750577 
February,39435562187.82169,16947602203.889662 
March,45930734831.471218,6290839724.901381 
April,49992745786.15279,2835559919.4689877 
May,53738154897.73441,1542734559.4816733 
June,62571262425.3692,1356997463.6676429 
July,73072724466.17119,1283500753.5355113 
August,66125936709.794307,1291485976.2895256 
September,58860647826.15772,1348974367.224082 
October,51086563232.117099,1740681619.533633 
November,44703531535.83843,7869702103.407864 
December,45085165730.71995,25083452061.58296 
