Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,1.101991E+00,1.289947E+04,2.180121E+00,2.708745E+04,5.007687E+04,1.101991E+00,1.876840E+04,1.141580E+00,6.532499E+03,2.108419E+04,1.101991E+00,1.555710E+04,1.704693E+00,1.811471E+04,4.643471E+04,1.101991E+00,1.577857E+04,1.653432E+00,1.718416E+04,4.434938E+04,8.360220E+00,1.613640E+05,1.101991E+00,0.000000E+00,0.000000E+00,5.877955E+00,1.119758E+05,1.101991E+00,0.000000E+00,0.000000E+00,8.040082E+00,1.550308E+05,1.101991E+00,0.000000E+00,0.000000E+00
00:20:00,1.101991E+00,1.301352E+04,1.730089E+00,2.045982E+04,4.133973E+04,1.101991E+00,1.888246E+04,1.101991E+00,5.725198E+03,1.964592E+04,1.101991E+00,1.567115E+04,1.350094E+00,1.257327E+04,3.728800E+04,1.101991E+00,1.589262E+04,1.309183E+00,1.176868E+04,3.537531E+04,7.253284E+00,1.510298E+05,1.101991E+00,0.000000E+00,0.000000E+00,4.935062E+00,1.022617E+05,1.101991E+00,0.000000E+00,0.000000E+00,6.953122E+00,1.447117E+05,1.101991E+00,0.000000E+00,0.000000E+00
00:30:00,1.101991E+00,1.312758E+04,1.287146E+00,1.408666E+04,3.146729E+04,1.101991E+00,1.899651E+04,1.101991E+00,5.611141E+03,1.928097E+04,1.101991E+00,1.578521E+04,1.117984E+00,9.052491E+03,3.061493E+04,1.101991E+00,1.600668E+04,1.111820E+00,8.743019E+03,2.964749E+04,6.218375E+00,1.398241E+05,1.101991E+00,0.000000E+00,0.000000E+00,4.063016E+00,9.195012E+04,1.101991E+00,0.000000E+00,0.000000E+00,5.938979E+00,1.335707E+05,1.101991E+00,0.000000E+00,0.000000E+00
00:40:00,1.101991E+00,1.324164E+04,1.101991E+00,1.136602E+04,2.700221E+04,1.101991E+00,1.911057E+04,1.101991E+00,5.497085E+03,1.891754E+04,1.101991E+00,1.589927E+04,1.101991E+00,8.708387E+03,2.975715E+04,1.101991E+00,1.612074E+04,1.101991E+00,8.486918E+03,2.896727E+04,5.211125E+00,1.271750E+05,1.101991E+00,0.000000E+00,0.000000E+00,3.221004E+00,8.052573E+04,1.101991E+00,0.000000E+00,0.000000E+00,4.953168E+00,1.210365E+05,1.101991E+00,0.000000E+00,0.000000E+00
00:50:00,1.101991E+00,1.335569E+04,1.101991E+00,1.125196E+04,2.688520E+04,1.101991E+00,1.922463E+04,1.101991E+00,5.383028E+03,1.855561E+04,1.101991E+00,1.601332E+04,1.101991E+00,8.594330E+03,2.934954E+04,1.101991E+00,1.623479E+04,1.101991E+00,8.372861E+03,2.856305E+04,4.223929E+00,1.130173E+05,1.101991E+00,0.000000E+00,0.000000E+00,2.400186E+00,6.791245E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.986122E+00,1.070100E+05,1.101991E+00,0.000000E+00,0.000000E+00
01:00:00,1.101991E+00,1.346975E+04,1.101991E+00,1.113790E+04,2.676819E+04,1.101991E+00,1.933868E+04,1.101991E+00,5.268971E+03,1.819517E+04,1.101991E+00,1.612738E+04,1.101991E+00,8.480273E+03,2.894368E+04,1.101991E+00,1.634885E+04,1.101991E+00,8.258804E+03,2.816055E+04,3.253559E+00,9.734323E+04,1.101991E+00,0.000000E+00,0.000000E+00,1.595155E+00,5.406785E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.035260E+00,9.149271E+04,1.101991E+00,0.000000E+00,0.000000E+00
01:10:00,1.101991E+00,1.354579E+04,1.101991E+00,1.106186E+04,2.669017E+04,1.101991E+00,1.941472E+04,1.101991E+00,5.192934E+03,1.795571E+04,1.101991E+00,1.620342E+04,1.101991E+00,8.404236E+03,2.867407E+04,1.101991E+00,1.642489E+04,1.101991E+00,8.182767E+03,2.789317E+04,3.731838E+00,1.075645E+05,1.101991E+00,0.000000E+00,0.000000E+00,1.974123E+00,6.188939E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.505875E+00,1.014860E+05,1.101991E+00,0.000000E+00,0.000000E+00
01:20:00,1.101991E+00,1.362183E+04,1.101991E+00,1.098583E+04,2.661217E+04,1.101991E+00,1.949076E+04,1.101991E+00,5.116896E+03,1.771691E+04,1.101991E+00,1.627946E+04,1.101991E+00,8.328198E+03,2.840523E+04,1.101991E+00,1.650092E+04,1.101991E+00,8.106729E+03,2.762655E+04,3.895177E+00,1.107656E+05,1.101991E+00,0.000000E+00,0.000000E+00,2.132038E+00,6.498293E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.668028E+00,1.046638E+05,1.101991E+00,0.000000E+00,0.000000E+00
01:30:00,1.101991E+00,1.369786E+04,1.101991E+00,1.090979E+04,2.653416E+04,1.101991E+00,1.956680E+04,1.101991E+00,5.040858E+03,1.747877E+04,1.101991E+00,1.635549E+04,1.101991E+00,8.252160E+03,2.813716E+04,1.101991E+00,1.657696E+04,1.101991E+00,8.030691E+03,2.736070E+04,3.997529E+00,1.127710E+05,1.101991E+00,0.000000E+00,0.000000E+00,2.226636E+00,6.683400E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.768243E+00,1.066274E+05,1.101991E+00,0.000000E+00,0.000000E+00
01:40:00,1.101991E+00,1.377390E+04,1.101991E+00,1.083375E+04,2.645615E+04,1.101991E+00,1.964283E+04,1.101991E+00,4.964821E+03,1.724127E+04,1.101991E+00,1.643153E+04,1.101991E+00,8.176123E+03,2.786984E+04,1.101991E+00,1.665300E+04,1.101991E+00,7.954653E+03,2.709559E+04,4.081742E+00,1.144192E+05,1.101991E+00,0.000000E+00,0.000000E+00,2.297937E+00,6.822892E+04,1.101991E+00,0.000000E+00,0.000000E+00,3.849537E+00,1.082187E+05,1.101991E+00,0.000000E+00,0.000000E+00
