Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.877836E+04,3.744378E+03,1.312423E+00,3.304136E-01,5.826827E+04,1.198490E+04,4.073059E+00,1.057622E+00,1.891255E+04,3.979987E+03,1.321603E+00,3.512065E-01,1.182071E+04,2.733177E+03,8.263693E-01,2.411841E-01,1.182653E+04,2.614630E+03,8.267658E-01,2.307223E-01
00:20:00,1.672334E+04,2.971273E+03,1.135728E+00,2.621926E-01,5.228916E+04,9.506074E+03,3.544644E+00,8.388742E-01,1.685190E+04,3.158671E+03,1.144142E+00,2.787307E-01,1.050933E+04,2.170843E+03,7.142014E-01,1.915620E-01,1.051499E+04,2.075340E+03,7.145691E-01,1.831337E-01
00:30:00,1.490341E+04,2.210451E+03,9.708636E-01,1.950556E-01,4.697913E+04,7.068846E+03,3.049880E+00,6.237976E-01,1.501886E+04,2.350170E+03,9.781335E-01,2.073860E-01,9.347917E+03,1.616410E+03,6.095809E-01,1.426370E-01,9.353353E+03,1.544335E+03,6.099170E-01,1.362762E-01
00:40:00,1.317977E+04,1.461737E+03,8.108387E-01,1.289871E-01,4.190262E+04,4.672517E+03,2.566838E+00,4.123307E-01,1.328233E+04,1.554326E+03,8.169756E-01,1.371583E-01,8.248694E+03,1.069830E+03,5.080870E-01,9.440496E-02,8.253785E+03,1.021512E+03,5.083850E-01,9.014086E-02
00:50:00,1.152931E+04,7.249671E+02,6.544980E-01,6.397275E-02,3.698384E+04,2.316430E+03,2.091737E+00,2.044153E-01,1.161790E+04,7.709833E+02,6.594497E-01,6.803374E-02,7.197048E+03,5.310425E+02,4.089882E-01,4.686075E-02,7.201939E+03,5.067652E+02,4.092555E-01,4.471823E-02
01:00:00,9.939256E+03,0.000000E+00,5.012081E-01,0.000000E+00,3.219523E+04,0.000000E+00,1.623215E+00,0.000000E+00,1.001939E+04,0.000000E+00,5.052518E-01,0.000000E+00,6.183683E+03,0.000000E+00,3.118231E-01,0.000000E+00,6.188397E+03,0.000000E+00,3.120608E-01,0.000000E+00
01:10:00,1.140714E+04,0.000000E+00,5.748852E-01,0.000000E+00,3.693086E+04,0.000000E+00,1.861146E+00,0.000000E+00,1.148878E+04,0.000000E+00,5.790011E-01,0.000000E+00,7.109129E+03,0.000000E+00,3.582803E-01,0.000000E+00,7.113985E+03,0.000000E+00,3.585250E-01,0.000000E+00
01:20:00,1.196816E+04,0.000000E+00,6.030908E-01,0.000000E+00,3.833973E+04,0.000000E+00,1.931910E+00,0.000000E+00,1.204800E+04,0.000000E+00,6.071163E-01,0.000000E+00,7.469663E+03,0.000000E+00,3.764079E-01,0.000000E+00,7.474514E+03,0.000000E+00,3.766522E-01,0.000000E+00
01:30:00,1.233253E+04,0.000000E+00,6.214150E-01,0.000000E+00,3.916965E+04,0.000000E+00,1.973603E+00,0.000000E+00,1.241844E+04,0.000000E+00,6.257476E-01,0.000000E+00,7.705293E+03,0.000000E+00,3.882584E-01,0.000000E+00,7.710199E+03,0.000000E+00,3.885054E-01,0.000000E+00
01:40:00,1.263349E+04,0.000000E+00,6.365674E-01,0.000000E+00,3.984465E+04,0.000000E+00,2.007570E+00,0.000000E+00,1.272554E+04,0.000000E+00,6.412117E-01,0.000000E+00,7.900136E+03,0.000000E+00,3.980682E-01,0.000000E+00,7.905221E+03,0.000000E+00,3.983243E-01,0.000000E+00
01:50:00,1.288968E+04,0.000000E+00,6.494790E-01,0.000000E+00,4.043135E+04,0.000000E+00,2.037131E+00,0.000000E+00,1.298925E+04,0.000000E+00,6.545012E-01,0.000000E+00,8.065884E+03,0.000000E+00,4.064213E-01,0.000000E+00,8.070998E+03,0.000000E+00,4.066790E-01,0.000000E+00
02:00:00,1.311028E+04,0.000000E+00,6.606003E-01,0.000000E+00,4.095004E+04,0.000000E+00,2.063280E+00,0.000000E+00,1.321207E+04,0.000000E+00,6.657349E-01,0.000000E+00,8.209392E+03,0.000000E+00,4.136557E-01,0.000000E+00,8.214508E+03,0.000000E+00,4.139135E-01,0.000000E+00
02:10:00,1.329890E+04,0.000000E+00,6.701100E-01,0.000000E+00,4.140055E+04,0.000000E+00,2.085996E+00,0.000000E+00,1.340261E+04,0.000000E+00,6.753403E-01,0.000000E+00,8.331623E+03,0.000000E+00,4.198177E-01,0.000000E+00,8.336731E+03,0.000000E+00,4.200751E-01,0.000000E+00
02:20:00,1.346174E+04,0.000000E+00,6.783186E-01,0.000000E+00,4.179822E+04,0.000000E+00,2.106045E+00,0.000000E+00,1.356716E+04,0.000000E+00,6.836353E-01,0.000000E+00,8.437193E+03,0.000000E+00,4.251382E-01,0.000000E+00,8.442295E+03,0.000000E+00,4.253952E-01,0.000000E+00
02:30:00,1.360309E+04,0.000000E+00,6.854435E-01,0.000000E+00,4.215288E+04,0.000000E+00,2.123925E+00,0.000000E+00,1.371052E+04,0.000000E+00,6.908611E-01,0.000000E+00,8.529253E+03,0.000000E+00,4.297777E-01,0.000000E+00,8.534351E+03,0.000000E+00,4.300345E-01,0.000000E+00
02:40:00,1.372771E+04,0.000000E+00,6.917218E-01,0.000000E+00,4.247272E+04,0.000000E+00,2.140048E+00,0.000000E+00,1.383646E+04,0.000000E+00,6.972079E-01,0.000000E+00,8.610461E+03,0.000000E+00,4.338703E-01,0.000000E+00,8.615557E+03,0.000000E+00,4.341270E-01,0.000000E+00
02:50:00,1.383851E+04,0.000000E+00,6.973043E-01,0.000000E+00,4.276333E+04,0.000000E+00,2.154696E+00,0.000000E+00,1.394849E+04,0.000000E+00,7.028515E-01,0.000000E+00,8.682792E+03,0.000000E+00,4.375156E-01,0.000000E+00,8.687889E+03,0.000000E+00,4.377724E-01,0.000000E+00
03:00:00,1.393811E+04,0.000000E+00,7.023229E-01,0.000000E+00,4.302981E+04,0.000000E+00,2.168127E+00,0.000000E+00,1.404922E+04,0.000000E+00,7.079266E-01,0.000000E+00,8.748015E+03,0.000000E+00,4.408029E-01,0.000000E+00,8.753122E+03,0.000000E+00,4.410603E-01,0.000000E+00
03:10:00,1.402859E+04,0.000000E+00,7.068818E-01,0.000000E+00,4.327630E+04,0.000000E+00,2.180550E+00,0.000000E+00,1.414071E+04,0.000000E+00,7.125363E-01,0.000000E+00,8.807865E+03,0.000000E+00,4.438199E-01,0.000000E+00,8.812986E+03,0.000000E+00,4.440780E-01,0.000000E+00
03:20:00,1.411170E+04,0.000000E+00,7.110703E-01,0.000000E+00,4.350615E+04,0.000000E+00,2.192133E+00,0.000000E+00,1.422469E+04,0.000000E+00,7.167678E-01,0.000000E+00,8.862834E+03,0.000000E+00,4.465922E-01,0.000000E+00,8.867963E+03,0.000000E+00,4.468507E-01,0.000000E+00
03:30:00,1.418931E+04,0.000000E+00,7.149821E-01,0.000000E+00,4.372196E+04,0.000000E+00,2.203009E+00,0.000000E+00,1.430265E+04,0.000000E+00,7.206963E-01,0.000000E+00,8.913752E+03,0.000000E+00,4.491600E-01,0.000000E+00,8.918889E+03,0.000000E+00,4.494189E-01,0.000000E+00
03:40:00,1.426172E+04,0.000000E+00,7.186339E-01,0.000000E+00,4.392579E+04,0.000000E+00,2.213280E+00,0.000000E+00,1.437590E+04,0.000000E+00,7.243887E-01,0.000000E+00,8.961247E+03,0.000000E+00,4.515549E-01,0.000000E+00,8.966391E+03,0.000000E+00,4.518141E-01,0.000000E+00
03:50:00,1.432993E+04,0.000000E+00,7.220736E-01,0.000000E+00,4.411991E+04,0.000000E+00,2.223061E+00,0.000000E+00,1.444492E+04,0.000000E+00,7.278694E-01,0.000000E+00,9.005932E+03,0.000000E+00,4.538080E-01,0.000000E+00,9.011082E+03,0.000000E+00,4.540675E-01,0.000000E+00
04:00:00,1.439450E+04,0.000000E+00,7.253296E-01,0.000000E+00,4.430540E+04,0.000000E+00,2.232407E+00,0.000000E+00,1.451030E+04,0.000000E+00,7.311661E-01,0.000000E+00,9.048184E+03,0.000000E+00,4.559383E-01,0.000000E+00,9.053338E+03,0.000000E+00,4.561981E-01,0.000000E+00
04:10:00,1.445587E+04,0.000000E+00,7.284240E-01,0.000000E+00,4.448312E+04,0.000000E+00,2.241361E+00,0.000000E+00,1.457247E+04,0.000000E+00,7.343007E-01,0.000000E+00,9.088295E+03,0.000000E+00,4.579606E-01,0.000000E+00,9.093454E+03,0.000000E+00,4.582206E-01,0.000000E+00
04:20:00,1.451443E+04,0.000000E+00,7.313766E-01,0.000000E+00,4.465392E+04,0.000000E+00,2.249966E+00,0.000000E+00,1.463182E+04,0.000000E+00,7.372931E-01,0.000000E+00,9.126531E+03,0.000000E+00,4.598883E-01,0.000000E+00,9.131694E+03,0.000000E+00,4.601485E-01,0.000000E+00
04:30:00,1.457051E+04,0.000000E+00,7.342038E-01,0.000000E+00,4.481845E+04,0.000000E+00,2.258255E+00,0.000000E+00,1.468868E+04,0.000000E+00,7.401595E-01,0.000000E+00,9.163111E+03,0.000000E+00,4.617325E-01,0.000000E+00,9.168278E+03,0.000000E+00,4.619929E-01,0.000000E+00
04:40:00,1.462437E+04,0.000000E+00,7.369191E-01,0.000000E+00,4.497726E+04,0.000000E+00,2.266255E+00,0.000000E+00,1.474330E+04,0.000000E+00,7.429132E-01,0.000000E+00,9.198214E+03,0.000000E+00,4.635022E-01,0.000000E+00,9.203385E+03,0.000000E+00,4.637627E-01,0.000000E+00
04:50:00,1.467623E+04,0.000000E+00,7.395339E-01,0.000000E+00,4.513081E+04,0.000000E+00,2.273989E+00,0.000000E+00,1.479591E+04,0.000000E+00,7.455657E-01,0.000000E+00,9.231994E+03,0.000000E+00,4.652051E-01,0.000000E+00,9.237167E+03,0.000000E+00,4.654658E-01,0.000000E+00
05:00:00,1.472629E+04,0.000000E+00,7.420576E-01,0.000000E+00,4.527945E+04,0.000000E+00,2.281477E+00,0.000000E+00,1.484670E+04,0.000000E+00,7.481263E-01,0.000000E+00,9.264575E+03,0.000000E+00,4.668475E-01,0.000000E+00,9.269751E+03,0.000000E+00,4.671084E-01,0.000000E+00
05:10:00,1.792097E+04,2.051407E+03,9.732374E-01,1.555943E-01,5.544839E+04,7.071843E+03,3.006830E+00,5.309550E-01,1.805309E+04,2.092819E+03,9.803657E-01,1.578918E-01,1.129236E+04,1.396170E+03,6.135275E-01,1.047628E-01,1.129783E+04,1.339469E+03,6.138199E-01,1.007889E-01
05:20:00,2.041279E+04,3.063919E+03,1.198394E+00,2.449348E-01,6.252741E+04,9.962538E+03,3.658060E+00,7.860107E-01,2.054941E+04,3.164134E+03,1.206241E+00,2.524210E-01,1.289129E+04,2.153723E+03,7.573784E-01,1.716082E-01,1.289696E+04,2.057814E+03,7.577025E-01,1.641737E-01
05:30:00,2.249903E+04,3.952429E+03,1.394993E+00,3.233778E-01,6.851451E+04,1.251722E+04,4.232328E+00,1.011537E+00,2.263959E+04,4.100856E+03,1.403522E+00,3.351236E-01,1.422889E+04,2.813789E+03,8.828336E-01,2.298876E-01,1.423474E+04,2.691738E+03,8.831880E-01,2.201441E-01
05:40:00,2.440803E+04,4.784660E+03,1.579251E+00,3.968363E-01,7.409856E+04,1.494071E+04,4.778630E+00,1.225449E+00,2.455325E+04,4.974724E+03,1.588515E+00,4.122586E-01,1.545038E+04,3.427365E+03,1.000203E+00,2.840479E-01,1.545641E+04,3.294441E+03,1.000587E+00,2.733449E-01
05:50:00,2.619234E+04,5.577328E+03,1.754869E+00,4.667919E-01,7.939991E+04,1.727620E+04,5.305457E+00,1.431570E+00,2.634266E+04,5.805456E+03,1.764901E+00,4.855740E-01,1.659005E+04,4.008736E+03,1.111903E+00,3.353561E-01,1.659625E+04,3.879223E+03,1.112317E+00,3.249551E-01
06:00:00,2.788438E+04,6.344079E+03,1.924128E+00,5.344551E-01,8.449063E+04,1.955715E+04,5.817878E+00,1.632865E+00,2.804007E+04,6.607660E+03,1.934949E+00,5.563660E-01,1.766913E+04,4.568214E+03,1.219426E+00,3.847279E-01,1.767550E+04,4.458595E+03,1.219869E+00,3.760838E-01
06:10:00,2.635889E+04,5.043861E+03,1.859767E+00,4.451410E-01,7.939121E+04,1.474378E+04,5.600985E+00,1.301188E+00,2.650913E+04,5.301137E+03,1.870369E+00,4.678523E-01,1.670515E+04,3.718275E+03,1.178653E+00,3.281611E-01,1.671140E+04,3.700810E+03,1.179094E+00,3.266205E-01
06:20:00,2.547849E+04,4.776231E+03,1.797528E+00,4.215161E-01,7.724520E+04,1.411739E+04,5.449102E+00,1.245898E+00,2.563056E+04,5.010421E+03,1.808259E+00,4.421900E-01,1.613214E+04,3.500582E+03,1.138149E+00,3.089443E-01,1.613836E+04,3.573938E+03,1.138588E+00,3.154190E-01
06:30:00,2.495642E+04,4.632944E+03,1.760681E+00,4.088185E-01,7.607702E+04,1.384984E+04,5.366635E+00,1.222150E+00,2.511084E+04,4.855393E+03,1.771577E+00,4.284509E-01,1.578944E+04,3.378636E+03,1.113962E+00,2.981396E-01,1.579564E+04,3.545629E+03,1.114400E+00,3.128792E-01
06:40:00,2.457185E+04,4.552291E+03,1.733534E+00,4.016663E-01,7.521413E+04,1.375206E+04,5.305725E+00,1.213421E+00,2.472795E+04,4.770094E+03,1.744549E+00,4.208861E-01,1.553688E+04,3.305352E+03,1.096135E+00,2.916459E-01,1.554307E+04,3.565790E+03,1.096572E+00,3.146311E-01
06:50:00,2.427811E+04,4.522520E+03,1.712798E+00,3.990105E-01,7.454926E+04,1.379395E+04,5.258790E+00,1.217025E+00,2.443545E+04,4.739528E+03,1.723898E+00,4.181587E-01,1.534403E+04,3.269707E+03,1.082520E+00,2.884799E-01,1.535022E+04,3.623449E+03,1.082957E+00,3.196966E-01
07:00:00,2.404728E+04,4.535727E+03,1.696502E+00,4.001496E-01,7.402026E+04,1.395946E+04,5.221447E+00,1.231539E+00,2.420550E+04,4.754807E+03,1.707665E+00,4.194794E-01,1.519259E+04,3.265168E+03,1.071829E+00,2.880612E-01,1.519877E+04,3.708625E+03,1.072265E+00,3.271913E-01
07:10:00,2.281272E+04,4.618260E+03,1.609398E+00,4.074136E-01,6.981998E+04,1.434527E+04,4.925138E+00,1.265519E+00,2.297155E+04,4.840250E+03,1.620604E+00,4.269993E-01,1.441456E+04,3.306420E+03,1.016935E+00,2.916881E-01,1.442074E+04,3.835532E+03,1.017371E+00,3.383725E-01
07:20:00,2.161130E+04,4.731670E+03,1.524664E+00,4.174065E-01,6.569072E+04,1.481536E+04,4.633961E+00,1.306954E+00,2.177055E+04,4.956101E+03,1.535899E+00,4.372066E-01,1.365839E+04,3.368301E+03,9.636018E-01,2.971380E-01,1.366456E+04,3.976886E+03,9.640376E-01,3.508307E-01
07:30:00,2.043459E+04,4.873773E+03,1.441722E+00,4.299252E-01,6.161437E+04,1.536519E+04,4.346660E+00,1.355404E+00,2.059417E+04,5.100017E+03,1.452982E+00,4.498838E-01,1.291855E+04,3.449105E+03,9.114526E-01,3.042533E-01,1.292472E+04,4.130739E+03,9.118883E-01,3.643862E-01
07:40:00,1.927684E+04,5.042346E+03,1.360146E+00,4.447747E-01,5.757885E+04,1.599487E+04,4.062320E+00,1.410885E+00,1.943654E+04,5.270401E+03,1.371415E+00,4.648915E-01,1.219115E+04,3.547730E+03,8.601987E-01,3.129377E-01,1.219733E+04,4.294434E+03,8.606344E-01,3.788060E-01
07:50:00,1.813382E+04,5.234901E+03,1.279621E+00,4.617427E-01,5.357513E+04,1.670482E+04,3.780263E+00,1.473457E+00,1.829352E+04,5.465587E+03,1.290891E+00,4.820903E-01,1.147345E+04,3.663018E+03,8.096360E-01,3.230945E-01,1.147962E+04,4.466586E+03,8.100716E-01,3.939739E-01
08:00:00,1.700269E+04,5.447675E+03,1.199940E+00,4.804955E-01,4.959749E+04,1.748662E+04,3.500063E+00,1.542370E+00,1.716231E+04,5.682190E+03,1.211206E+00,5.011797E-01,1.076356E+04,3.792781E+03,7.596278E-01,3.345291E-01,1.076973E+04,4.645229E+03,7.600633E-01,4.097159E-01
08:10:00,1.693012E+04,5.646789E+03,1.194940E+00,4.980429E-01,4.940997E+04,1.821885E+04,3.487225E+00,1.606908E+00,1.708958E+04,5.885812E+03,1.206196E+00,5.191238E-01,1.071634E+04,3.915357E+03,7.563713E-01,3.453298E-01,1.072251E+04,4.808871E+03,7.568067E-01,4.241351E-01
