Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,2.273408E+00,2.661160E+04,2.524102E+00,2.764528E+04,6.239785E+04,2.273408E+00,3.871921E+04,2.273408E+00,1.204638E+04,4.128554E+04,2.273408E+00,3.209429E+04,2.273408E+00,1.867130E+04,6.393350E+04,2.273408E+00,3.255118E+04,2.273408E+00,1.821441E+04,6.228283E+04,1.433435E+01,2.929870E+05,2.273408E+00,0.000000E+00,0.000000E+00,9.962338E+00,2.043540E+05,2.273408E+00,0.000000E+00,0.000000E+00,1.373337E+01,2.806788E+05,2.273408E+00,0.000000E+00,0.000000E+00
00:20:00,2.273408E+00,2.684690E+04,2.298164E+00,2.426179E+04,5.682637E+04,2.273408E+00,3.895451E+04,2.273408E+00,1.181108E+04,4.052952E+04,2.273408E+00,3.232959E+04,2.273408E+00,1.843600E+04,6.308168E+04,2.273408E+00,3.278648E+04,2.273408E+00,1.797911E+04,6.143810E+04,1.280217E+01,2.802466E+05,2.273408E+00,0.000000E+00,0.000000E+00,8.689793E+00,1.917989E+05,2.273408E+00,0.000000E+00,0.000000E+00,1.223649E+01,2.679375E+05,2.273408E+00,0.000000E+00,0.000000E+00
00:30:00,2.273408E+00,2.708220E+04,2.273408E+00,2.368339E+04,5.594694E+04,2.273408E+00,3.918981E+04,2.273408E+00,1.157578E+04,3.977664E+04,2.273408E+00,3.256489E+04,2.273408E+00,1.820070E+04,6.223352E+04,2.273408E+00,3.302178E+04,2.273408E+00,1.774381E+04,6.059699E+04,1.133879E+01,2.658274E+05,2.273408E+00,0.000000E+00,0.000000E+00,7.490958E+00,1.781005E+05,2.273408E+00,0.000000E+00,0.000000E+00,1.080937E+01,2.535982E+05,2.273408E+00,0.000000E+00,0.000000E+00
00:40:00,2.273408E+00,2.731750E+04,2.273408E+00,2.344809E+04,5.570556E+04,2.273408E+00,3.942511E+04,2.273408E+00,1.134049E+04,3.902688E+04,2.273408E+00,3.280019E+04,2.273408E+00,1.796540E+04,6.138900E+04,2.273408E+00,3.325708E+04,2.273408E+00,1.750851E+04,5.975949E+04,9.906373E+00,2.492377E+05,2.273408E+00,0.000000E+00,0.000000E+00,6.322662E+00,1.627059E+05,2.273408E+00,0.000000E+00,0.000000E+00,9.412709E+00,2.371467E+05,2.273408E+00,0.000000E+00,0.000000E+00
00:50:00,2.273408E+00,2.755280E+04,2.273408E+00,2.321279E+04,5.546417E+04,2.273408E+00,3.966040E+04,2.273408E+00,1.110519E+04,3.828022E+04,2.273408E+00,3.303549E+04,2.273408E+00,1.773010E+04,6.054811E+04,2.273408E+00,3.349238E+04,2.273408E+00,1.727321E+04,5.892557E+04,8.495055E+00,2.303698E+05,2.273408E+00,0.000000E+00,0.000000E+00,5.175431E+00,1.455224E+05,2.273408E+00,0.000000E+00,0.000000E+00,8.035981E+00,2.184620E+05,2.273408E+00,0.000000E+00,0.000000E+00
01:00:00,2.273408E+00,2.778810E+04,2.273408E+00,2.297749E+04,5.522279E+04,2.273408E+00,3.989570E+04,2.273408E+00,1.086989E+04,3.753664E+04,2.273408E+00,3.327079E+04,2.273408E+00,1.749480E+04,5.971082E+04,2.273408E+00,3.372768E+04,2.273408E+00,1.703791E+04,5.809521E+04,7.102628E+00,2.092361E+05,2.273408E+00,0.000000E+00,0.000000E+00,4.043301E+00,1.264931E+05,2.273408E+00,0.000000E+00,0.000000E+00,6.677577E+00,1.975656E+05,2.273408E+00,0.000000E+00,0.000000E+00
01:10:00,2.273408E+00,2.794496E+04,2.273408E+00,2.282063E+04,5.506182E+04,2.273408E+00,4.005257E+04,2.273408E+00,1.071302E+04,3.704264E+04,2.273408E+00,3.342765E+04,2.273408E+00,1.733794E+04,5.915461E+04,2.273408E+00,3.388454E+04,2.273408E+00,1.688105E+04,5.754361E+04,7.631671E+00,2.206859E+05,2.273408E+00,0.000000E+00,0.000000E+00,4.522876E+00,1.365162E+05,2.273408E+00,0.000000E+00,0.000000E+00,7.199591E+00,2.088081E+05,2.273408E+00,0.000000E+00,0.000000E+00
01:20:00,2.273408E+00,2.810183E+04,2.273408E+00,2.266376E+04,5.490090E+04,2.273408E+00,4.020943E+04,2.273408E+00,1.055616E+04,3.654999E+04,2.273408E+00,3.358452E+04,2.273408E+00,1.718107E+04,5.859999E+04,2.273408E+00,3.404141E+04,2.273408E+00,1.672418E+04,5.699358E+04,7.798910E+00,2.239844E+05,2.273408E+00,0.000000E+00,0.000000E+00,4.682687E+00,1.396501E+05,2.273408E+00,0.000000E+00,0.000000E+00,7.365274E+00,2.120755E+05,2.273408E+00,0.000000E+00,0.000000E+00
01:30:00,2.273408E+00,2.825869E+04,2.273408E+00,2.250690E+04,5.473997E+04,2.273408E+00,4.036630E+04,2.273408E+00,1.039929E+04,3.605869E+04,2.273408E+00,3.374138E+04,2.273408E+00,1.702421E+04,5.804695E+04,2.273408E+00,3.419827E+04,2.273408E+00,1.656732E+04,5.644512E+04,7.908397E+00,2.261378E+05,2.273408E+00,0.000000E+00,0.000000E+00,4.777461E+00,1.415081E+05,2.273408E+00,0.000000E+00,0.000000E+00,7.472092E+00,2.141765E+05,2.273408E+00,0.000000E+00,0.000000E+00
01:40:00,2.273408E+00,2.841556E+04,2.273408E+00,2.235003E+04,5.457905E+04,2.273408E+00,4.052317E+04,2.273408E+00,1.024243E+04,3.556874E+04,2.273408E+00,3.389825E+04,2.273408E+00,1.686734E+04,5.749549E+04,2.273408E+00,3.435514E+04,2.273408E+00,1.641045E+04,5.589821E+04,7.996397E+00,2.278622E+05,2.273408E+00,0.000000E+00,0.000000E+00,4.849280E+00,1.429149E+05,2.273408E+00,0.000000E+00,0.000000E+00,7.557767E+00,2.158557E+05,2.273408E+00,0.000000E+00,0.000000E+00
