Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,34633452.83331995,1849022.8328822917 
 01/01  02:00:00,34633452.83331995,1848985.888238625 
 01/01  03:00:00,34633452.83331995,1848948.2102460478 
 01/01  04:00:00,34633452.83331995,1849090.3475984089 
 01/01  05:00:00,34633452.83331995,1849053.928358038 
 01/01  06:00:00,40349646.50549587,39801431.06860492 
 01/01  07:00:00,40349646.50549587,41031415.85262112 
 01/01  08:00:00,31117890.50549587,36827185.26372975 
 01/01  09:00:00,12654378.505495873,33999030.55547273 
 01/01  10:00:00,12654378.505495873,28307520.79253458 
 01/01  11:00:00,12654378.505495873,20139460.91398886 
 01/01  12:00:00,12654378.505495873,10179770.592924893 
 01/01  13:00:00,12779513.017271078,2322762.3869361339 
 01/01  14:00:00,13857311.110745669,3626129.9580763916 
 01/01  15:00:00,14540240.301101732,1848642.6374521969 
 01/01  16:00:00,14499403.066551257,1849032.1846475448 
 01/01  17:00:00,17885522.650198126,1849031.7795596079 
 01/01  18:00:00,40349646.50549587,6064259.275678111 
 01/01  19:00:00,34633452.83331995,1848918.7686964458 
 01/01  20:00:00,34633452.83331995,1849018.9581870693 
 01/01  21:00:00,34633452.83331995,1848961.884273692 
 01/01  22:00:00,34633452.83331995,3626119.0239341447 
 01/01  23:00:00,34633452.83331995,1849062.9518775407 
 01/01  24:00:00,34633452.83331995,1849012.7398088987 
 01/02  01:00:00,34633452.83331995,1848994.744739106 
 01/02  02:00:00,34633452.83331995,1848969.0012207318 
 01/02  03:00:00,34633452.83331995,1848942.9881282408 
 01/02  04:00:00,34633452.83331995,3626185.7308745628 
 01/02  05:00:00,34633452.83331995,1849048.6153253164 
 01/02  06:00:00,47287831.338775869,107062222.49226399 
 01/02  07:00:00,47287831.338775869,111865846.68388698 
 01/02  08:00:00,65808814.67189588,77529694.04987237 
 01/02  09:00:00,109407692.09525585,131277371.28564653 
 01/02  10:00:00,109407692.09525585,122422874.25833881 
 01/02  11:00:00,109407692.09525585,110813988.39528167 
 01/02  12:00:00,109407692.09525585,107203864.88368704 
 01/02  13:00:00,109407692.09525585,38928205.88448995 
 01/02  14:00:00,109407692.09525585,95141401.8417606 
 01/02  15:00:00,109407692.09525585,91260649.28779048 
 01/02  16:00:00,109407692.09525585,91768502.57980794 
 01/02  17:00:00,114023570.09525585,98884092.21060613 
 01/02  18:00:00,90075812.85941585,32454578.205501569 
 01/02  19:00:00,75040570.67189588,18193462.35620194 
 01/02  20:00:00,75040570.67189588,59502098.9283389 
 01/02  21:00:00,61164201.00533586,74465100.96281494 
 01/02  22:00:00,61164201.00533586,82209178.17283005 
 01/02  23:00:00,47287831.338775869,86522341.18991013 
 01/02  24:00:00,40349646.50549587,91723633.33065781 
 01/03  01:00:00,34633452.83331995,1849094.700977173 
 01/03  02:00:00,34633452.83331995,1849065.616944472 
 01/03  03:00:00,34633452.83331995,3626050.88085369 
 01/03  04:00:00,34633452.83331995,1848990.5149488094 
 01/03  05:00:00,34633452.83331995,1848973.7681315123 
 01/03  06:00:00,40349646.50549587,36198051.6474798 
 01/03  07:00:00,47287831.338775869,40798208.176474157 
 01/03  08:00:00,38056075.338775869,39985527.38953312 
 01/03  09:00:00,47345302.67189588,46114541.50504254 
 01/03  10:00:00,47345302.67189588,39740412.27892265 
 01/03  11:00:00,47345302.67189588,33151062.770505266 
 01/03  12:00:00,47345302.67189588,25827282.9990069 
 01/03  13:00:00,27128775.06322627,1849496.509144233 
 01/03  14:00:00,28038304.962336974,3626661.0875056006 
 01/03  15:00:00,28369922.87428958,1849338.59777322 
 01/03  16:00:00,28123755.76575415,3626499.270146254 
 01/03  17:00:00,26750175.628623249,2094422.4191528722 
 01/03  18:00:00,40349646.50549587,10769277.69744692 
 01/03  19:00:00,40349646.50549587,16619928.760009984 
 01/03  20:00:00,34633452.83331995,1849154.0235724992 
 01/03  21:00:00,34633452.83331995,1848992.7356641696 
 01/03  22:00:00,34633452.83331995,3626342.6722357098 
 01/03  23:00:00,34633452.83331995,1848968.1590650876 
 01/03  24:00:00,34633452.83331995,1848998.275795392 
 01/04  01:00:00,34633452.83331995,1849161.4693980928 
 01/04  02:00:00,34633452.83331995,3626170.247166474 
 01/04  03:00:00,34633452.83331995,1849148.2197638695 
 01/04  04:00:00,34633452.83331995,1848998.545452933 
 01/04  05:00:00,34633452.83331995,1849079.7849043722 
 01/04  06:00:00,40349646.50549587,84344179.68357906 
 01/04  07:00:00,40349646.50549587,81949610.63163908 
 01/04  08:00:00,31117890.50549587,80011169.77034612 
 01/04  09:00:00,12654378.505495873,78934152.97853092 
 01/04  10:00:00,12654378.505495873,64924775.181950177 
 01/04  11:00:00,12654378.505495873,44192343.409877378 
 01/04  12:00:00,12654378.505495873,25254784.94835465 
 01/04  13:00:00,12654378.505495873,10791719.980246783 
 01/04  14:00:00,13649314.35269202,1849103.5379885296 
 01/04  15:00:00,15391663.662549824,1849073.5359749236 
 01/04  16:00:00,15628957.97794894,1849109.4734730817 
 01/04  17:00:00,13885391.005885967,1849110.2939245005 
 01/04  18:00:00,40349646.50549587,11721259.374935246 
 01/04  19:00:00,34633452.83331995,1849003.9710513612 
