Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,34633452.83331995,1849022.0205923175 
 01/01  02:00:00,34633452.83331995,1848985.007222483 
 01/01  03:00:00,34633452.83331995,1848947.3046924254 
 01/01  04:00:00,34633452.83331995,1849089.5577345978 
 01/01  05:00:00,34633452.83331995,1849053.0979893436 
 01/01  06:00:00,39863262.87865018,41090709.44848312 
 01/01  07:00:00,39863262.87865018,43640933.04198032 
 01/01  08:00:00,30631506.87865018,39716538.38032459 
 01/01  09:00:00,12167994.878650181,36900202.30505884 
 01/01  10:00:00,12167994.878650181,31827039.686576278 
 01/01  11:00:00,12167994.878650181,24077909.162490719 
 01/01  12:00:00,12167994.878650181,14440301.957823154 
 01/01  13:00:00,12167994.878650181,5881128.501928115 
 01/01  14:00:00,12268972.2249118,3626128.1170052869 
 01/01  15:00:00,12948534.886411386,1849101.47010072 
 01/01  16:00:00,12875055.161043859,1849031.6288266243 
 01/01  17:00:00,16783872.87865018,3243485.3127706798 
 01/01  18:00:00,39863262.87865018,10168069.018158794 
 01/01  19:00:00,34633452.83331995,1848917.8312793168 
 01/01  20:00:00,34633452.83331995,1849018.1029568453 
 01/01  21:00:00,34633452.83331995,1848960.9636885194 
 01/01  22:00:00,34633452.83331995,3626117.1563045259 
 01/01  23:00:00,34633452.83331995,1849062.1201656855 
 01/01  24:00:00,34633452.83331995,1849011.851396653 
 01/02  01:00:00,34633452.83331995,1848993.8070875954 
 01/02  02:00:00,34633452.83331995,1848969.2056116509 
 01/02  03:00:00,34633452.83331995,1849166.6627918119 
 01/02  04:00:00,34633452.83331995,3626244.3349808866 
 01/02  05:00:00,34633452.83331995,1849047.8083811168 
 01/02  06:00:00,46801447.71193018,103421210.07112958 
 01/02  07:00:00,46801447.71193018,103540127.59722346 
 01/02  08:00:00,65322431.04505018,73287092.06456144 
 01/02  09:00:00,108921308.46841015,141447912.18415518 
 01/02  10:00:00,108921308.46841015,133002226.75458075 
 01/02  11:00:00,108921308.46841015,124123936.43587005 
 01/02  12:00:00,108921308.46841015,120302554.62128692 
 01/02  13:00:00,108921308.46841015,55955198.261212419 
 01/02  14:00:00,108921308.46841015,108426801.36275871 
 01/02  15:00:00,108921308.46841015,104354338.69778717 
 01/02  16:00:00,108921308.46841015,111071492.78258634 
 01/02  17:00:00,113537186.46841015,118369800.0913311 
 01/02  18:00:00,89589429.23257016,42844884.74152881 
 01/02  19:00:00,74554187.04505019,27964595.73267287 
 01/02  20:00:00,74554187.04505019,66979066.732250709 
 01/02  21:00:00,60677817.37849018,74758851.85782597 
 01/02  22:00:00,60677817.37849018,81872188.38162261 
 01/02  23:00:00,46801447.71193018,68683287.0522615 
 01/02  24:00:00,39863262.87865018,78347920.33013675 
 01/03  01:00:00,34633452.83331995,1849092.710350015 
 01/03  02:00:00,34633452.83331995,1849064.5795658814 
 01/03  03:00:00,34633452.83331995,3626048.7200008446 
 01/03  04:00:00,34633452.83331995,1848989.3948769696 
 01/03  05:00:00,34633452.83331995,1848972.6359869827 
 01/03  06:00:00,39863262.87865018,36381311.19363139 
 01/03  07:00:00,46801447.71193018,43022276.910920489 
 01/03  08:00:00,37569691.71193018,42435713.34545436 
 01/03  09:00:00,46858919.04505018,54092899.17831661 
 01/03  10:00:00,46858919.04505018,47787128.56636977 
 01/03  11:00:00,46858919.04505018,40807051.44118045 
 01/03  12:00:00,46858919.04505018,38687451.47926387 
 01/03  13:00:00,26044364.545210184,7062136.328538779 
 01/03  14:00:00,26044364.545210184,3626658.2042929877 
 01/03  15:00:00,26139885.305712224,1849337.2616081206 
 01/03  16:00:00,26044364.545210184,3848116.5822940657 
 01/03  17:00:00,26044364.545210184,7249170.238613844 
 01/03  18:00:00,39863262.87865018,14835071.410485808 
 01/03  19:00:00,39863262.87865018,20059401.801251584 
 01/03  20:00:00,34633452.83331995,1849152.829529364 
 01/03  21:00:00,34633452.83331995,1848991.4101221164 
 01/03  22:00:00,34633452.83331995,3626340.095820277 
 01/03  23:00:00,34633452.83331995,1848966.8657418304 
 01/03  24:00:00,34633452.83331995,1848996.9803111933 
 01/04  01:00:00,34633452.83331995,1849160.7275838019 
 01/04  02:00:00,34633452.83331995,3626167.7798997049 
 01/04  03:00:00,34633452.83331995,1849147.0235224583 
 01/04  04:00:00,34633452.83331995,1848997.2220172389 
 01/04  05:00:00,34633452.83331995,1849078.4967677142 
 01/04  06:00:00,39863262.87865018,81210663.01151598 
 01/04  07:00:00,39863262.87865018,81753215.32779272 
 01/04  08:00:00,30631506.87865018,80651553.59143214 
 01/04  09:00:00,12167994.878650181,80582732.1112104 
 01/04  10:00:00,12167994.878650181,67798606.8059083 
 01/04  11:00:00,12167994.878650181,47931086.56367189 
 01/04  12:00:00,12167994.878650181,29333811.336169177 
 01/04  13:00:00,12167994.878650181,15794803.009099348 
 01/04  14:00:00,12403799.559916273,3142343.442403894 
 01/04  15:00:00,13702108.417578428,1849072.3234594186 
 01/04  16:00:00,13923671.938051014,1849109.084882386 
 01/04  17:00:00,12551039.881464387,2634577.4095214747 
 01/04  18:00:00,39863262.87865018,15741858.385709262 
 01/04  19:00:00,34633452.83331995,1849002.7368520909 
 01/04  20:00:00,34633452.83331995,1849133.496447093 
 01/04  21:00:00,34633452.83331995,1849019.310571433 
 01/04  22:00:00,34633452.83331995,1849094.944536124 
 01/04  23:00:00,34633452.83331995,3626194.9161333099 
 01/04  24:00:00,34633452.83331995,1849120.129301348 
 01/05  01:00:00,34633452.83331995,1849126.5557778315 
 01/05  02:00:00,34633452.83331995,1849012.9424051177 
 01/05  03:00:00,34633452.83331995,3626231.863632404 
 01/05  04:00:00,34633452.83331995,1849193.7288051099 
 01/05  05:00:00,34633452.83331995,1849157.2877147548 
 01/05  06:00:00,46801447.71193018,207558682.04913456 
 01/05  07:00:00,46801447.71193018,209552159.47996474 
 01/05  08:00:00,65322431.04505018,165729112.3115248 
 01/05  09:00:00,108921308.46841015,262073501.14340125 
 01/05  10:00:00,108921308.46841015,241207815.1257649 
