Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,2.305886E+00,2.699177E+04,2.563487E+00,2.807807E+04,6.238561E+04,2.305886E+00,3.927234E+04,2.305886E+00,1.221847E+04,4.187534E+04,2.305886E+00,3.255278E+04,2.371200E+00,1.987430E+04,6.636268E+04,2.305886E+00,3.301620E+04,2.355286E+00,1.918575E+04,6.431979E+04,1.081683E+01,2.425943E+05,2.305886E+00,0.000000E+00,0.000000E+00,7.489626E+00,1.698204E+05,2.305886E+00,0.000000E+00,0.000000E+00,1.037132E+01,2.325597E+05,2.305886E+00,0.000000E+00,0.000000E+00
00:20:00,2.305886E+00,2.723043E+04,2.333291E+00,2.464018E+04,5.760724E+04,2.305886E+00,3.951100E+04,2.305886E+00,1.197981E+04,4.110852E+04,2.305886E+00,3.279144E+04,2.305886E+00,1.869937E+04,6.398285E+04,2.305886E+00,3.325486E+04,2.305886E+00,1.823595E+04,6.231579E+04,1.040313E+01,2.440364E+05,2.305886E+00,0.000000E+00,0.000000E+00,6.979144E+00,1.666805E+05,2.305886E+00,0.000000E+00,0.000000E+00,9.938406E+00,2.332874E+05,2.305886E+00,0.000000E+00,0.000000E+00
00:30:00,2.305886E+00,2.746909E+04,2.305886E+00,2.402172E+04,5.674619E+04,2.305886E+00,3.974966E+04,2.305886E+00,1.174115E+04,4.034487E+04,2.305886E+00,3.303010E+04,2.305886E+00,1.846071E+04,6.312258E+04,2.305886E+00,3.349352E+04,2.305886E+00,1.799729E+04,6.146266E+04,1.005768E+01,2.458687E+05,2.305886E+00,0.000000E+00,0.000000E+00,6.542134E+00,1.638163E+05,2.305886E+00,0.000000E+00,0.000000E+00,9.574735E+00,2.343854E+05,2.305886E+00,0.000000E+00,0.000000E+00
00:40:00,2.305886E+00,2.770775E+04,2.305886E+00,2.378306E+04,5.650135E+04,2.305886E+00,3.998832E+04,2.305886E+00,1.150249E+04,3.958440E+04,2.305886E+00,3.326876E+04,2.305886E+00,1.822205E+04,6.226599E+04,2.305886E+00,3.373218E+04,2.305886E+00,1.775863E+04,6.061320E+04,9.742863E+00,2.476081E+05,2.305886E+00,0.000000E+00,0.000000E+00,6.135587E+00,1.606742E+05,2.305886E+00,0.000000E+00,0.000000E+00,9.241159E+00,2.353465E+05,2.305886E+00,0.000000E+00,0.000000E+00
00:50:00,2.305886E+00,2.794641E+04,2.305886E+00,2.354440E+04,5.625652E+04,2.305886E+00,4.022698E+04,2.305886E+00,1.126383E+04,3.882708E+04,2.305886E+00,3.350742E+04,2.305886E+00,1.798339E+04,6.141308E+04,2.305886E+00,3.397084E+04,2.305886E+00,1.751997E+04,5.976737E+04,9.449016E+00,2.491507E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.750155E+00,1.571635E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.927427E+00,2.360545E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:00:00,2.305886E+00,2.818507E+04,2.305886E+00,2.330574E+04,5.601168E+04,2.305886E+00,4.046564E+04,2.305886E+00,1.102517E+04,3.807288E+04,2.305886E+00,3.374608E+04,2.305886E+00,1.774473E+04,6.056383E+04,2.305886E+00,3.420950E+04,2.305886E+00,1.728131E+04,5.892514E+04,9.174165E+00,2.505129E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.379897E+00,1.532271E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.632109E+00,2.365341E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:10:00,2.305886E+00,2.834418E+04,2.305886E+00,2.314664E+04,5.584842E+04,2.305886E+00,4.062475E+04,2.305886E+00,1.086607E+04,3.757182E+04,2.305886E+00,3.390519E+04,2.305886E+00,1.758562E+04,5.999967E+04,2.305886E+00,3.436861E+04,2.305886E+00,1.712221E+04,5.836566E+04,9.429514E+00,2.569428E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.689963E+00,1.600460E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.900885E+00,2.431262E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:20:00,2.305886E+00,2.850328E+04,2.305886E+00,2.298753E+04,5.568520E+04,2.305886E+00,4.078385E+04,2.305886E+00,1.070696E+04,3.707213E+04,2.305886E+00,3.406430E+04,2.305886E+00,1.742652E+04,5.943713E+04,2.305886E+00,3.452771E+04,2.305886E+00,1.696310E+04,5.780778E+04,9.314224E+00,2.547196E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.666612E+00,1.596010E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.799231E+00,2.411687E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:30:00,2.305886E+00,2.866239E+04,2.305886E+00,2.282842E+04,5.552197E+04,2.305886E+00,4.094296E+04,2.305886E+00,1.054785E+04,3.657382E+04,2.305886E+00,3.422340E+04,2.305886E+00,1.726741E+04,5.887620E+04,2.305886E+00,3.468682E+04,2.305886E+00,1.680399E+04,5.725147E+04,9.141590E+00,2.513479E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.578333E+00,1.578776E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.639064E+00,2.380406E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:40:00,2.305886E+00,2.882150E+04,2.305886E+00,2.266932E+04,5.535875E+04,2.305886E+00,4.110207E+04,2.305886E+00,1.038875E+04,3.607687E+04,2.305886E+00,3.438251E+04,2.305886E+00,1.710830E+04,5.831686E+04,2.305886E+00,3.484593E+04,2.305886E+00,1.664489E+04,5.669675E+04,8.947703E+00,2.475463E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.467145E+00,1.557020E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.458025E+00,2.344909E+05,2.305886E+00,0.000000E+00,0.000000E+00
01:50:00,2.305886E+00,2.898060E+04,2.305886E+00,2.251021E+04,5.519552E+04,2.305886E+00,4.126118E+04,2.305886E+00,1.022964E+04,3.558129E+04,2.305886E+00,3.454162E+04,2.305886E+00,1.694920E+04,5.775911E+04,2.305886E+00,3.500503E+04,2.305886E+00,1.648578E+04,5.614360E+04,8.741103E+00,2.434918E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.341328E+00,1.532389E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.265242E+00,2.307075E+05,2.305886E+00,0.000000E+00,0.000000E+00
02:00:00,2.305886E+00,2.913971E+04,2.305886E+00,2.235110E+04,5.503230E+04,2.305886E+00,4.142028E+04,2.305886E+00,1.007053E+04,3.508707E+04,2.305886E+00,3.470072E+04,2.305886E+00,1.679009E+04,5.720294E+04,2.305886E+00,3.516414E+04,2.305886E+00,1.632667E+04,5.559202E+04,8.522829E+00,2.392080E+05,2.305886E+00,0.000000E+00,0.000000E+00,5.205922E+00,1.505878E+05,2.305886E+00,0.000000E+00,0.000000E+00,8.061279E+00,2.267039E+05,2.305886E+00,0.000000E+00,0.000000E+00
