Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.553439E+04,4.291390E+03,1.723344E+00,3.787098E-01,7.601773E+04,1.318021E+04,5.178877E+00,1.163215E+00,2.572290E+04,4.635599E+03,1.736353E+00,4.090865E-01,1.612231E+04,3.377833E+03,1.088658E+00,2.980874E-01,1.613603E+04,3.026947E+03,1.089595E+00,2.671224E-01
00:20:00,2.641815E+04,3.409645E+03,1.681271E+00,3.008849E-01,7.596764E+04,1.047501E+04,4.908000E+00,9.244335E-01,2.658872E+04,3.682748E+03,1.692695E+00,3.249845E-01,1.664380E+04,2.683682E+03,1.060148E+00,2.368186E-01,1.665715E+04,2.404711E+03,1.061020E+00,2.122019E-01
00:30:00,2.752388E+04,2.539829E+03,1.650048E+00,2.241208E-01,7.658618E+04,7.805093E+03,4.670053E+00,6.887882E-01,2.767468E+04,2.742978E+03,1.659791E+00,2.420463E-01,1.730538E+04,1.998950E+03,1.038489E+00,1.763888E-01,1.731849E+04,1.791042E+03,1.039301E+00,1.580439E-01
00:40:00,2.874879E+04,1.681723E+03,1.624626E+00,1.483961E-01,7.743687E+04,5.169672E+03,4.443400E+00,4.562057E-01,2.887982E+04,1.816047E+03,1.632707E+00,1.602483E-01,1.804608E+04,1.323494E+03,1.020691E+00,1.167833E-01,1.805883E+04,1.185780E+03,1.021438E+00,1.046323E-01
00:50:00,3.005323E+04,8.351603E+02,1.603166E+00,7.369386E-02,7.844654E+04,2.568149E+03,4.224595E+00,2.266266E-01,3.016741E+04,9.017736E+02,1.609727E+00,7.957142E-02,1.883749E+04,6.572078E+02,1.005421E+00,5.799025E-02,1.884998E+04,5.888006E+02,1.006108E+00,5.195455E-02
01:00:00,3.142874E+04,0.000000E+00,1.585280E+00,0.000000E+00,7.959758E+04,0.000000E+00,4.012892E+00,0.000000E+00,3.152690E+04,0.000000E+00,1.590365E+00,0.000000E+00,1.967568E+04,0.000000E+00,9.925009E-01,0.000000E+00,1.968790E+04,0.000000E+00,9.931269E-01,0.000000E+00
01:10:00,3.212506E+04,0.000000E+00,1.616722E+00,0.000000E+00,8.273545E+04,0.000000E+00,4.165064E+00,0.000000E+00,3.222327E+04,0.000000E+00,1.621714E+00,0.000000E+00,2.012251E+04,0.000000E+00,1.012700E+00,0.000000E+00,2.013470E+04,0.000000E+00,1.013314E+00,0.000000E+00
01:20:00,3.167824E+04,0.000000E+00,1.593839E+00,0.000000E+00,8.191580E+04,0.000000E+00,4.122839E+00,0.000000E+00,3.178080E+04,0.000000E+00,1.599057E+00,0.000000E+00,1.985394E+04,0.000000E+00,9.989366E-01,0.000000E+00,1.986615E+04,0.000000E+00,9.995522E-01,0.000000E+00
01:30:00,3.104683E+04,0.000000E+00,1.561957E+00,0.000000E+00,8.051962E+04,0.000000E+00,4.052266E+00,0.000000E+00,3.115704E+04,0.000000E+00,1.567570E+00,0.000000E+00,1.947097E+04,2.368545E+01,9.795933E-01,1.398208E-03,1.948308E+04,0.000000E+00,9.802037E-01,0.000000E+00
01:40:00,3.032893E+04,0.000000E+00,1.525903E+00,0.000000E+00,7.897082E+04,0.000000E+00,3.974391E+00,0.000000E+00,3.044596E+04,0.000000E+00,1.531854E+00,0.000000E+00,1.903046E+04,2.368545E+01,9.574711E-01,1.398208E-03,1.904259E+04,0.000000E+00,9.580825E-01,0.000000E+00
01:50:00,2.955945E+04,0.000000E+00,1.487303E+00,0.000000E+00,7.733310E+04,0.000000E+00,3.892217E+00,0.000000E+00,2.968077E+04,0.000000E+00,1.493460E+00,0.000000E+00,1.855773E+04,6.528102E+01,9.337582E-01,3.848124E-03,1.856975E+04,0.000000E+00,9.343640E-01,0.000000E+00
02:00:00,2.874329E+04,0.000000E+00,1.446370E+00,0.000000E+00,7.561671E+04,5.872791E+01,3.806133E+00,3.456030E-03,2.886823E+04,3.340499E+00,1.452698E+00,1.965404E-04,1.805427E+04,6.528102E+01,9.085123E-01,3.848124E-03,1.806625E+04,1.713051E+01,9.091155E-01,1.007798E-03
02:10:00,2.894668E+04,0.000000E+00,1.456721E+00,0.000000E+00,7.540887E+04,5.872791E+01,3.795931E+00,3.456030E-03,2.907387E+04,3.340499E+00,1.463155E+00,1.965404E-04,1.818792E+04,6.528102E+01,9.153133E-01,3.848124E-03,1.820007E+04,1.713051E+01,9.159255E-01,1.007798E-03
02:20:00,2.912320E+04,0.000000E+00,1.465660E+00,0.000000E+00,7.514668E+04,5.872791E+01,3.782883E+00,3.456030E-03,2.925179E+04,3.340499E+00,1.472159E+00,1.965404E-04,1.830480E+04,6.528102E+01,9.212339E-01,3.848124E-03,1.831711E+04,1.713051E+01,9.218538E-01,1.007798E-03
02:30:00,2.927990E+04,0.000000E+00,1.473574E+00,0.000000E+00,7.484066E+04,5.872791E+01,3.767582E+00,3.456030E-03,2.940862E+04,3.340499E+00,1.480073E+00,1.965404E-04,1.840751E+04,4.159557E+01,9.264269E-01,2.449915E-03,1.841997E+04,1.713051E+01,9.270542E-01,1.007798E-03
02:40:00,2.941979E+04,0.000000E+00,1.480636E+00,0.000000E+00,7.449917E+04,5.872791E+01,3.750476E+00,3.456030E-03,2.954964E+04,3.340499E+00,1.487183E+00,1.965404E-04,1.849905E+04,4.159557E+01,9.310488E-01,2.449915E-03,1.851165E+04,1.713051E+01,9.316831E-01,1.007798E-03
02:50:00,2.954613E+04,0.000000E+00,1.487012E+00,0.000000E+00,7.412801E+04,5.872791E+01,3.731867E+00,3.456030E-03,2.967690E+04,3.340499E+00,1.493603E+00,1.965404E-04,1.858151E+04,0.000000E+00,9.352093E-01,0.000000E+00,1.859429E+04,1.713051E+01,9.358529E-01,1.007798E-03
03:00:00,2.966149E+04,0.000000E+00,1.492831E+00,0.000000E+00,7.373239E+04,0.000000E+00,3.712020E+00,0.000000E+00,2.979319E+04,0.000000E+00,1.499468E+00,0.000000E+00,1.865669E+04,0.000000E+00,9.390006E-01,0.000000E+00,1.866961E+04,0.000000E+00,9.396513E-01,0.000000E+00
03:10:00,3.010053E+04,0.000000E+00,1.514937E+00,0.000000E+00,7.578913E+04,0.000000E+00,3.815634E+00,0.000000E+00,3.023358E+04,0.000000E+00,1.521643E+00,0.000000E+00,1.893421E+04,0.000000E+00,9.529747E-01,0.000000E+00,1.894703E+04,0.000000E+00,9.536202E-01,0.000000E+00
