Date/Time,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,1.7202358995386236,1.7231180329160594,1.7206460840084586,1.7202139325782,1.7202038576900272,34633452.83331995,1849022.0205923175 
 01/01  02:00:00,2.7423520953847005e-15,0.0,0.0,2.181271607028368e-15,3.832796932429795e-15,34633452.83331995,1848985.007222483 
 01/01  03:00:00,1.9913376778933847e-15,0.0,6.632548691717393e-16,3.711255428456006e-15,3.1795881396254648e-15,34633452.83331995,1848947.3046924254 
 01/01  04:00:00,6.648532544037366e-16,0.0,0.0,2.1256568987021536e-15,4.240904939207958e-15,34633452.83331995,1849089.5577345978 
 01/01  05:00:00,6.656341060947368e-16,0.0,0.0,2.6560130010616067e-15,4.249643776842149e-15,34633452.83331995,1849053.0979893436 
 01/01  06:00:00,0.0,0.03417549467344677,0.0,0.0,0.0,39863262.87865018,41090709.44848312 
 01/01  07:00:00,0.040506985503127857,0.09554428824313559,0.04050779981348235,0.04050017518583601,0.040501378497427038,39863262.87865018,43640933.04198032 
 01/01  08:00:00,0.046763368642398137,0.08556187223770527,0.04676390070475792,0.04675739429479519,0.04675839250275126,30631506.87865018,39716538.38032459 
 01/01  09:00:00,0.05182896380566002,0.0786509846324499,0.05183105458914002,0.051821611419505007,0.05182626452901523,12167994.878650181,36900202.30505884 
 01/01  10:00:00,0.06245452872752268,0.09681440336355375,0.06246103908694087,0.0624449620122109,0.06245069545098774,12167994.878650181,31827039.686576278 
 01/01  11:00:00,0.06497058799600468,0.09207988140027723,0.06498048453655762,0.06496152442358642,0.06496754374138342,12167994.878650181,24077909.162490719 
 01/01  12:00:00,0.06656893331084452,0.0775097629386444,0.06658848372406688,0.06655982415171634,0.06656408584649705,12167994.878650181,14440301.957823154 
 01/01  13:00:00,0.05963121798148357,0.0707222884920841,0.05964342664178423,0.05962286721171095,0.059624701466177678,12167994.878650181,5881128.501928115 
 01/01  14:00:00,0.055974674727824729,0.0623183923474604,0.05598635478282637,0.055968788636948849,0.05596986734839842,12268972.2249118,3626128.1170052869 
 01/01  15:00:00,0.05430142885649875,0.07260416579615954,0.05431433657664536,0.054299364001975439,0.05429606108585692,12948534.886411386,1849101.47010072 
 01/01  16:00:00,0.05677057195521674,0.08294881353752733,0.056783476995459238,0.056771796595355,0.0567677143464694,12875055.161043859,1849031.6288266243 
 01/01  17:00:00,0.06538603474384565,0.08826412049866812,0.06539281831652132,0.06538627192721108,0.06538277319486259,16783872.87865018,3243485.3127706798 
 01/01  18:00:00,0.06794477054275554,0.08467332501669572,0.06794779465467915,0.06794213387652364,0.06794433413722138,39863262.87865018,10168069.018158794 
 01/01  19:00:00,0.00046168353074365286,0.000009974491004445579,0.00046164228749616507,0.00046169256834279523,0.00046186521615780964,34633452.83331995,1848917.8312793168 
 01/01  20:00:00,7.311758222746542e-16,0.0,2.153888804089566e-15,2.29846239030292e-15,1.154428311848304e-15,34633452.83331995,1849018.1029568453 
 01/01  21:00:00,0.0,0.0,1.561836166674436e-15,1.8837447142470195e-15,1.904546181166061e-15,34633452.83331995,1848960.9636885194 
 01/01  22:00:00,0.0,0.0,3.2049936382013497e-15,1.3001462126945715e-15,2.5690696321876544e-15,34633452.83331995,3626117.1563045259 
 01/01  23:00:00,1.7383005016500083e-15,0.0004598614110608601,1.6139828573372978e-15,1.3218571899883798e-15,2.7477794457214635e-15,34633452.83331995,1849062.1201656855 
 01/01  24:00:00,9.338847125087653e-16,0.0,2.843233631239022e-15,1.4782888269149763e-15,2.23823675211484e-15,34633452.83331995,1849011.851396653 
 01/02  01:00:00,3.6468131774763177,3.540372014816356,3.6473146292415565,3.647006289811218,3.6470120901776759,34633452.83331995,1848993.8070875954 
 01/02  02:00:00,2.621722501033411,2.109232745550668,2.6220994477169694,2.621863238768266,2.6218462739688359,34633452.83331995,1848969.2056116509 
 01/02  03:00:00,4.530003783179989,6.165518573378041,4.529840220935839,4.53015985807496,4.530148152779515,34633452.83331995,1849166.6627918119 
 01/02  04:00:00,3.2711231280345816,2.78132987773745,3.271063106971542,3.2714203030920658,3.2714132899983978,34633452.83331995,3626244.3349808866 
 01/02  05:00:00,3.2411988963334248,2.4780277713376934,3.2415655434208316,3.241304118689015,3.241299436586696,34633452.83331995,1849047.8083811168 
 01/02  06:00:00,3.4756857897341115,1.7212220517018875,3.4756518591150256,3.4755224114437497,3.4755363768993385,46801447.71193018,103421210.07112958 
 01/02  07:00:00,2.4635209472198777,2.0501682726376808,2.4635032692304796,2.463277541946493,2.463269618825612,46801447.71193018,103540127.59722346 
 01/02  08:00:00,0.6045518145133114,0.459159321214925,0.6045922339864082,0.6043847550361582,0.6043673935275679,65322431.04505018,73287092.06456144 
 01/02  09:00:00,1.6633630789233379,1.210833653893402,1.663586830058185,1.6630498393291875,1.6631455562617566,108921308.46841015,141447912.18415518 
 01/02  10:00:00,1.1650041228640729,0.9873920906170771,1.1653100998095394,1.1647589523981444,1.1649418525694289,108921308.46841015,133002226.75458075 
 01/02  11:00:00,1.357453042401083,1.1865424348345502,1.3578637417240247,1.3572371049811106,1.3574359389016436,108921308.46841015,124123936.43587005 
 01/02  12:00:00,1.169426408991681,1.0352544744515478,1.1697905145759942,1.1692351710426972,1.1693634073987805,108921308.46841015,120302554.62128692 
 01/02  13:00:00,1.3835680644215627,1.125023582661474,1.3841061931863717,1.3834337491864153,1.3835178983304209,108921308.46841015,55955198.261212419 
 01/02  14:00:00,1.152689556200614,0.99122362064678,1.1531292390395525,1.1525334829486614,1.1526069283711609,108921308.46841015,108426801.36275871 
 01/02  15:00:00,1.0818488920186885,1.0163779387163444,1.0822816566834626,1.0817691756629342,1.0817870483557129,108921308.46841015,104354338.69778717 
 01/02  16:00:00,1.6846151747740635,1.4681686289768266,1.685110003292033,1.6846469246572216,1.6845891435015144,108921308.46841015,111071492.78258634 
 01/02  17:00:00,1.5731586177136048,1.3209698009027518,1.5735273731793147,1.5731672793830552,1.5731370765781339,113537186.46841015,118369800.0913311 
 01/02  18:00:00,0.737740741104817,0.7541669499272979,0.7378143722188297,0.7377182108808319,0.7377401335389431,89589429.23257016,42844884.74152881 
 01/02  19:00:00,0.9375760684209005,0.8937830955370835,0.9375972360098132,0.9375525621652052,0.9375631532984071,74554187.04505019,27964595.73267287 
 01/02  20:00:00,3.1342457490012607,2.9598047766777308,3.134385414224703,3.134206901315647,3.134261493798757,74554187.04505019,66979066.732250709 
 01/02  21:00:00,2.7238497748528975,2.312994363319268,2.723949822041636,2.723749176051799,2.723767572666542,60677817.37849018,74758851.85782597 
 01/02  22:00:00,2.7912096535327266,2.57027132585983,2.7912834605231757,2.7910707163160959,2.791109820555075,60677817.37849018,81872188.38162261 
 01/02  23:00:00,1.3958545113370427,1.6380919188658328,1.3961042764597407,1.395816799913357,1.395681159750773,46801447.71193018,68683287.0522615 
 01/02  24:00:00,2.2604681255726004,1.9492590300511994,2.2608138480352539,2.2603081131838649,2.2604244855643897,39863262.87865018,78347920.33013675 
