Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,1.515606E+00,1.774107E+04,1.927011E+00,2.211642E+04,4.750165E+04,1.515606E+00,2.581281E+04,1.515606E+00,8.030921E+03,2.752370E+04,1.515606E+00,2.139620E+04,1.534399E+00,1.277815E+04,4.325526E+04,1.515606E+00,2.170079E+04,1.525772E+00,1.232807E+04,4.186925E+04,1.431407E+01,2.652114E+05,1.515606E+00,0.000000E+00,0.000000E+00,9.942169E+00,1.842410E+05,1.515606E+00,0.000000E+00,0.000000E+00,1.371307E+01,2.540418E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:20:00,1.515606E+00,1.789793E+04,1.639754E+00,1.772599E+04,4.059040E+04,1.515606E+00,2.596967E+04,1.515606E+00,7.874056E+03,2.701968E+04,1.515606E+00,2.155306E+04,1.515606E+00,1.229067E+04,4.205445E+04,1.515606E+00,2.185765E+04,1.515606E+00,1.198607E+04,4.095873E+04,1.278498E+01,2.532038E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.672583E+00,1.724165E+05,1.515606E+00,0.000000E+00,0.000000E+00,1.221927E+01,2.420329E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:30:00,1.515606E+00,1.805480E+04,1.519267E+00,1.584068E+04,3.739309E+04,1.515606E+00,2.612654E+04,1.515606E+00,7.717190E+03,2.651776E+04,1.515606E+00,2.170993E+04,1.515606E+00,1.213380E+04,4.148902E+04,1.515606E+00,2.201452E+04,1.515606E+00,1.182921E+04,4.039799E+04,1.132486E+01,2.395277E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.476803E+00,1.594570E+05,1.515606E+00,0.000000E+00,0.000000E+00,1.079541E+01,2.284366E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:40:00,1.515606E+00,1.821167E+04,1.515606E+00,1.563206E+04,3.713704E+04,1.515606E+00,2.628340E+04,1.515606E+00,7.560324E+03,2.601792E+04,1.515606E+00,2.186679E+04,1.515606E+00,1.197693E+04,4.092600E+04,1.515606E+00,2.217139E+04,1.515606E+00,1.167234E+04,3.983966E+04,9.895725E+00,2.236889E+05,1.515606E+00,0.000000E+00,0.000000E+00,6.311586E+00,1.448080E+05,1.515606E+00,0.000000E+00,0.000000E+00,9.401968E+00,2.127348E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:50:00,1.515606E+00,1.836853E+04,1.515606E+00,1.547520E+04,3.697611E+04,1.515606E+00,2.644027E+04,1.515606E+00,7.403458E+03,2.552015E+04,1.515606E+00,2.202366E+04,1.515606E+00,1.182007E+04,4.036541E+04,1.515606E+00,2.232825E+04,1.515606E+00,1.151548E+04,3.928371E+04,8.487513E+00,2.055748E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.167464E+00,1.283766E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.028348E+00,1.948039E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:00:00,1.515606E+00,1.852540E+04,1.515606E+00,1.531833E+04,3.681519E+04,1.515606E+00,2.659714E+04,1.515606E+00,7.246592E+03,2.502443E+04,1.515606E+00,2.218052E+04,1.515606E+00,1.166320E+04,3.980721E+04,1.515606E+00,2.248512E+04,1.515606E+00,1.135861E+04,3.873014E+04,7.098144E+00,1.852001E+05,1.515606E+00,0.000000E+00,0.000000E+00,4.038487E+00,1.101061E+05,1.515606E+00,0.000000E+00,0.000000E+00,6.673009E+00,1.746666E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:10:00,1.515606E+00,1.862998E+04,1.515606E+00,1.521375E+04,3.670788E+04,1.515606E+00,2.670171E+04,1.515606E+00,7.142015E+03,2.469509E+04,1.515606E+00,2.228510E+04,1.515606E+00,1.155863E+04,3.943640E+04,1.515606E+00,2.258970E+04,1.515606E+00,1.125403E+04,3.836241E+04,7.627255E+00,1.968226E+05,1.515606E+00,0.000000E+00,0.000000E+00,4.518143E+00,1.204047E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.195095E+00,1.860864E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:20:00,1.515606E+00,1.873455E+04,1.515606E+00,1.510917E+04,3.660060E+04,1.515606E+00,2.680629E+04,1.515606E+00,7.037438E+03,2.436666E+04,1.515606E+00,2.238968E+04,1.515606E+00,1.145405E+04,3.906666E+04,1.515606E+00,2.269427E+04,1.515606E+00,1.114945E+04,3.799572E+04,7.794631E+00,2.001274E+05,1.515606E+00,0.000000E+00,0.000000E+00,4.678289E+00,1.235477E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.360935E+00,1.893606E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:30:00,1.515606E+00,1.883913E+04,1.515606E+00,1.500460E+04,3.649332E+04,1.515606E+00,2.691087E+04,1.515606E+00,6.932861E+03,2.403913E+04,1.515606E+00,2.249426E+04,1.515606E+00,1.134947E+04,3.869797E+04,1.515606E+00,2.279885E+04,1.515606E+00,1.104488E+04,3.763008E+04,7.904064E+00,2.022811E+05,1.515606E+00,0.000000E+00,0.000000E+00,4.773279E+00,1.254111E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.467698E+00,1.914619E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:40:00,1.515606E+00,1.894371E+04,1.515606E+00,1.490002E+04,3.638603E+04,1.515606E+00,2.701544E+04,1.515606E+00,6.828283E+03,2.371250E+04,1.515606E+00,2.259883E+04,1.515606E+00,1.124489E+04,3.833033E+04,1.515606E+00,2.290343E+04,1.515606E+00,1.094030E+04,3.726547E+04,7.991952E+00,2.040036E+05,1.515606E+00,0.000000E+00,0.000000E+00,4.845278E+00,1.268220E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.553344E+00,1.931409E+05,1.515606E+00,0.000000E+00,0.000000E+00
