Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.229791E+04,3.309072E+03,2.228786E+00,2.920355E-01,1.019869E+05,9.710441E+03,7.035697E+00,8.569658E-01,3.245746E+04,3.650710E+03,2.239643E+00,3.221966E-01,2.034964E+04,2.756143E+03,1.404541E+00,2.432582E-01,2.036237E+04,2.408375E+03,1.405403E+00,2.125549E-01
00:20:00,2.987212E+04,2.608390E+03,1.986599E+00,2.301969E-01,9.488026E+04,7.644217E+03,6.299497E+00,6.746128E-01,3.002018E+04,2.879399E+03,1.996311E+00,2.541225E-01,1.880137E+04,2.176639E+03,1.250890E+00,1.921100E-01,1.881365E+04,1.900190E+03,1.251685E+00,1.677034E-01
00:30:00,2.766785E+04,1.927320E+03,1.755432E+00,1.700897E-01,8.844097E+04,5.640737E+03,5.596411E+00,4.977994E-01,2.780239E+04,2.128870E+03,1.763894E+00,1.878832E-01,1.739292E+04,1.611384E+03,1.104195E+00,1.422199E-01,1.740487E+04,1.405391E+03,1.104929E+00,1.240336E-01
00:40:00,2.558182E+04,1.265676E+03,1.530131E+00,1.116977E-01,8.223398E+04,3.699299E+03,4.904772E+00,3.264637E-01,2.570288E+04,1.398917E+03,1.537358E+00,1.234606E-01,1.606295E+04,1.060264E+03,9.613984E-01,9.357793E-02,1.607446E+04,9.238408E+02,9.620665E-01,8.153372E-02
00:50:00,2.357480E+04,6.232866E+02,1.308799E+00,5.500561E-02,7.618304E+04,1.819247E+03,4.220894E+00,1.605477E-01,2.368530E+04,6.893500E+02,1.314935E+00,6.083783E-02,1.478347E+04,5.231699E+02,8.211395E-01,4.617426E-02,1.479463E+04,4.554147E+02,8.217457E-01,4.019248E-02
01:00:00,2.163810E+04,0.000000E+00,1.091014E+00,0.000000E+00,7.027213E+04,0.000000E+00,3.544061E+00,0.000000E+00,2.173895E+04,0.000000E+00,1.096104E+00,0.000000E+00,1.355021E+04,0.000000E+00,6.832103E-01,0.000000E+00,1.356102E+04,0.000000E+00,6.837543E-01,0.000000E+00
01:10:00,2.330030E+04,0.000000E+00,1.173258E+00,0.000000E+00,7.556407E+04,0.000000E+00,3.804615E+00,0.000000E+00,2.340157E+04,0.000000E+00,1.178386E+00,0.000000E+00,1.460093E+04,0.000000E+00,7.352217E-01,0.000000E+00,1.461190E+04,0.000000E+00,7.357745E-01,0.000000E+00
01:20:00,2.388896E+04,0.000000E+00,1.202648E+00,0.000000E+00,7.698246E+04,0.000000E+00,3.875122E+00,0.000000E+00,2.399407E+04,0.000000E+00,1.207974E+00,0.000000E+00,1.498023E+04,0.000000E+00,7.541639E-01,0.000000E+00,1.499134E+04,0.000000E+00,7.547234E-01,0.000000E+00
01:30:00,2.429318E+04,0.000000E+00,1.222895E+00,0.000000E+00,7.782455E+04,0.000000E+00,3.917141E+00,0.000000E+00,2.440566E+04,0.000000E+00,1.228600E+00,0.000000E+00,1.524515E+04,0.000000E+00,7.674341E-01,0.000000E+00,1.525627E+04,0.000000E+00,7.679943E-01,0.000000E+00
01:40:00,2.461162E+04,0.000000E+00,1.238916E+00,0.000000E+00,7.851344E+04,0.000000E+00,3.951735E+00,0.000000E+00,2.473064E+04,0.000000E+00,1.244948E+00,0.000000E+00,1.545303E+04,0.000000E+00,7.778933E-01,0.000000E+00,1.546428E+04,0.000000E+00,7.784602E-01,0.000000E+00
