Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,43828552954.714618,35317606744.85155 
February,39969819850.29809,34727218975.6914 
March,50450298056.74827,13575287178.240668 
April,52480916178.343318,4746509082.863621 
May,58723220062.2775,2123040272.4594696 
June,71691310004.91796,1517054563.7581645 
July,80702526436.23423,1445050306.4331277 
August,76251659083.0083,1429038464.2617872 
September,64866841187.66727,1557284499.0530837 
October,53212167477.9493,4033225627.856136 
November,46424732050.377,7177516268.6937279 
December,47366935617.97045,34213222619.566217 
