Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,43424342416.50331,37540979442.653209 
February,39556268405.81789,36934666988.74366 
March,49664243889.323497,13868907810.924565 
April,51652839332.57899,3499583661.0191347 
May,57969400850.46637,1879830038.048819 
June,70670096016.74604,1516251581.3333965 
July,78467516012.81914,1445052707.2986177 
August,74543562188.8673,1429039299.053252 
September,63466549575.15906,1507109994.1368159 
October,52484516779.40834,3272637993.2434017 
November,45584226227.54198,7119318325.543449 
December,46776676658.813198,35566146344.58807 
