Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,1.515606E+00,1.774107E+04,1.973270E+00,2.276457E+04,4.648496E+04,1.515606E+00,2.581281E+04,1.523828E+00,8.176479E+03,2.772709E+04,1.515606E+00,2.139620E+04,1.674793E+00,1.488626E+04,4.633950E+04,1.515606E+00,2.170079E+04,1.650309E+00,1.422269E+04,4.467714E+04,1.079686E+01,2.136557E+05,1.515606E+00,0.000000E+00,0.000000E+00,7.469713E+00,1.489490E+05,1.515606E+00,0.000000E+00,0.000000E+00,1.035134E+01,2.048112E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:20:00,1.515606E+00,1.789793E+04,1.661875E+00,1.803852E+04,4.056740E+04,1.515606E+00,2.596967E+04,1.515606E+00,7.874056E+03,2.701968E+04,1.515606E+00,2.155306E+04,1.539845E+00,1.265000E+04,4.267154E+04,1.515606E+00,2.185765E+04,1.535708E+00,1.228575E+04,4.146913E+04,1.038615E+01,2.158604E+05,1.515606E+00,0.000000E+00,0.000000E+00,6.962100E+00,1.465698E+05,1.515606E+00,0.000000E+00,0.000000E+00,9.921396E+00,2.063012E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:30:00,1.515606E+00,1.805480E+04,1.523131E+00,1.589551E+04,3.746693E+04,1.515606E+00,2.612654E+04,1.515606E+00,7.717190E+03,2.651776E+04,1.515606E+00,2.170993E+04,1.515606E+00,1.213380E+04,4.148902E+04,1.515606E+00,2.201452E+04,1.515606E+00,1.182921E+04,4.039799E+04,1.004384E+01,2.184663E+05,1.515606E+00,0.000000E+00,0.000000E+00,6.528064E+00,1.444752E+05,1.515606E+00,0.000000E+00,0.000000E+00,9.560889E+00,2.081732E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:40:00,1.515606E+00,1.821167E+04,1.515606E+00,1.563206E+04,3.713704E+04,1.515606E+00,2.628340E+04,1.515606E+00,7.560324E+03,2.601792E+04,1.515606E+00,2.186679E+04,1.515606E+00,1.197693E+04,4.092600E+04,1.515606E+00,2.217139E+04,1.515606E+00,1.167234E+04,3.983966E+04,9.732256E+00,2.209884E+05,1.515606E+00,0.000000E+00,0.000000E+00,6.124547E+00,1.421104E+05,1.515606E+00,0.000000E+00,0.000000E+00,9.230485E+00,2.099159E+05,1.515606E+00,0.000000E+00,0.000000E+00
00:50:00,1.515606E+00,1.836853E+04,1.515606E+00,1.547520E+04,3.697611E+04,1.515606E+00,2.644027E+04,1.515606E+00,7.403458E+03,2.552015E+04,1.515606E+00,2.202366E+04,1.515606E+00,1.182007E+04,4.036541E+04,1.515606E+00,2.232825E+04,1.515606E+00,1.151548E+04,3.928371E+04,9.441477E+00,2.233171E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.742188E+00,1.393836E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.919813E+00,2.114100E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:00:00,1.515606E+00,1.852540E+04,1.515606E+00,1.531833E+04,3.681519E+04,1.515606E+00,2.659714E+04,1.515606E+00,7.246592E+03,2.502443E+04,1.515606E+00,2.218052E+04,1.515606E+00,1.166320E+04,3.980721E+04,1.515606E+00,2.248512E+04,1.515606E+00,1.135861E+04,3.873014E+04,9.169659E+00,2.254709E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.375056E+00,1.362382E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.627534E+00,2.126816E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:10:00,1.515606E+00,1.862998E+04,1.515606E+00,1.521375E+04,3.670788E+04,1.515606E+00,2.670171E+04,1.515606E+00,7.142015E+03,2.469509E+04,1.515606E+00,2.228510E+04,1.515606E+00,1.155863E+04,3.943640E+04,1.515606E+00,2.258970E+04,1.515606E+00,1.125403E+04,3.836241E+04,9.425128E+00,2.320670E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.685269E+00,1.432527E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.896430E+00,2.194414E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:20:00,1.515606E+00,1.873455E+04,1.515606E+00,1.510917E+04,3.660060E+04,1.515606E+00,2.680629E+04,1.515606E+00,7.037438E+03,2.436666E+04,1.515606E+00,2.238968E+04,1.515606E+00,1.145405E+04,3.906666E+04,1.515606E+00,2.269427E+04,1.515606E+00,1.114945E+04,3.799572E+04,9.309969E+00,2.298502E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.662246E+00,1.428168E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.794927E+00,2.174909E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:30:00,1.515606E+00,1.883913E+04,1.515606E+00,1.500460E+04,3.649332E+04,1.515606E+00,2.691087E+04,1.515606E+00,6.932861E+03,2.403913E+04,1.515606E+00,2.249426E+04,1.515606E+00,1.134947E+04,3.869797E+04,1.515606E+00,2.279885E+04,1.515606E+00,1.104488E+04,3.763008E+04,9.137303E+00,2.264790E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.574178E+00,1.410985E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.634710E+00,2.143629E+05,1.515606E+00,0.000000E+00,0.000000E+00
01:40:00,1.515606E+00,1.894371E+04,1.515606E+00,1.490002E+04,3.638603E+04,1.515606E+00,2.701544E+04,1.515606E+00,6.828283E+03,2.371250E+04,1.515606E+00,2.259883E+04,1.515606E+00,1.124489E+04,3.833033E+04,1.515606E+00,2.290343E+04,1.515606E+00,1.094030E+04,3.726547E+04,8.943304E+00,2.226748E+05,1.515606E+00,0.000000E+00,0.000000E+00,5.463166E+00,1.389264E+05,1.515606E+00,0.000000E+00,0.000000E+00,8.453654E+00,2.108124E+05,1.515606E+00,0.000000E+00,0.000000E+00
