Time,S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE BACK:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE CORE:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE FRONT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE LEFT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],S1 OFFICE RIGHT:PITTSBURGH INTERNATIONAL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.549257E+04,3.386659E+03,1.720439E+00,2.987942E-01,7.586590E+04,9.986634E+03,5.168374E+00,8.811220E-01,2.568104E+04,3.728849E+03,1.733445E+00,3.289861E-01,1.609602E+04,2.805939E+03,1.086831E+00,2.475602E-01,1.610974E+04,2.457391E+03,1.087769E+00,2.168080E-01
00:20:00,2.638190E+04,2.686023E+03,1.678805E+00,2.369701E-01,7.583516E+04,7.920993E+03,4.899047E+00,6.988452E-01,2.655250E+04,2.957485E+03,1.690230E+00,2.609197E-01,1.662102E+04,2.226227E+03,1.058598E+00,1.964043E-01,1.663438E+04,1.949144E+03,1.059470E+00,1.719595E-01
00:30:00,2.749475E+04,1.997245E+03,1.648098E+00,1.761983E-01,7.647507E+04,5.890236E+03,4.662753E+00,5.196623E-01,2.764414E+04,2.199145E+03,1.657770E+00,1.940099E-01,1.728589E+04,1.655911E+03,1.037204E+00,1.460840E-01,1.729906E+04,1.449433E+03,1.038019E+00,1.278691E-01
00:40:00,2.872538E+04,1.320097E+03,1.623125E+00,1.164572E-01,7.734933E+04,3.893567E+03,4.437863E+00,3.434997E-01,2.885510E+04,1.453577E+03,1.631137E+00,1.282324E-01,1.803029E+04,1.094843E+03,1.019690E+00,9.658427E-02,1.804310E+04,9.580899E+02,1.020441E+00,8.452072E-02
00:50:00,3.003544E+04,6.543993E+02,1.602105E+00,5.772926E-02,7.838002E+04,1.930343E+03,4.220693E+00,1.702964E-01,3.014833E+04,7.205850E+02,1.608598E+00,6.356783E-02,1.882522E+04,5.429053E+02,1.004695E+00,4.789292E-02,1.883777E+04,4.749827E+02,1.005386E+00,4.190128E-02
01:00:00,3.141659E+04,0.000000E+00,1.584658E+00,0.000000E+00,7.955154E+04,0.000000E+00,4.010589E+00,0.000000E+00,3.151345E+04,0.000000E+00,1.589674E+00,0.000000E+00,1.966701E+04,0.000000E+00,9.920541E-01,0.000000E+00,1.967928E+04,0.000000E+00,9.926831E-01,0.000000E+00
01:10:00,3.211325E+04,0.000000E+00,1.616131E+00,0.000000E+00,8.268985E+04,0.000000E+00,4.162775E+00,0.000000E+00,3.221015E+04,0.000000E+00,1.621054E+00,0.000000E+00,2.011412E+04,0.000000E+00,1.012275E+00,0.000000E+00,2.012637E+04,0.000000E+00,1.012893E+00,0.000000E+00
01:20:00,3.166678E+04,0.000000E+00,1.593266E+00,0.000000E+00,8.187189E+04,0.000000E+00,4.120635E+00,0.000000E+00,3.176790E+04,0.000000E+00,1.598408E+00,0.000000E+00,1.984571E+04,0.000000E+00,9.985206E-01,0.000000E+00,1.985799E+04,0.000000E+00,9.991395E-01,0.000000E+00
01:30:00,3.103410E+04,0.000000E+00,1.561320E+00,0.000000E+00,8.047537E+04,0.000000E+00,4.050043E+00,0.000000E+00,3.114441E+04,0.000000E+00,1.566934E+00,0.000000E+00,1.946316E+04,0.000000E+00,9.791974E-01,0.000000E+00,1.947528E+04,0.000000E+00,9.798086E-01,0.000000E+00
01:40:00,3.031638E+04,0.000000E+00,1.525272E+00,0.000000E+00,7.892412E+04,0.000000E+00,3.972043E+00,0.000000E+00,3.043341E+04,0.000000E+00,1.531223E+00,0.000000E+00,1.902265E+04,0.000000E+00,9.570766E-01,0.000000E+00,1.903480E+04,0.000000E+00,9.576887E-01,0.000000E+00
01:50:00,2.954717E+04,0.000000E+00,1.486684E+00,0.000000E+00,7.728649E+04,0.000000E+00,3.889867E+00,0.000000E+00,2.966848E+04,0.000000E+00,1.492842E+00,0.000000E+00,1.855011E+04,0.000000E+00,9.333734E-01,0.000000E+00,1.856214E+04,0.000000E+00,9.339795E-01,0.000000E+00
02:00:00,2.873125E+04,0.000000E+00,1.445763E+00,0.000000E+00,7.557066E+04,0.000000E+00,3.803811E+00,0.000000E+00,2.885620E+04,0.000000E+00,1.452093E+00,0.000000E+00,1.804676E+04,0.000000E+00,9.081329E-01,0.000000E+00,1.805874E+04,0.000000E+00,9.087364E-01,0.000000E+00
02:10:00,2.893486E+04,0.000000E+00,1.456125E+00,0.000000E+00,7.536350E+04,0.000000E+00,3.793645E+00,0.000000E+00,2.906209E+04,0.000000E+00,1.462562E+00,0.000000E+00,1.818049E+04,0.000000E+00,9.149382E-01,0.000000E+00,1.819265E+04,0.000000E+00,9.155507E-01,0.000000E+00
02:20:00,2.911155E+04,0.000000E+00,1.465072E+00,0.000000E+00,7.510208E+04,0.000000E+00,3.780636E+00,0.000000E+00,2.924024E+04,0.000000E+00,1.471577E+00,0.000000E+00,1.829752E+04,0.000000E+00,9.208656E-01,0.000000E+00,1.830982E+04,0.000000E+00,9.214854E-01,0.000000E+00
02:30:00,2.926848E+04,0.000000E+00,1.472997E+00,0.000000E+00,7.479688E+04,0.000000E+00,3.765377E+00,0.000000E+00,2.939721E+04,0.000000E+00,1.479497E+00,0.000000E+00,1.840035E+04,0.000000E+00,9.260650E-01,0.000000E+00,1.841280E+04,0.000000E+00,9.266922E-01,0.000000E+00
02:40:00,2.940857E+04,0.000000E+00,1.480070E+00,0.000000E+00,7.445625E+04,0.000000E+00,3.748315E+00,0.000000E+00,2.953844E+04,0.000000E+00,1.486618E+00,0.000000E+00,1.849201E+04,0.000000E+00,9.306934E-01,0.000000E+00,1.850460E+04,0.000000E+00,9.313278E-01,0.000000E+00
02:50:00,2.953512E+04,0.000000E+00,1.486456E+00,0.000000E+00,7.408596E+04,0.000000E+00,3.729749E+00,0.000000E+00,2.966592E+04,0.000000E+00,1.493049E+00,0.000000E+00,1.857460E+04,0.000000E+00,9.348607E-01,0.000000E+00,1.858738E+04,0.000000E+00,9.355043E-01,0.000000E+00
03:00:00,2.965070E+04,0.000000E+00,1.492286E+00,0.000000E+00,7.369121E+04,0.000000E+00,3.709948E+00,0.000000E+00,2.978241E+04,0.000000E+00,1.498924E+00,0.000000E+00,1.864991E+04,0.000000E+00,9.386588E-01,0.000000E+00,1.866284E+04,0.000000E+00,9.393096E-01,0.000000E+00
03:10:00,3.008995E+04,0.000000E+00,1.514404E+00,0.000000E+00,7.574882E+04,0.000000E+00,3.813606E+00,0.000000E+00,3.022302E+04,0.000000E+00,1.521110E+00,0.000000E+00,1.892757E+04,0.000000E+00,9.526397E-01,0.000000E+00,1.894039E+04,0.000000E+00,9.532852E-01,0.000000E+00
03:20:00,3.052200E+04,0.000000E+00,1.536139E+00,0.000000E+00,7.779052E+04,0.000000E+00,3.916322E+00,0.000000E+00,3.065639E+04,0.000000E+00,1.542912E+00,0.000000E+00,1.920042E+04,0.000000E+00,9.663661E-01,0.000000E+00,1.921313E+04,0.000000E+00,9.670062E-01,0.000000E+00
03:30:00,3.094821E+04,0.000000E+00,1.557567E+00,0.000000E+00,7.981904E+04,0.000000E+00,4.018307E+00,0.000000E+00,3.108386E+04,0.000000E+00,1.564404E+00,0.000000E+00,1.946936E+04,0.000000E+00,9.798880E-01,0.000000E+00,1.948196E+04,0.000000E+00,9.805225E-01,0.000000E+00
03:40:00,3.136957E+04,0.000000E+00,1.578746E+00,0.000000E+00,8.183611E+04,0.000000E+00,4.119689E+00,0.000000E+00,3.150646E+04,0.000000E+00,1.585644E+00,0.000000E+00,1.973507E+04,0.000000E+00,9.932436E-01,0.000000E+00,1.974756E+04,0.000000E+00,9.938724E-01,0.000000E+00
03:50:00,3.178703E+04,0.000000E+00,1.599725E+00,0.000000E+00,8.384380E+04,0.000000E+00,4.220589E+00,0.000000E+00,3.192511E+04,0.000000E+00,1.606684E+00,0.000000E+00,1.999817E+04,0.000000E+00,1.006467E+00,0.000000E+00,2.001054E+04,0.000000E+00,1.007090E+00,0.000000E+00
04:00:00,3.220114E+04,0.000000E+00,1.620536E+00,0.000000E+00,8.584310E+04,0.000000E+00,4.321063E+00,0.000000E+00,3.234039E+04,0.000000E+00,1.627553E+00,0.000000E+00,2.025904E+04,0.000000E+00,1.019576E+00,0.000000E+00,2.027130E+04,0.000000E+00,1.020194E+00,0.000000E+00
04:10:00,3.203006E+04,0.000000E+00,1.611894E+00,0.000000E+00,8.576714E+04,0.000000E+00,4.317056E+00,0.000000E+00,3.217004E+04,0.000000E+00,1.618948E+00,0.000000E+00,2.015347E+04,0.000000E+00,1.014243E+00,0.000000E+00,2.016579E+04,0.000000E+00,1.014863E+00,0.000000E+00
04:20:00,3.185636E+04,0.000000E+00,1.603152E+00,0.000000E+00,8.568367E+04,0.000000E+00,4.312787E+00,0.000000E+00,3.199705E+04,0.000000E+00,1.610241E+00,0.000000E+00,2.004617E+04,0.000000E+00,1.008842E+00,0.000000E+00,2.005854E+04,0.000000E+00,1.009465E+00,0.000000E+00
04:30:00,3.168025E+04,0.000000E+00,1.594307E+00,0.000000E+00,8.559327E+04,0.000000E+00,4.308225E+00,0.000000E+00,3.182162E+04,0.000000E+00,1.601430E+00,0.000000E+00,1.993728E+04,0.000000E+00,1.003373E+00,0.000000E+00,1.994971E+04,0.000000E+00,1.003999E+00,0.000000E+00
04:40:00,3.150199E+04,0.000000E+00,1.585361E+00,0.000000E+00,8.549671E+04,0.000000E+00,4.303373E+00,0.000000E+00,3.164400E+04,0.000000E+00,1.592517E+00,0.000000E+00,1.982696E+04,0.000000E+00,9.978371E-01,0.000000E+00,1.983945E+04,0.000000E+00,9.984657E-01,0.000000E+00
