Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,39973580078.892047,17764663410.653799 
February,36261168807.79932,17113852638.134688 
March,40864421115.11301,10213678739.13302 
April,39646012509.98754,5097115110.166608 
May,38968387455.83705,3028962184.978958 
June,42219154296.32023,2131605617.3740776 
July,45318391253.556949,2001276586.5585194 
August,43939188458.115207,1940975478.687039 
September,41875969937.38406,2168616102.7973749 
October,41046813309.5187,4885898816.74108 
November,38462430890.2484,6502788887.188892 
December,42272206404.519268,16544189076.48106 
