Time,OFFICE AIRLOOP:DesPer 1:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 1:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 1:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 1:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 2:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 2:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 2:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 3:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 3:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 3:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 4:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 4:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 4:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 5:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 5:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 5:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 6:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 6:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 6:Des Tot Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Heat Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Heat Cap [W],OFFICE AIRLOOP:DesPer 7:Des Cool Mass Flow [kg/s],OFFICE AIRLOOP:DesPer 7:Des Sens Cool Cap [W],OFFICE AIRLOOP:DesPer 7:Des Tot Cool Cap [W]
00:10:00,2.158908E+00,2.527130E+04,2.288153E+00,2.483273E+04,5.682671E+04,2.158908E+00,3.676911E+04,2.158908E+00,1.143966E+04,3.920619E+04,2.158908E+00,3.047786E+04,2.158908E+00,1.773091E+04,6.071347E+04,2.158908E+00,3.091173E+04,2.158908E+00,1.729703E+04,5.914594E+04,1.411675E+01,2.856145E+05,2.158908E+00,0.000000E+00,0.000000E+00,9.806542E+00,1.989387E+05,2.158908E+00,0.000000E+00,0.000000E+00,1.352374E+01,2.735988E+05,2.158908E+00,0.000000E+00,0.000000E+00
00:20:00,2.158908E+00,2.549475E+04,2.158908E+00,2.271402E+04,5.335839E+04,2.158908E+00,3.699255E+04,2.158908E+00,1.121622E+04,3.848824E+04,2.158908E+00,3.070130E+04,2.158908E+00,1.750747E+04,5.990456E+04,2.158908E+00,3.113518E+04,2.158908E+00,1.707359E+04,5.834376E+04,1.260358E+01,2.730784E+05,2.158908E+00,0.000000E+00,0.000000E+00,8.550864E+00,1.866317E+05,2.158908E+00,0.000000E+00,0.000000E+00,1.204510E+01,2.610566E+05,2.158908E+00,0.000000E+00,0.000000E+00
00:30:00,2.158908E+00,2.571820E+04,2.158908E+00,2.249057E+04,5.312916E+04,2.158908E+00,3.721600E+04,2.158908E+00,1.099277E+04,3.777328E+04,2.158908E+00,3.092475E+04,2.158908E+00,1.728402E+04,5.909912E+04,2.158908E+00,3.135863E+04,2.158908E+00,1.685014E+04,5.754501E+04,1.116072E+01,2.589230E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.365226E+00,1.731511E+05,2.158908E+00,0.000000E+00,0.000000E+00,1.063764E+01,2.469736E+05,2.158908E+00,0.000000E+00,0.000000E+00
00:40:00,2.158908E+00,2.594165E+04,2.158908E+00,2.226712E+04,5.289993E+04,2.158908E+00,3.743945E+04,2.158908E+00,1.076932E+04,3.706128E+04,2.158908E+00,3.114820E+04,2.158908E+00,1.706057E+04,5.829713E+04,2.158908E+00,3.158208E+04,2.158908E+00,1.662669E+04,5.674969E+04,9.745432E+00,2.425759E+05,2.158908E+00,0.000000E+00,0.000000E+00,6.209642E+00,1.579898E+05,2.158908E+00,0.000000E+00,0.000000E+00,9.257886E+00,2.307663E+05,2.158908E+00,0.000000E+00,0.000000E+00
00:50:00,2.158908E+00,2.616509E+04,2.158908E+00,2.204367E+04,5.267070E+04,2.158908E+00,3.766290E+04,2.158908E+00,1.054587E+04,3.635223E+04,2.158908E+00,3.137165E+04,2.158908E+00,1.683712E+04,5.749859E+04,2.158908E+00,3.180553E+04,2.158908E+00,1.640324E+04,5.595777E+04,8.350705E+00,2.239734E+05,2.158908E+00,0.000000E+00,0.000000E+00,5.075081E+00,1.410620E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.897493E+00,2.123478E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:00:00,2.158908E+00,2.638854E+04,2.158908E+00,2.182023E+04,5.244148E+04,2.158908E+00,3.788635E+04,2.158908E+00,1.032242E+04,3.564610E+04,2.158908E+00,3.159509E+04,2.158908E+00,1.661367E+04,5.670347E+04,2.158908E+00,3.202897E+04,2.158908E+00,1.617979E+04,5.516923E+04,6.973581E+00,2.031110E+05,2.158908E+00,0.000000E+00,0.000000E+00,3.956071E+00,1.223204E+05,2.158908E+00,0.000000E+00,0.000000E+00,6.554019E+00,1.917206E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:10:00,2.158908E+00,2.653751E+04,2.158908E+00,2.167126E+04,5.228862E+04,2.158908E+00,3.803531E+04,2.158908E+00,1.017346E+04,3.517697E+04,2.158908E+00,3.174406E+04,2.158908E+00,1.646471E+04,5.617527E+04,2.158908E+00,3.217794E+04,2.158908E+00,1.603083E+04,5.464541E+04,7.497744E+00,2.144725E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.432255E+00,1.323228E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.071366E+00,2.028789E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:20:00,2.158908E+00,2.668647E+04,2.158908E+00,2.152230E+04,5.213580E+04,2.158908E+00,3.818428E+04,2.158908E+00,1.002449E+04,3.470914E+04,2.158908E+00,3.189303E+04,2.158908E+00,1.631574E+04,5.564859E+04,2.158908E+00,3.232690E+04,2.158908E+00,1.588186E+04,5.412309E+04,7.661085E+00,2.176948E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.588183E+00,1.353805E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.233267E+00,2.060724E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:30:00,2.158908E+00,2.683544E+04,2.158908E+00,2.137333E+04,5.198298E+04,2.158908E+00,3.833324E+04,2.158908E+00,9.875528E+03,3.424259E+04,2.158908E+00,3.204199E+04,2.158908E+00,1.616678E+04,5.512340E+04,2.158908E+00,3.247587E+04,2.158908E+00,1.573290E+04,5.360224E+04,7.765282E+00,2.197445E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.681782E+00,1.372156E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.335001E+00,2.080739E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:40:00,2.158908E+00,2.698440E+04,2.158908E+00,2.122437E+04,5.183016E+04,2.158908E+00,3.848221E+04,2.158908E+00,9.726563E+03,3.377732E+04,2.158908E+00,3.219096E+04,2.158908E+00,1.601781E+04,5.459972E+04,2.158908E+00,3.262483E+04,2.158908E+00,1.558393E+04,5.308288E+04,7.851461E+00,2.214334E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.752487E+00,1.386009E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.418501E+00,2.097109E+05,2.158908E+00,0.000000E+00,0.000000E+00
01:50:00,2.158908E+00,2.713337E+04,2.158908E+00,2.107540E+04,5.167734E+04,2.158908E+00,3.863117E+04,2.158908E+00,9.577597E+03,3.331332E+04,2.158908E+00,3.233992E+04,2.158908E+00,1.586885E+04,5.407752E+04,2.158908E+00,3.277380E+04,2.158908E+00,1.543497E+04,5.256499E+04,7.925377E+00,2.228789E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.808468E+00,1.396975E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.490892E+00,2.111269E+05,2.158908E+00,0.000000E+00,0.000000E+00
02:00:00,2.158908E+00,2.728233E+04,2.158908E+00,2.092644E+04,5.152452E+04,2.158908E+00,3.878014E+04,2.158908E+00,9.428632E+03,3.285060E+04,2.158908E+00,3.248889E+04,2.158908E+00,1.571988E+04,5.355680E+04,2.158908E+00,3.292277E+04,2.158908E+00,1.528600E+04,5.204857E+04,7.988941E+00,2.241211E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.854380E+00,1.405967E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.553632E+00,2.123529E+05,2.158908E+00,0.000000E+00,0.000000E+00
02:10:00,2.158908E+00,2.739406E+04,2.158908E+00,2.081471E+04,5.140991E+04,2.158908E+00,3.889186E+04,2.158908E+00,9.316908E+03,3.250440E+04,2.158908E+00,3.260061E+04,2.158908E+00,1.560816E+04,5.316724E+04,2.158908E+00,3.303449E+04,2.158908E+00,1.517428E+04,5.166221E+04,8.043428E+00,2.251860E+05,2.158908E+00,0.000000E+00,0.000000E+00,4.893961E+00,1.413719E+05,2.158908E+00,0.000000E+00,0.000000E+00,7.607621E+00,2.134079E+05,2.158908E+00,0.000000E+00,0.000000E+00
