Date/Time,Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly) 
January,42904381386.03062,45530888231.75572 
February,39104057855.54729,45093446863.34352 
March,49277120914.81107,18034339114.100423 
April,51153100294.5481,5669949392.355665 
May,58392897006.63984,2690390942.242815 
June,72290058380.5102,2108090349.4109042 
July,81925742079.70177,2001272973.5847929 
August,77350622135.74372,1938546586.5172 
September,65057828385.95171,2045626356.6087099 
October,52182562337.28136,4713827414.263816 
November,45393407600.66166,9185934317.694075 
December,46263934042.559459,43408625085.84917 
