Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,34580257.57450944,1765107.4591664659 
 01/01  02:00:00,34580257.57450944,1765160.968633639 
 01/01  03:00:00,34580257.57450944,1765083.717419931 
 01/01  04:00:00,34580257.57450944,3458337.7357233965 
 01/01  05:00:00,34580257.57450944,1765122.7032075809 
 01/01  06:00:00,40222475.95091783,39955176.222726199 
 01/01  07:00:00,40222475.95091783,37897974.50790374 
 01/01  08:00:00,30990719.950917834,35295522.34114005 
 01/01  09:00:00,12527207.95091783,31832549.858362125 
 01/01  10:00:00,12527207.95091783,26754032.928034724 
 01/01  11:00:00,12527207.95091783,15530984.898229944 
 01/01  12:00:00,12595593.01044878,4246847.069924993 
 01/01  13:00:00,14062336.122949426,3458343.0630582126 
 01/01  14:00:00,15118980.916474987,1765273.9388845806 
 01/01  15:00:00,15697863.424191542,3458351.5590911947 
 01/01  16:00:00,15477993.703398018,1765202.1255765898 
 01/01  17:00:00,18731797.646757865,1765205.813843698 
 01/01  18:00:00,40222475.95091783,5087500.56814334 
 01/01  19:00:00,34580257.57450944,1765105.084647608 
 01/01  20:00:00,34580257.57450944,1765143.3094939385 
 01/01  21:00:00,34580257.57450944,1765175.3559434359 
 01/01  22:00:00,34580257.57450944,3458442.7455339606 
 01/01  23:00:00,34580257.57450944,1765178.9932740164 
 01/01  24:00:00,34580257.57450944,1765106.1761824534 
 01/02  01:00:00,34580257.57450944,3458501.711430939 
 01/02  02:00:00,34580257.57450944,1765223.7019186598 
 01/02  03:00:00,34580257.57450944,3458278.3549218375 
 01/02  04:00:00,34580257.57450944,1765201.1483098122 
 01/02  05:00:00,34580257.57450944,1765138.695265905 
 01/02  06:00:00,47107465.52542727,115607697.17135132 
 01/02  07:00:00,47107465.52542727,119293360.74510041 
 01/02  08:00:00,65415667.82346502,83919637.39450231 
 01/02  09:00:00,105272079.3175783,93647581.3664054 
 01/02  10:00:00,105272079.3175783,111848987.0217846 
 01/02  11:00:00,105272079.3175783,100392248.46204105 
 01/02  12:00:00,105272079.3175783,109523364.4853896 
 01/02  13:00:00,105272079.3175783,34145355.5394707 
 01/02  14:00:00,105272079.3175783,93423407.09199777 
 01/02  15:00:00,105272079.3175783,103350801.59882608 
 01/02  16:00:00,105272079.3175783,53339763.21367715 
 01/02  17:00:00,109887957.3175783,73517457.91702734 
 01/02  18:00:00,87607411.2815028,79112813.64346075 
 01/02  19:00:00,74647423.82346502,22541217.330232916 
 01/02  20:00:00,74647423.82346502,62562033.85297399 
 01/02  21:00:00,60877444.67444614,82584325.4008683 
 01/02  22:00:00,60877444.67444614,85584603.01122836 
 01/02  23:00:00,47107465.52542727,92883683.53430195 
 01/02  24:00:00,40222475.95091783,100384263.60264388 
 01/03  01:00:00,34580257.57450944,1765102.2499001635 
 01/03  02:00:00,34580257.57450944,3458326.207270872 
 01/03  03:00:00,34580257.57450944,1765214.32845623 
 01/03  04:00:00,34580257.57450944,1765162.5968282417 
 01/03  05:00:00,34580257.57450944,3458310.540717934 
 01/03  06:00:00,40222475.95091783,35452637.11298393 
 01/03  07:00:00,47107465.52542727,41892802.38843083 
 01/03  08:00:00,37875709.52542727,38998608.36872809 
 01/03  09:00:00,46952155.82346503,45639237.44410765 
 01/03  10:00:00,46952155.82346503,36171890.5744265 
 01/03  11:00:00,46952155.82346503,29969755.54543072 
 01/03  12:00:00,46952155.82346503,20040091.3383247 
 01/03  13:00:00,28408139.560870828,5153537.516439285 
 01/03  14:00:00,29179083.213115086,3459358.644108549 
 01/03  15:00:00,29388627.54061872,3459133.491463149 
 01/03  16:00:00,29004618.176580587,3458921.17749595 
 01/03  17:00:00,27349923.136768097,3459347.1842368997 
 01/03  18:00:00,40279502.55253744,8644958.127987735 
 01/03  19:00:00,40222475.95091783,15406657.763255384 
 01/03  20:00:00,34580257.57450944,3458546.0493111799 
 01/03  21:00:00,34580257.57450944,1765298.8991610669 
 01/03  22:00:00,34580257.57450944,3458756.5985497806 
 01/03  23:00:00,34580257.57450944,1765172.6911051509 
 01/03  24:00:00,34580257.57450944,3458465.0415662147 
 01/04  01:00:00,34580257.57450944,1765217.7704941799 
 01/04  02:00:00,34580257.57450944,3458293.311652806 
 01/04  03:00:00,34580257.57450944,1765248.9963715175 
