Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.736467E-02,9.626613E+02,2.755844E-01,3.360555E+03,5.119003E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.297596E+02,2.366480E-01,2.856501E+03,4.340458E+03,1.579535E-01,4.336657E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.329028E+02,1.449461E-01,1.745356E+03,2.639153E+03,9.723024E-02,2.639576E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.297596E+02,2.356156E-01,2.844998E+03,4.327832E+03,1.472706E-01,4.133869E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.329028E+02,1.556183E-01,1.864271E+03,2.766203E+03,9.723024E-02,2.639576E+03,3.479041E-02,0.000000E+00,0.000000E+00
00:20:00,7.736467E-02,9.705131E+02,2.748465E-01,3.344481E+03,5.102330E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.357118E+02,2.348874E-01,2.830932E+03,4.313320E+03,1.579537E-01,4.336660E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.364337E+02,1.438144E-01,1.729216E+03,2.622011E+03,9.723034E-02,2.639578E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.357118E+02,2.338310E-01,2.819161E+03,4.300415E+03,1.472708E-01,4.133873E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.364337E+02,1.539919E-01,1.842618E+03,2.743281E+03,9.723034E-02,2.639578E+03,3.479041E-02,0.000000E+00,0.000000E+00
00:30:00,7.736467E-02,9.783649E+02,2.741322E-01,3.328670E+03,5.085927E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.416639E+02,2.331784E-01,2.805937E+03,4.286775E+03,1.579538E-01,4.336663E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.399646E+02,1.427156E-01,1.713442E+03,2.605248E+03,9.723044E-02,2.639580E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.416639E+02,2.321042E-01,2.793968E+03,4.273665E+03,1.472709E-01,4.133875E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.399646E+02,1.524318E-01,1.821704E+03,2.721124E+03,9.723044E-02,2.639580E+03,3.479041E-02,0.000000E+00,0.000000E+00
00:40:00,7.736467E-02,9.862167E+02,2.734396E-01,3.313101E+03,5.069774E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.476161E+02,2.315187E-01,2.781492E+03,4.260799E+03,1.579540E-01,4.336666E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.434955E+02,1.416484E-01,1.698020E+03,2.588848E+03,9.723053E-02,2.639582E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.476161E+02,2.304322E-01,2.769387E+03,4.247551E+03,1.472710E-01,4.133878E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.434955E+02,1.509336E-01,1.801480E+03,2.699684E+03,9.723053E-02,2.639582E+03,3.479041E-02,0.000000E+00,0.000000E+00
00:50:00,7.736467E-02,9.940685E+02,2.727672E-01,3.297756E+03,5.053851E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.535683E+02,2.299063E-01,2.757574E+03,4.235378E+03,1.579541E-01,4.336668E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.470264E+02,1.406114E-01,1.682934E+03,2.572802E+03,9.723061E-02,2.639583E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.535683E+02,2.288126E-01,2.745387E+03,4.222050E+03,1.472712E-01,4.133881E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.470264E+02,1.494932E-01,1.781899E+03,2.678916E+03,9.723061E-02,2.639583E+03,3.479041E-02,0.000000E+00,0.000000E+00
01:00:00,7.736467E-02,1.001920E+03,2.721135E-01,3.282620E+03,5.038145E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.595205E+02,2.283394E-01,2.734163E+03,4.210497E+03,1.579542E-01,4.336670E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.505573E+02,1.396035E-01,1.668173E+03,2.557101E+03,9.723069E-02,2.639585E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.595205E+02,2.272429E-01,2.721946E+03,4.197141E+03,1.472713E-01,4.133883E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.505573E+02,1.481070E-01,1.762923E+03,2.658784E+03,9.723069E-02,2.639585E+03,3.479041E-02,0.000000E+00,0.000000E+00
01:10:00,7.736467E-02,1.007155E+03,2.714774E-01,3.270298E+03,5.025310E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.634886E+02,2.268276E-01,2.713349E+03,4.188318E+03,1.579543E-01,4.336672E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.529112E+02,1.386300E-01,1.654973E+03,2.543023E+03,9.723077E-02,2.639586E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.634886E+02,2.257304E-01,2.701125E+03,4.174955E+03,1.472714E-01,4.133885E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.529112E+02,1.467782E-01,1.745763E+03,2.640542E+03,9.723077E-02,2.639586E+03,3.479041E-02,0.000000E+00,0.000000E+00
01:20:00,7.736467E-02,1.012389E+03,2.708580E-01,3.258161E+03,5.012668E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.674567E+02,2.253697E-01,2.693137E+03,4.166776E+03,1.579544E-01,4.336675E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.552652E+02,1.376904E-01,1.642149E+03,2.529344E+03,9.723084E-02,2.639588E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.674567E+02,2.242735E-01,2.680923E+03,4.153424E+03,1.472715E-01,4.133887E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.552652E+02,1.455044E-01,1.729215E+03,2.622940E+03,9.723084E-02,2.639588E+03,3.479041E-02,0.000000E+00,0.000000E+00
01:30:00,7.736467E-02,1.017624E+03,2.702545E-01,3.246202E+03,5.000209E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.714248E+02,2.239649E-01,2.673516E+03,4.145849E+03,1.579545E-01,4.336677E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.576191E+02,1.367840E-01,1.629695E+03,2.516048E+03,9.723091E-02,2.639589E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.714248E+02,2.228708E-01,2.661326E+03,4.132522E+03,1.472716E-01,4.133889E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.576191E+02,1.442830E-01,1.713253E+03,2.605945E+03,9.723091E-02,2.639589E+03,3.479041E-02,0.000000E+00,0.000000E+00
01:40:00,7.736467E-02,1.022858E+03,2.696663E-01,3.234414E+03,4.987930E+03,7.736467E-02,3.234007E+03,7.736467E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.753929E+02,2.226125E-01,2.654479E+03,4.125536E+03,1.579546E-01,4.336678E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.599731E+02,1.359103E-01,1.617607E+03,2.503135E+03,9.723098E-02,2.639590E+03,3.479041E-02,0.000000E+00,0.000000E+00,5.864743E-02,7.753929E+02,2.215211E-01,2.642319E+03,4.112243E+03,1.472717E-01,4.133891E+03,5.864743E-02,0.000000E+00,0.000000E+00,3.479041E-02,4.599731E+02,1.431123E-01,1.697854E+03,2.589540E+03,9.723098E-02,2.639590E+03,3.479041E-02,0.000000E+00,0.000000E+00
