Time,CORE_ZN ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:HOUSTON BUSH INTERCONTINENTAL ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:HOUSTON BUSH INTERCONTINENTAL ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,7.911961E+02,2.599118E+03,4.107474E-02,2.296536E-01,2.535550E+03,2.231807E+03,1.316279E-01,1.972067E-01,1.560794E+03,1.366971E+03,8.102520E-02,1.207884E-01,2.364062E+03,2.222071E+03,1.227255E-01,1.963463E-01,1.560794E+03,1.467624E+03,8.102520E-02,1.296819E-01
00:20:00,7.911969E+02,2.592159E+03,4.107478E-02,2.290388E-01,2.535553E+03,2.215203E+03,1.316281E-01,1.957395E-01,1.560796E+03,1.356297E+03,8.102528E-02,1.198453E-01,2.364065E+03,2.205240E+03,1.227256E-01,1.948592E-01,1.560796E+03,1.452285E+03,8.102528E-02,1.283265E-01
00:30:00,7.911977E+02,2.585422E+03,4.107482E-02,2.284435E-01,2.535555E+03,2.199085E+03,1.316282E-01,1.943153E-01,1.560797E+03,1.345935E+03,8.102536E-02,1.189297E-01,2.364067E+03,2.188954E+03,1.227258E-01,1.934202E-01,1.560797E+03,1.437571E+03,8.102536E-02,1.270265E-01
00:40:00,7.911984E+02,2.578890E+03,4.107486E-02,2.278664E-01,2.535557E+03,2.183432E+03,1.316283E-01,1.929322E-01,1.560799E+03,1.335870E+03,8.102544E-02,1.180403E-01,2.364070E+03,2.173186E+03,1.227259E-01,1.920269E-01,1.560799E+03,1.423441E+03,8.102544E-02,1.257780E-01
00:50:00,7.911991E+02,2.572547E+03,4.107490E-02,2.273060E-01,2.535559E+03,2.168225E+03,1.316284E-01,1.915886E-01,1.560800E+03,1.326090E+03,8.102551E-02,1.171762E-01,2.364072E+03,2.157910E+03,1.227260E-01,1.906771E-01,1.560800E+03,1.409857E+03,8.102551E-02,1.245777E-01
01:00:00,7.911998E+02,2.566382E+03,4.107493E-02,2.267613E-01,2.535561E+03,2.153448E+03,1.316285E-01,1.902829E-01,1.560801E+03,1.316584E+03,8.102558E-02,1.163362E-01,2.364074E+03,2.143106E+03,1.227261E-01,1.893691E-01,1.560801E+03,1.396783E+03,8.102558E-02,1.234225E-01
01:10:00,7.912004E+02,2.560383E+03,4.107496E-02,2.262312E-01,2.535563E+03,2.139189E+03,1.316286E-01,1.890230E-01,1.560803E+03,1.307403E+03,8.102564E-02,1.155250E-01,2.364076E+03,2.128842E+03,1.227262E-01,1.881087E-01,1.560803E+03,1.384251E+03,8.102564E-02,1.223152E-01
01:20:00,7.912010E+02,2.554540E+03,4.107500E-02,2.257150E-01,2.535565E+03,2.125439E+03,1.316287E-01,1.878081E-01,1.560804E+03,1.298541E+03,8.102570E-02,1.147420E-01,2.364077E+03,2.115101E+03,1.227263E-01,1.868946E-01,1.560804E+03,1.372237E+03,8.102570E-02,1.212536E-01
01:30:00,7.912016E+02,2.548848E+03,4.107503E-02,2.252121E-01,2.535566E+03,2.112190E+03,1.316288E-01,1.866374E-01,1.560805E+03,1.289993E+03,8.102576E-02,1.139867E-01,2.364079E+03,2.101872E+03,1.227264E-01,1.857257E-01,1.560805E+03,1.360718E+03,8.102576E-02,1.202359E-01
01:40:00,7.912022E+02,2.543301E+03,4.107505E-02,2.247219E-01,2.535568E+03,2.099436E+03,1.316289E-01,1.855104E-01,1.560806E+03,1.281753E+03,8.102582E-02,1.132586E-01,2.364081E+03,2.089143E+03,1.227264E-01,1.846009E-01,1.560806E+03,1.349677E+03,8.102582E-02,1.192603E-01
